age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
64.0,Self-Employed,Bachelors,Widowed,Blue-Collar,Other,Male,52.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
30.0,Private,Bachelors,Single,Professional,Other,Male,38.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
28.0,Private,Bachelors,Married,Professional,White,Male,55.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
46.0,Private,Assoc,Single,Sales,White,Male,50.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
31.0,Self-Employed,Bachelors,Single,Other/Unknown,Other,Male,69.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
35.0,Private,Bachelors,Single,Blue-Collar,Other,Male,39.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
43.0,Private,Bachelors,Widowed,Professional,White,Male,40.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
65.0,Private,HS-grad,Single,Other/Unknown,Other,Female,41.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
29.0,Private,Bachelors,Single,Sales,White,Male,49.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
32.0,Self-Employed,Bachelors,Separated,Professional,Other,Male,66.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
50.0,Private,Prof-school,Widowed,Other/Unknown,White,Male,35.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
28.0,Self-Employed,Bachelors,Single,Sales,Other,Male,35.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
57.0,Private,Assoc,Married,Sales,Other,Male,30.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
51.0,Private,Bachelors,Single,Professional,White,Male,51.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
31.0,Private,Bachelors,Separated,Professional,White,Male,66.0,fd41b854-31c8-4ea7-9ec4-4ec54bfb7de8
67.0,Private,Some-college,Single,Other/Unknown,Other,Female,37.0,921dcf99-5882-46ca-b213-b25bf8de041b
19.0,Private,Some-college,Single,Sales,Other,Male,31.0,921dcf99-5882-46ca-b213-b25bf8de041b
37.0,Other/Unknown,Some-college,Widowed,Other/Unknown,White,Male,32.0,921dcf99-5882-46ca-b213-b25bf8de041b
26.0,Private,Bachelors,Divorced,Other/Unknown,White,Male,43.0,921dcf99-5882-46ca-b213-b25bf8de041b
34.0,Other/Unknown,Some-college,Single,Other/Unknown,Other,Female,64.0,921dcf99-5882-46ca-b213-b25bf8de041b
34.0,Private,Some-college,Widowed,Sales,White,Male,34.0,921dcf99-5882-46ca-b213-b25bf8de041b
38.0,Other/Unknown,Some-college,Divorced,Other/Unknown,Other,Female,41.0,921dcf99-5882-46ca-b213-b25bf8de041b
68.0,Private,Some-college,Widowed,Blue-Collar,White,Female,47.0,921dcf99-5882-46ca-b213-b25bf8de041b
47.0,Other/Unknown,Bachelors,Single,Other/Unknown,White,Female,56.0,921dcf99-5882-46ca-b213-b25bf8de041b
28.0,Other/Unknown,Some-college,Single,Other/Unknown,White,Female,76.0,921dcf99-5882-46ca-b213-b25bf8de041b
80.0,Private,Bachelors,Single,Blue-Collar,Other,Male,37.0,921dcf99-5882-46ca-b213-b25bf8de041b
32.0,Private,Some-college,Widowed,Blue-Collar,Other,Male,24.0,921dcf99-5882-46ca-b213-b25bf8de041b
44.0,Other/Unknown,Some-college,Single,Other/Unknown,Other,Female,33.0,921dcf99-5882-46ca-b213-b25bf8de041b
29.0,Private,Bachelors,Single,Sales,White,Male,30.0,921dcf99-5882-46ca-b213-b25bf8de041b
41.0,Other/Unknown,Some-college,Widowed,Service,White,Female,51.0,921dcf99-5882-46ca-b213-b25bf8de041b
33.0,Private,Bachelors,Married,Sales,White,Male,37.0,b1df65bf-3e12-4989-ae3d-f452916412e9
88.0,Private,Bachelors,Married,White-Collar,Other,Male,35.0,b1df65bf-3e12-4989-ae3d-f452916412e9
76.0,Self-Employed,Bachelors,Widowed,Blue-Collar,Other,Male,42.0,b1df65bf-3e12-4989-ae3d-f452916412e9
79.0,Private,Bachelors,Married,White-Collar,White,Male,52.0,b1df65bf-3e12-4989-ae3d-f452916412e9
74.0,Self-Employed,Bachelors,Married,White-Collar,Other,Male,71.0,b1df65bf-3e12-4989-ae3d-f452916412e9
42.0,Private,Bachelors,Married,White-Collar,Other,Male,36.0,b1df65bf-3e12-4989-ae3d-f452916412e9
71.0,Private,Bachelors,Widowed,Sales,White,Female,39.0,b1df65bf-3e12-4989-ae3d-f452916412e9
90.0,Private,Bachelors,Married,White-Collar,Other,Female,40.0,b1df65bf-3e12-4989-ae3d-f452916412e9
77.0,Private,Assoc,Separated,White-Collar,White,Female,51.0,b1df65bf-3e12-4989-ae3d-f452916412e9
77.0,Self-Employed,Bachelors,Married,White-Collar,Other,Female,68.0,b1df65bf-3e12-4989-ae3d-f452916412e9
47.0,Self-Employed,Bachelors,Married,White-Collar,Other,Male,53.0,b1df65bf-3e12-4989-ae3d-f452916412e9
87.0,Private,Bachelors,Widowed,Blue-Collar,White,Male,47.0,b1df65bf-3e12-4989-ae3d-f452916412e9
81.0,Other/Unknown,Bachelors,Married,Other/Unknown,Other,Female,54.0,b1df65bf-3e12-4989-ae3d-f452916412e9
78.0,Private,Bachelors,Married,White-Collar,White,Male,60.0,b1df65bf-3e12-4989-ae3d-f452916412e9
85.0,Self-Employed,Bachelors,Married,White-Collar,Other,Male,79.0,b1df65bf-3e12-4989-ae3d-f452916412e9
