age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,91064456-c6d5-497c-ad5f-c8a390af2119
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,e917dbd5-a7a9-4dc9-b300-1b393c3e53ef
78,Self-Employed,Bachelors,Married,White-Collar,White,Male,45,49561751-025f-4801-b8cc-1d3d933fd564
32,Private,Bachelors,Married,Blue-Collar,White,Male,44,0763a1d0-c522-49cc-b43e-ea4ebdb215d0
61,Private,HS-grad,Married,White-Collar,White,Male,3,2ed89d77-16a8-4af4-babb-d69754bec2b2
32,Private,School,Married,Service,White,Male,40,b60bb785-8d8b-4ebd-b4e9-cfc12aaf2042
33,Private,School,Divorced,Blue-Collar,White,Male,55,3fa46ace-372e-4d7e-b4bc-0579ebeaef72
39,Private,Masters,Single,White-Collar,White,Male,40,200dbeac-9fd8-471a-8a13-85a67f6a976c
49,Private,Assoc,Married,Sales,White,Male,25,5d5971a2-397c-480a-a261-29b8a6153f23
45,Private,HS-grad,Divorced,Service,White,Male,40,2d2ebd0f-64b0-4d8b-8eab-a4d9151fb9bf
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,2ef3b360-fc70-4400-92aa-8c328a4c807d
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,9d995fd8-8ea7-4685-9f22-2609e3164ab0
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,a9f0d204-0c8d-4d11-9f6d-f6e64905413e
78,Self-Employed,Bachelors,Married,White-Collar,White,Male,45,789d83c4-3bba-4d97-9b96-9b3515fac05f
32,Private,Bachelors,Married,Blue-Collar,White,Male,44,f5e20630-706a-4862-b2ed-53fd5288948b
61,Private,HS-grad,Married,White-Collar,White,Male,3,0829492d-02b1-41bc-bad1-3d5208f4fb26
32,Private,School,Married,Service,White,Male,40,e1cad930-eafd-4000-80a4-423782941df5
33,Private,School,Divorced,Blue-Collar,White,Male,55,5a260f21-f75c-4624-9d5c-737ee28e75af
39,Private,Masters,Single,White-Collar,White,Male,40,be8e457c-0484-45d2-a55e-dd11833e0679
49,Private,Assoc,Married,Sales,White,Male,25,0af7c9ce-f112-4419-9686-7cefcf95f348
45,Private,HS-grad,Divorced,Service,White,Male,40,5f64c545-7743-4586-bdc2-dc1b6bed736a
