age,hours_per_week,education,gender,marital_status,occupation,race,workclass,query_id
31.36264,36.607136,Doctorate,Male,Single,Professional,White,Self-Employed,91064456-c6d5-497c-ad5f-c8a390af2119
30.319298,38.955067,Doctorate,Male,Single,Professional,White,Self-Employed,91064456-c6d5-497c-ad5f-c8a390af2119
34.00459,41.175983,Doctorate,Male,Single,Professional,White,Self-Employed,91064456-c6d5-497c-ad5f-c8a390af2119
19.993313,36.15462,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,e917dbd5-a7a9-4dc9-b300-1b393c3e53ef
17.0,37.67885,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,e917dbd5-a7a9-4dc9-b300-1b393c3e53ef
18.036055,40.748657,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,e917dbd5-a7a9-4dc9-b300-1b393c3e53ef
81.039635,44.28421,Bachelors,Male,Married,White-Collar,White,Self-Employed,49561751-025f-4801-b8cc-1d3d933fd564
79.083885,45.712856,School,Male,Married,White-Collar,White,Self-Employed,49561751-025f-4801-b8cc-1d3d933fd564
72.364204,47.24428,Bachelors,Male,Married,White-Collar,White,Self-Employed,49561751-025f-4801-b8cc-1d3d933fd564
34.86119,42.728985,Bachelors,Male,Married,Blue-Collar,White,Private,0763a1d0-c522-49cc-b43e-ea4ebdb215d0
29.992327,48.890217,Bachelors,Male,Married,Blue-Collar,White,Private,0763a1d0-c522-49cc-b43e-ea4ebdb215d0
33.936928,40.379734,Assoc,Male,Married,Other/Unknown,White,Private,0763a1d0-c522-49cc-b43e-ea4ebdb215d0
62.554756,5.9875455,HS-grad,Male,Married,White-Collar,White,Private,2ed89d77-16a8-4af4-babb-d69754bec2b2
60.57802,5.167163,Some-college,Male,Married,White-Collar,White,Private,2ed89d77-16a8-4af4-babb-d69754bec2b2
58.324318,1.0,HS-grad,Male,Married,White-Collar,White,Private,2ed89d77-16a8-4af4-babb-d69754bec2b2
32.711296,36.728394,School,Male,Married,Service,White,Private,b60bb785-8d8b-4ebd-b4e9-cfc12aaf2042
32.030212,42.966873,School,Female,Married,Service,White,Private,b60bb785-8d8b-4ebd-b4e9-cfc12aaf2042
32.96393,40.128643,School,Male,Married,Service,White,Private,b60bb785-8d8b-4ebd-b4e9-cfc12aaf2042
28.284235,58.54037,School,Male,Divorced,Blue-Collar,White,Private,3fa46ace-372e-4d7e-b4bc-0579ebeaef72
29.975266,57.421986,School,Male,Divorced,Blue-Collar,White,Private,3fa46ace-372e-4d7e-b4bc-0579ebeaef72
29.772415,48.92773,School,Male,Divorced,Blue-Collar,White,Private,3fa46ace-372e-4d7e-b4bc-0579ebeaef72
41.752872,42.848747,Masters,Male,Single,White-Collar,White,Private,200dbeac-9fd8-471a-8a13-85a67f6a976c
40.55338,36.9534,Masters,Male,Single,White-Collar,White,Private,200dbeac-9fd8-471a-8a13-85a67f6a976c
39.12226,43.02531,Masters,Male,Single,White-Collar,White,Private,200dbeac-9fd8-471a-8a13-85a67f6a976c
46.996468,26.626196,Assoc,Male,Married,Sales,White,Private,5d5971a2-397c-480a-a261-29b8a6153f23
44.70742,26.78838,Assoc,Male,Married,Sales,White,Private,5d5971a2-397c-480a-a261-29b8a6153f23
46.96897,27.499817,Assoc,Male,Married,Sales,White,Private,5d5971a2-397c-480a-a261-29b8a6153f23
47.50232,38.833008,HS-grad,Male,Divorced,Service,White,Private,2d2ebd0f-64b0-4d8b-8eab-a4d9151fb9bf
43.36921,46.911873,HS-grad,Male,Divorced,Service,White,Private,2d2ebd0f-64b0-4d8b-8eab-a4d9151fb9bf
44.88454,43.268723,HS-grad,Male,Divorced,Service,White,Private,2d2ebd0f-64b0-4d8b-8eab-a4d9151fb9bf
30.39461,35.197895,Doctorate,Male,Single,Professional,White,Self-Employed,91064456-c6d5-497c-ad5f-c8a390af2119
28.621405,36.720722,Doctorate,Male,Single,Professional,White,Self-Employed,91064456-c6d5-497c-ad5f-c8a390af2119
33.082253,47.223682,Doctorate,Male,Single,Professional,White,Self-Employed,91064456-c6d5-497c-ad5f-c8a390af2119
19.923206,45.92424,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,e917dbd5-a7a9-4dc9-b300-1b393c3e53ef
21.46195,41.68151,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,e917dbd5-a7a9-4dc9-b300-1b393c3e53ef
17.0,43.063507,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,e917dbd5-a7a9-4dc9-b300-1b393c3e53ef
80.325195,40.283817,Bachelors,Male,Married,Blue-Collar,White,Self-Employed,49561751-025f-4801-b8cc-1d3d933fd564
79.72969,51.92092,Some-college,Male,Married,White-Collar,White,Self-Employed,49561751-025f-4801-b8cc-1d3d933fd564
79.65722,41.048073,Bachelors,Male,Married,White-Collar,White,Self-Employed,49561751-025f-4801-b8cc-1d3d933fd564
32.131035,39.106724,Bachelors,Male,Married,Blue-Collar,White,Private,0763a1d0-c522-49cc-b43e-ea4ebdb215d0
30.923729,34.8542,Bachelors,Male,Married,Blue-Collar,White,Private,0763a1d0-c522-49cc-b43e-ea4ebdb215d0
34.98128,44.11912,Prof-school,Male,Married,Blue-Collar,White,Private,0763a1d0-c522-49cc-b43e-ea4ebdb215d0
58.76262,1.0,HS-grad,Male,Married,White-Collar,Other,Private,2ed89d77-16a8-4af4-babb-d69754bec2b2
60.64332,2.5011206,HS-grad,Male,Married,White-Collar,White,Private,2ed89d77-16a8-4af4-babb-d69754bec2b2
30.759314,43.969967,Doctorate,Male,Single,Professional,White,Self-Employed,9d995fd8-8ea7-4685-9f22-2609e3164ab0
31.70344,41.87835,Doctorate,Male,Single,Professional,White,Self-Employed,9d995fd8-8ea7-4685-9f22-2609e3164ab0
33.857994,40.980167,Doctorate,Male,Single,Professional,White,Self-Employed,9d995fd8-8ea7-4685-9f22-2609e3164ab0
