sex,age,priors_count,race,c_charge_degree,query_id
Female,18.0,2.1,Caucasian,F,4717eb1c-0791-432e-b336-a4bbb088dc62
Male,19.6,6.6,Caucasian,F,4717eb1c-0791-432e-b336-a4bbb088dc62
Female,40.8,7.3,Caucasian,F,4717eb1c-0791-432e-b336-a4bbb088dc62
Male,35.8,10.5,Caucasian,F,4717eb1c-0791-432e-b336-a4bbb088dc62
Male,45.6,14.7,Caucasian,F,4717eb1c-0791-432e-b336-a4bbb088dc62
Female,18.0,1.7,Caucasian,F,5a08beaa-3a51-4d99-9014-6f38fff4ba9b
Male,26.1,6.4,African-American,M,5a08beaa-3a51-4d99-9014-6f38fff4ba9b
Male,18.0,5.4,Caucasian,F,5a08beaa-3a51-4d99-9014-6f38fff4ba9b
Male,35.4,9.7,Caucasian,F,5a08beaa-3a51-4d99-9014-6f38fff4ba9b
Male,26.7,16.7,Caucasian,F,5a08beaa-3a51-4d99-9014-6f38fff4ba9b
Female,18.0,2.1,Caucasian,F,93ecbcbc-3ab7-490a-b19f-fc0cbbd86351
Female,21.3,4.3,African-American,M,93ecbcbc-3ab7-490a-b19f-fc0cbbd86351
Female,40.4,6.5,Caucasian,F,93ecbcbc-3ab7-490a-b19f-fc0cbbd86351
Female,38.6,9.2,African-American,M,93ecbcbc-3ab7-490a-b19f-fc0cbbd86351
Female,41.5,14.0,Caucasian,M,93ecbcbc-3ab7-490a-b19f-fc0cbbd86351
Female,19.9,3.3,Caucasian,F,3c4ab452-87c4-482d-b575-fb1b118674c7
Female,40.3,6.8,Caucasian,F,3c4ab452-87c4-482d-b575-fb1b118674c7
Female,52.6,10.5,African-American,F,3c4ab452-87c4-482d-b575-fb1b118674c7
Female,65.4,13.3,Caucasian,F,3c4ab452-87c4-482d-b575-fb1b118674c7
Female,57.0,20.3,Caucasian,F,3c4ab452-87c4-482d-b575-fb1b118674c7
Male,41.2,0.0,Caucasian,M,db491bd9-c131-458f-a2c9-5368a9a10082
Male,56.4,3.3,Caucasian,M,db491bd9-c131-458f-a2c9-5368a9a10082
Male,25.4,0.0,African-American,F,db491bd9-c131-458f-a2c9-5368a9a10082
Male,49.5,3.9,African-American,F,db491bd9-c131-458f-a2c9-5368a9a10082
Male,78.0,5.1,Caucasian,M,db491bd9-c131-458f-a2c9-5368a9a10082
Male,29.6,0.0,Caucasian,F,824cc452-29ec-4e8b-b6f3-8a13934bbdb1
