sex,age,priors_count,race,c_charge_degree,query_id
Male,41.0,1.0,Caucasian,F,4717eb1c-0791-432e-b336-a4bbb088dc62
Male,27.0,0.0,Caucasian,F,5a08beaa-3a51-4d99-9014-6f38fff4ba9b
Female,40.0,0.0,Caucasian,M,93ecbcbc-3ab7-490a-b19f-fc0cbbd86351
Female,57.0,4.0,Caucasian,F,3c4ab452-87c4-482d-b575-fb1b118674c7
Male,25.0,5.0,Caucasian,M,db491bd9-c131-458f-a2c9-5368a9a10082
Male,30.0,6.0,African-American,F,824cc452-29ec-4e8b-b6f3-8a13934bbdb1
Female,33.0,5.0,African-American,F,f5efa94a-02b5-4431-a6c2-b57797d1b401
Male,37.0,4.0,Caucasian,M,a75508cb-d6c4-44bf-9262-dbd386aec450
Male,44.0,3.0,African-American,M,5bea4c07-66c5-41b2-9426-906c2f06f81b
Male,24.0,1.0,African-American,F,1eb8493d-9bec-423a-b616-27da1f8eda38
Male,41.0,1.0,Caucasian,F,619d3783-3d10-48ae-a99b-a46eb1f808f2
Male,41.0,1.0,Caucasian,F,ba416c3d-d3ca-4873-b9bc-e8d118bc1035
Male,27.0,0.0,Caucasian,F,4e0e5ee2-24df-4a23-88e7-ad715239a48d
Female,40.0,0.0,Caucasian,M,635e1b2a-79ca-41bf-8685-633093cbe929
Female,57.0,4.0,Caucasian,F,ad30b2aa-186f-4ab2-874b-894331761817
Male,25.0,5.0,Caucasian,M,b6babaf8-c233-4736-ac9c-1aa6e3ab4e58
Male,30.0,6.0,African-American,F,c7fb7f4d-8a6d-433a-83ea-5c502620cc46
Female,33.0,5.0,African-American,F,d408e2de-7e69-466d-a83c-597e3639b1ee
Male,37.0,4.0,Caucasian,M,86390155-8b7f-4f62-8844-f4e4812c5742
Male,44.0,3.0,African-American,M,fb34b33a-93c5-45d0-8571-c7b90216050c
Male,24.0,1.0,African-American,F,0b1a5f59-d65f-4621-b3e5-2f18e9070826
