status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,26,all credits at this bank paid back duly,business,3039,A63,... < 1 year,4,male : single,none,3,real estate,33,none,own,1,unemployed/ unskilled - non-resident,2,none,yes,7209d9b7-6d88-4b0b-9384-4c90debd7aa4
0 <= ... < 200 DM,21,all credits at this bank paid back duly,business,2235,A64,... < 1 year,4,male : married/widowed,co-applicant,3,real estate,36,bank,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no,7209d9b7-6d88-4b0b-9384-4c90debd7aa4
0 <= ... < 200 DM,17,existing credits paid back duly till now,business,1401,A63,... < 1 year,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",36,bank,for free,4,skilled employee / official,2,"yes, registered under the customers name",yes,7209d9b7-6d88-4b0b-9384-4c90debd7aa4
0 <= ... < 200 DM,17,existing credits paid back duly till now,business,1908,A64,... < 1 year,4,male : married/widowed,guarantor,4,real estate,46,bank,own,4,unemployed/ unskilled - non-resident,2,none,yes,7209d9b7-6d88-4b0b-9384-4c90debd7aa4
0 <= ... < 200 DM,60,all credits at this bank paid back duly,business,1953,A64,... < 1 year,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",36,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,7209d9b7-6d88-4b0b-9384-4c90debd7aa4
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),repairs,2211,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,for free,2,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,d4df437b-ace3-4017-8652-fe5a35fd17ba
0 <= ... < 200 DM,11,delay in paying off in the past,car (used),1265,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,4,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no,d4df437b-ace3-4017-8652-fe5a35fd17ba
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1871,A61,unemployed,4,male : single,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",75,none,own,4,management/ self-employed/ highly qualified employee/ officer,2,none,yes,d4df437b-ace3-4017-8652-fe5a35fd17ba
0 <= ... < 200 DM,21,all credits at this bank paid back duly,car (used),1917,A61,unemployed,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",21,none,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,d4df437b-ace3-4017-8652-fe5a35fd17ba
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),car (used),1868,A61,unemployed,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,d4df437b-ace3-4017-8652-fe5a35fd17ba
... < 0 DM,23,delay in paying off in the past,repairs,1106,A63,... < 1 year,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",48,none,own,1,skilled employee / official,1,none,yes,20590b57-1a4e-4e63-ab4e-d9b88de1cc9f
... < 0 DM,24,delay in paying off in the past,radio/television,2442,A61,... < 1 year,4,male : married/widowed,co-applicant,4,real estate,48,stores,own,1,unemployed/ unskilled - non-resident,1,none,no,20590b57-1a4e-4e63-ab4e-d9b88de1cc9f
... < 0 DM,23,delay in paying off in the past,radio/television,1199,A61,... < 1 year,4,male : single,none,4,real estate,47,none,for free,1,skilled employee / official,2,none,yes,20590b57-1a4e-4e63-ab4e-d9b88de1cc9f
... < 0 DM,36,all credits at this bank paid back duly,radio/television,356,A61,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,4,unemployed/ unskilled - non-resident,2,none,yes,20590b57-1a4e-4e63-ab4e-d9b88de1cc9f
... < 0 DM,60,delay in paying off in the past,radio/television,1057,A61,... < 1 year,4,male : married/widowed,guarantor,4,real estate,57,stores,own,4,skilled employee / official,2,none,yes,20590b57-1a4e-4e63-ab4e-d9b88de1cc9f
... < 0 DM,18,all credits at this bank paid back duly,business,3124,A61,4 <= ... < 7 years,4,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",31,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,9b702aef-5224-41e1-a7a3-2bd8d219e32e
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3029,A61,... < 1 year,3,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",31,bank,for free,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,9b702aef-5224-41e1-a7a3-2bd8d219e32e
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3110,A61,unemployed,4,male : single,guarantor,4,if not A121 : building society savings agreement/ life insurance,31,bank,own,4,skilled employee / official,1,none,yes,9b702aef-5224-41e1-a7a3-2bd8d219e32e
... < 0 DM,27,no credits taken/ all credits paid back duly,business,3519,A63,4 <= ... < 7 years,4,male : single,guarantor,1,if not A121 : building society savings agreement/ life insurance,30,bank,own,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,9b702aef-5224-41e1-a7a3-2bd8d219e32e
... < 0 DM,60,no credits taken/ all credits paid back duly,business,3087,A61,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,9b702aef-5224-41e1-a7a3-2bd8d219e32e
... < 0 DM,27,critical account/ other credits existing (not at this bank),radio/television,2510,A63,1 <= ... < 4 years,4,male : single,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",23,none,for free,4,unskilled - resident,2,none,yes,0a9c2743-e4c9-4e0a-b33b-2c8ea7656a9a
