duration_in_month,credit_amount,installment_rate_in_percentage_of_disposable_income,present_residence_since,age_in_years,number_of_existing_credits_at_this_bank,number_of_people_being_liable_to_provide_maintenance_for,credit_history,foreign_worker,housing,job,other_debtors_guarantors,other_installment_plans,personal_status_and_sex,present_employment_since,property,purpose,savings_account_bonds,status_of_existing_checking_account,telephone,query_id
16.725454,3084.4421,3.0610623,2.9680216,35.88945,1.2432528,1.0050495,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",70a0fcce-0a1c-4b33-b356-7f6ecff24257
17.315346,559.39307,3.0821533,2.9182231,33.713882,1.0124615,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",70a0fcce-0a1c-4b33-b356-7f6ecff24257
8.9966,1632.8723,3.86693,1.815577,31.462149,1.6559896,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",5ee9cb6e-d7d1-4afb-9fe9-eb72641833bf
14.043776,1007.6348,3.8781972,2.078754,30.66627,1.6901135,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",5ee9cb6e-d7d1-4afb-9fe9-eb72641833bf
16.081684,1853.5004,3.0707612,2.890841,36.361046,1.1429211,1.062666,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",7421a04b-81b9-401f-9f2e-65b15e84aa2d
19.308704,2855.9446,3.1039019,2.756197,32.979607,1.0457758,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",7421a04b-81b9-401f-9f2e-65b15e84aa2d
12.680565,1135.0472,3.9090123,1.7852418,32.671844,1.8956788,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",b4812716-3ec0-42c2-8a64-bc7e2c3a1465
15.196294,1790.5049,3.8089428,2.2331777,33.556465,1.8658464,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",b4812716-3ec0-42c2-8a64-bc7e2c3a1465
16.081684,1853.5004,3.0707612,2.890841,36.361046,1.1429211,1.062666,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",5c120374-6bcd-4bc3-aa7e-0bd48cea0228
19.308704,2855.9446,3.1039019,2.756197,32.979607,1.0457758,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",5c120374-6bcd-4bc3-aa7e-0bd48cea0228
12.680565,1135.0472,3.9090123,1.7852418,32.671844,1.8956788,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",e4daba76-3fb8-45ac-a318-15b5b79c0217
15.196294,1790.5049,3.8089428,2.2331777,33.556465,1.8658464,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",e4daba76-3fb8-45ac-a318-15b5b79c0217
16.081684,1853.5004,3.0707612,2.890841,36.361046,1.1429211,1.062666,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",63a809f4-31fd-409d-8321-32765d2482b4
19.308704,2855.9446,3.1039019,2.756197,32.979607,1.0457758,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",63a809f4-31fd-409d-8321-32765d2482b4
12.680565,1135.0472,3.9090123,1.7852418,32.671844,1.8956788,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",392a5495-11fd-461c-b4f0-37e734b84133
15.196294,1790.5049,3.8089428,2.2331777,33.556465,1.8658464,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",392a5495-11fd-461c-b4f0-37e734b84133
