ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,query_id
68,17,17,17,1,0,0,100,15,7,1,0,100,0,1,1,28,74,3,1,1,100,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
68,213,4,52,15,0,0,100,15,7,15,2,20,0,3,3,77,74,9,1,3,91,a60569b9-7f3f-419c-92ad-45423a44f58d
67,134,2,52,23,0,0,92,63,6,25,3,25,0,10,9,30,74,5,2,1,64,024e1a2e-e0bf-40cd-8a79-7d39eeea12dd
89,209,54,101,11,0,0,100,15,7,11,0,55,6,0,0,3,74,1,1,0,50,85407380-cc48-4964-a1a0-0250aee40401
60,45,1,18,13,0,0,100,15,7,15,4,40,1,1,1,71,65,5,2,1,88,c256573a-36a4-49c7-9e96-584fa5f3edac
74,148,3,47,24,0,0,100,15,7,67,6,32,0,1,1,0,74,0,4,0,40,04fb11c3-6331-4ca4-85ba-5e6239c25689
65,179,19,99,24,1,0,76,0,4,25,0,32,22,0,0,26,71,10,2,1,86,d7dc91af-d590-422f-b6ab-84136717dc9d
81,162,23,89,26,0,0,100,15,7,26,0,31,3,1,1,11,58,1,2,0,33,f7843882-fb27-49bf-b038-6090240b628d
73,192,13,77,24,0,0,96,11,4,26,0,58,1,4,4,35,74,2,2,0,80,5bb84e87-c959-4dbd-8bdd-6ae5c50777e4
68,343,1,96,40,1,1,90,39,6,43,3,37,0,11,11,75,58,8,6,4,71,9b8ce1f8-f6cb-4fb4-ac1b-99e6cad49759
68,17,17,17,1,0,0,100,15,7,1,0,100,0,1,1,28,74,3,1,1,100,d87ea8ab-e33c-494c-89d1-25ae3f238abe
68,17,17,17,1,0,0,100,15,7,1,0,100,0,1,1,28,74,3,1,1,100,e5dc1bc5-eb87-4175-a445-0fc182d31927
68,213,4,52,15,0,0,100,15,7,15,2,20,0,3,3,77,74,9,1,3,91,4f983d41-30ee-416f-80cb-dfe5867b2c20
67,134,2,52,23,0,0,92,63,6,25,3,25,0,10,9,30,74,5,2,1,64,642c9a42-9772-4b4f-95cd-c6b61dbe98bc
89,209,54,101,11,0,0,100,15,7,11,0,55,6,0,0,3,74,1,1,0,50,eed77107-6ffd-4d2d-baa8-aa396d9797ce
60,45,1,18,13,0,0,100,15,7,15,4,40,1,1,1,71,65,5,2,1,88,787ac1e4-8a81-4308-8c2c-838f5e071dea
74,148,3,47,24,0,0,100,15,7,67,6,32,0,1,1,0,74,0,4,0,40,512abd48-37e1-4ff4-9e1f-a89e0a7cd7dd
65,179,19,99,24,1,0,76,0,4,25,0,32,22,0,0,26,71,10,2,1,86,675587af-1d3d-4ff4-84d4-ac215b39b10f
81,162,23,89,26,0,0,100,15,7,26,0,31,3,1,1,11,58,1,2,0,33,bf755997-c2ea-4cad-a0e4-4f2612e7ec38
73,192,13,77,24,0,0,96,11,4,26,0,58,1,4,4,35,74,2,2,0,80,7f15dc6c-14de-47ef-ad87-4ee22b623c07
68,343,1,96,40,1,1,90,39,6,43,3,37,0,11,11,75,58,8,6,4,71,abcac569-4584-4193-a99c-5cd1f86aa852
