ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,query_id
93.0,2.0,11.0,63.0,3.0,0.0,0.0,100.0,83.0,7.0,0.0,0.0,100.0,24.0,3.0,3.0,0.0,86.0,3.0,1.0,0.0,100.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
64.0,2.0,12.0,20.0,63.0,0.0,0.0,100.0,36.0,7.0,0.0,0.0,100.0,24.0,3.0,3.0,16.0,94.0,3.0,1.0,1.0,100.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
93.0,2.0,15.0,15.0,7.0,0.0,0.0,100.0,83.0,9.0,0.0,0.0,100.0,24.0,2.0,2.0,0.0,87.0,3.0,1.0,0.0,100.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
69.0,2.0,17.0,38.0,41.0,0.0,0.0,100.0,83.0,8.0,0.0,0.0,100.0,24.0,3.0,3.0,0.0,104.0,1.0,1.0,0.0,99.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
90.0,2.0,15.0,30.0,31.0,0.0,0.0,100.0,83.0,8.0,0.0,0.0,100.0,24.0,3.0,3.0,17.0,99.0,3.0,1.0,1.0,98.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
80.0,7.0,14.0,96.0,2.0,0.0,0.0,100.0,83.0,6.0,0.0,0.0,95.0,24.0,0.0,0.0,0.0,96.0,3.0,1.0,0.0,98.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
70.0,2.0,13.0,24.0,23.0,0.0,0.0,97.0,39.0,6.0,0.0,0.0,99.0,24.0,0.0,0.0,0.0,84.0,3.0,1.0,0.0,97.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
90.0,10.0,21.0,40.0,2.0,0.0,0.0,99.0,11.0,9.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,94.0,4.0,1.0,0.0,98.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
93.0,9.0,15.0,37.0,12.0,0.0,0.0,100.0,83.0,6.0,0.0,0.0,98.0,24.0,0.0,0.0,16.0,98.0,4.0,1.0,0.0,96.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
68.0,22.0,18.0,23.0,38.0,0.0,0.0,99.0,83.0,6.0,0.0,0.0,99.0,24.0,0.0,0.0,22.0,91.0,4.0,1.0,0.0,97.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
93.0,58.0,0.0,8.0,2.0,0.0,0.0,100.0,83.0,9.0,0.0,0.0,97.0,24.0,4.0,4.0,0.0,65.0,1.0,1.0,0.0,100.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
69.0,61.0,4.0,4.0,62.0,0.0,0.0,100.0,35.0,7.0,0.0,0.0,100.0,24.0,4.0,4.0,17.0,63.0,1.0,1.0,1.0,100.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
93.0,30.0,1.0,18.0,12.0,0.0,0.0,100.0,16.0,7.0,0.0,0.0,98.0,24.0,4.0,5.0,0.0,50.0,1.0,1.0,1.0,100.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
