ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,query_id
65.34772,2.711644,14.940472,19.268976,0.0,0.23000449,0.10938888,100.0,14.978049,7.2296295,0.0,0.0,100.0,0.0,3.387178,3.710681,23.163092,94.24042,3.2185137,1.0,1.607075,99.15536,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
68.27225,11.386299,15.835004,27.32076,0.13038819,0.0,0.44139674,98.36419,9.626174,6.5515847,0.0,0.20850073,98.80239,0.35765338,0.8020258,0.0,23.859406,91.92712,4.238826,1.0,0.9577058,97.08827,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
66.69157,50.31031,1.8979181,4.0,0.0,0.0,0.18368119,100.0,17.749704,7.3046155,0.4655101,0.13130128,98.90265,0.0,4.307837,4.152368,25.103302,63.38916,1.5733151,1.0,1.6479039,100.0,c679f6eb-bfbe-4332-964d-4e28e5d2dc3b
66.41138,199.53851,7.71497,50.043926,11.759837,0.37030464,0.3990971,100.0,14.414717,7.070258,14.233927,2.1405087,20.398607,0.08777835,4.155715,3.5235476,70.83899,85.07561,9.838311,1.0,2.2647517,89.44192,a60569b9-7f3f-419c-92ad-45423a44f58d
67.680374,204.53075,13.051701,37.857918,12.439126,0.0,0.0,100.0,7.79662,6.895354,12.777302,1.0782341,18.923025,0.0,4.376147,6.633659,63.65047,54.325455,9.518847,1.2871482,1.7732804,91.209755,a60569b9-7f3f-419c-92ad-45423a44f58d
67.89284,215.96884,0.0,52.84684,14.646191,0.0,0.39964712,100.0,11.739366,6.8892035,16.460453,1.8662622,20.834732,0.0,6.1318655,1.8941208,81.619316,49.94426,10.6028595,1.0,3.4394896,89.85524,a60569b9-7f3f-419c-92ad-45423a44f58d
65.599945,152.71909,5.3108745,38.59814,17.92799,0.0,0.11871777,100.0,65.90169,6.184436,25.331888,3.199684,25.363297,0.21487111,8.497932,6.293476,28.827478,85.52352,4.2089005,2.5895624,0.79108393,62.928467,024e1a2e-e0bf-40cd-8a79-7d39eeea12dd
63.184338,176.99176,0.0,53.102245,21.12484,0.21158148,0.48396844,92.60441,63.9561,6.3323603,28.833445,2.9099069,27.084558,0.0,6.9914637,9.6451025,19.84933,100.831566,4.961056,2.4268286,0.0,61.208927,024e1a2e-e0bf-40cd-8a79-7d39eeea12dd
65.573746,124.14191,14.707616,54.874943,22.745129,0.01714423,0.8194307,92.33451,67.25141,5.7563143,24.264465,1.6426636,27.200014,0.0,9.223987,9.317934,45.57209,66.85186,5.1012073,1.0,1.2198064,63.685383,024e1a2e-e0bf-40cd-8a79-7d39eeea12dd
87.76791,213.88847,50.998222,120.22647,12.760029,0.17562768,0.17821136,100.0,14.236296,7.2333417,7.6744986,0.0,52.01825,8.093952,0.0,0.0,0.0,63.51591,1.1493976,1.0,0.0,53.706425,85407380-cc48-4964-a1a0-0250aee40401
89.67091,232.92252,61.292007,110.970116,12.929855,0.11250125,0.27607864,99.908806,17.720379,7.3948755,5.2953463,0.0,54.268246,7.230175,0.0,3.105536,1.0267416,53.28844,0.93958735,1.0,0.2577498,52.176476,85407380-cc48-4964-a1a0-0250aee40401
90.00077,207.56972,47.90467,88.69897,10.527281,0.9628817,0.54512733,95.16525,11.975036,6.9549217,14.280255,0.0,56.63699,5.446224,0.04799319,2.0564597,5.623875,77.139534,0.7367274,1.3338001,0.0,47.725452,85407380-cc48-4964-a1a0-0250aee40401
60.231644,14.876097,26.449217,11.187385,12.219985,0.0,0.0,100.0,15.430731,7.138335,11.936619,4.6417465,40.76616,2.0401933,0.0,0.6599276,66.22081,63.12511,6.564391,1.0,0.9084164,88.76586,c256573a-36a4-49c7-9e96-584fa5f3edac
60.166668,60.862434,12.319733,9.347728,9.983911,0.0,0.65342736,100.0,13.7514305,7.229853,11.029159,4.2247686,40.491165,1.7736998,0.0,1.4061794,62.90765,78.12644,4.756206,1.9421322,0.916253,91.63034,c256573a-36a4-49c7-9e96-584fa5f3edac
57.756287,6.2898855,3.642057,12.887646,12.033789,0.51930094,1.0346582,100.0,16.485022,7.1447716,18.853199,3.8790793,44.162037,0.4061105,2.459689,3.2741134,76.05219,60.850525,4.3964725,1.9721036,0.8541738,92.31637,c256573a-36a4-49c7-9e96-584fa5f3edac
74.313644,178.07742,18.454103,79.76704,21.23373,1.1065613,0.0,100.0,14.1137085,6.8599095,65.77466,6.084978,31.219042,0.0,0.63325286,3.0978358,9.032907,78.642525,0.14274316,4.596778,0.0,41.0088,04fb11c3-6331-4ca4-85ba-5e6239c25689
73.094604,126.86622,9.135877,36.919228,25.887396,0.0,0.0,99.262985,17.851442,7.494857,69.80553,5.96172,31.397911,0.45981777,1.6404643,1.3740715,4.547355,77.77592,1.595085,3.6969578,0.0,40.830776,04fb11c3-6331-4ca4-85ba-5e6239c25689
73.33943,170.3241,3.4327505,65.78614,22.890575,0.0,0.0,96.83122,15.600856,7.0493436,68.94892,5.5474324,29.975494,0.0,3.4827552,1.737768,0.0,77.685814,1.3610507,4.4447103,0.79193735,36.676758,04fb11c3-6331-4ca4-85ba-5e6239c25689
68.28049,203.0562,0.0,102.19067,25.637487,1.409478,0.0,77.74573,0.0,4.2100763,20.610409,0.2313246,37.48397,20.962082,0.0,0.0,34.63729,50.630093,8.806234,1.1903486,0.91918683,82.27249,d7dc91af-d590-422f-b6ab-84136717dc9d
63.46174,154.33885,25.374334,85.48892,22.716381,1.0613788,0.0,75.31544,1.1979777,4.1757445,26.117933,0.0,32.58137,23.417091,0.0,0.82981473,29.3062,81.274376,11.08959,1.1816711,0.17729047,83.55236,d7dc91af-d590-422f-b6ab-84136717dc9d
