employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,query_id
10,7,9600.0,C,24.9,educational,MORTGAGE,ID,f5195784-4cac-460d-a91d-b39381c655cb
2,14,9600.0,C,46.4,purchase,RENT,FL,f5195784-4cac-460d-a91d-b39381c655cb
0,14,9600.0,C,13.1,purchase,MORTGAGE,ID,f5195784-4cac-460d-a91d-b39381c655cb
3,31,9600.0,C,17.9,debt,RENT,ID,f5195784-4cac-460d-a91d-b39381c655cb
10,31,23335.2,C,46.4,purchase,MORTGAGE,ID,f5195784-4cac-460d-a91d-b39381c655cb
10,13,9600.0,F,3.1,purchase,RENT,VT,ab56ad36-16dd-4325-80d0-6cfb92123349
0,12,22721.0,D,15.3,small_business,MORTGAGE,ID,ab56ad36-16dd-4325-80d0-6cfb92123349
10,2,9600.0,F,30.2,purchase,RENT,VT,ab56ad36-16dd-4325-80d0-6cfb92123349
3,31,9600.0,C,17.9,purchase,MORTGAGE,ID,ab56ad36-16dd-4325-80d0-6cfb92123349
10,31,9600.0,F,46.4,purchase,RENT,VT,ab56ad36-16dd-4325-80d0-6cfb92123349
1,7,9600.0,B,9.6,purchase,MORTGAGE,ID,c0870edb-8684-47b3-99e6-1f91cf34c84e
0,2,21832.6,C,17.5,debt,OWN,ID,c0870edb-8684-47b3-99e6-1f91cf34c84e
3,7,37002.8,B,46.4,debt,OWN,ID,c0870edb-8684-47b3-99e6-1f91cf34c84e
10,19,9600.0,C,6.4,debt,OWN,ID,c0870edb-8684-47b3-99e6-1f91cf34c84e
10,31,9600.0,A,21.9,purchase,OWN,VA,c0870edb-8684-47b3-99e6-1f91cf34c84e
2,2,9600.0,F,3.9,purchase,RENT,VT,8306d069-1b41-46b1-9f3c-9731c589d745
10,14,11668.0,A,3.1,educational,RENT,VT,8306d069-1b41-46b1-9f3c-9731c589d745
0,25,9600.0,C,14.8,purchase,MORTGAGE,ID,8306d069-1b41-46b1-9f3c-9731c589d745
10,12,9600.0,F,27.9,debt,RENT,VA,8306d069-1b41-46b1-9f3c-9731c589d745
10,31,9600.0,A,46.4,debt,RENT,VT,8306d069-1b41-46b1-9f3c-9731c589d745
10,2,9600.0,A,11.9,purchase,OWN,ID,5f15bc16-c723-47fa-9637-00711831e743
10,31,9600.0,A,17.4,purchase,MORTGAGE,UT,5f15bc16-c723-47fa-9637-00711831e743
10,14,10764.7,A,19.7,debt,OWN,VA,5f15bc16-c723-47fa-9637-00711831e743
10,13,9721.0,A,46.4,purchase,MORTGAGE,MS,5f15bc16-c723-47fa-9637-00711831e743
10,31,9600.0,A,46.4,purchase,OWN,ID,5f15bc16-c723-47fa-9637-00711831e743
10,2,9600.0,A,5.4,purchase,OWN,UT,a28f3363-9c07-43d7-a97b-555eec3ea253
6,5,9600.0,C,46.4,debt,MORTGAGE,ID,a28f3363-9c07-43d7-a97b-555eec3ea253
10,7,9600.0,A,23.4,debt,OWN,VA,a28f3363-9c07-43d7-a97b-555eec3ea253
10,31,9600.0,A,7.3,purchase,OWN,UT,a28f3363-9c07-43d7-a97b-555eec3ea253
10,27,9600.0,A,41.7,debt,MORTGAGE,VA,a28f3363-9c07-43d7-a97b-555eec3ea253
0,7,9600.0,D,21.8,small_business,MORTGAGE,ID,6d590565-fa4b-408a-aab5-bef844da0cf7
10,2,9600.0,A,18.9,purchase,OWN,UT,6d590565-fa4b-408a-aab5-bef844da0cf7
10,5,9600.0,B,46.4,small_business,MORTGAGE,ID,6d590565-fa4b-408a-aab5-bef844da0cf7
10,16,9600.0,F,17.8,purchase,RENT,VT,6d590565-fa4b-408a-aab5-bef844da0cf7
10,31,10365.7,D,25.4,small_business,MORTGAGE,ID,6d590565-fa4b-408a-aab5-bef844da0cf7
10,13,9600.0,A,5.0,purchase,OWN,ID,1ae22a36-376d-4148-a56d-9d41b1934b43
10,6,9600.0,A,24.0,purchase,OWN,KY,1ae22a36-376d-4148-a56d-9d41b1934b43
10,2,9600.0,A,46.4,debt,MORTGAGE,VA,1ae22a36-376d-4148-a56d-9d41b1934b43
10,27,9600.0,A,25.5,debt,MORTGAGE,VA,1ae22a36-376d-4148-a56d-9d41b1934b43
10,31,15808.5,A,46.4,purchase,OWN,MS,1ae22a36-376d-4148-a56d-9d41b1934b43
