employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,query_id
0.0,2.0,10052.8,C,9.6,purchase,MORTGAGE,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
2.0,12.0,9600.0,C,25.6,educational,RENT,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
2.0,12.0,43781.9,C,46.4,purchase,OWN,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
10.0,22.0,9600.0,C,11.7,debt,OWN,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
10.0,31.0,9600.0,C,46.4,purchase,RENT,FL,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
0.0,2.0,10052.7998046875,C,9.600000381469728,purchase,MORTGAGE,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
2.0,12.0,9600.0,C,25.600000381469727,educational,RENT,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
2.0,12.0,43781.8984375,C,46.400001525878906,purchase,OWN,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
10.0,22.0,9600.0,C,11.699999809265137,debt,OWN,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
10.0,31.0,9600.0,C,46.400001525878906,purchase,RENT,FL,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
0.0,2.0,17437.900390625,C,20.700000762939453,purchase,MORTGAGE,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
10.0,14.0,9600.0,C,14.899999618530272,debt,OWN,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
0.0,31.0,9600.0,C,13.100000381469728,purchase,MORTGAGE,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
3.0,14.0,9798.099609375,C,46.400001525878906,purchase,RENT,FL,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
9.0,31.0,9600.0,C,46.400001525878906,purchase,MORTGAGE,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
0.0,2.0,17207.5,C,9.0,purchase,MORTGAGE,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
0.0,16.0,9600.0,C,31.299999237060547,purchase,OWN,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
2.0,12.0,9600.0,F,46.400001525878906,purchase,RENT,FL,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
10.0,21.0,9600.0,C,13.800000190734863,debt,RENT,ID,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4
10.0,10.0,9600.0,A,18.799999237060547,purchase,OWN,MS,c7056030-d9fd-457e-b278-811ade931da6
10.0,15.0,21222.5,F,3.0999999046325684,purchase,RENT,VT,c7056030-d9fd-457e-b278-811ade931da6
0.0,15.0,40227.19921875,D,15.899999618530272,small_business,MORTGAGE,ID,c7056030-d9fd-457e-b278-811ade931da6
10.0,2.0,9600.0,F,25.700000762939453,purchase,RENT,VT,c7056030-d9fd-457e-b278-811ade931da6
4.0,31.0,9600.0,C,21.299999237060547,purchase,MORTGAGE,ID,c7056030-d9fd-457e-b278-811ade931da6
10.0,31.0,9600.0,F,46.400001525878906,purchase,RENT,VT,c7056030-d9fd-457e-b278-811ade931da6
1.0,13.0,26330.30078125,C,43.0,purchase,MORTGAGE,ID,c7056030-d9fd-457e-b278-811ade931da6
10.0,11.0,14191.7001953125,F,15.399999618530272,purchase,RENT,VT,c7056030-d9fd-457e-b278-811ade931da6
0.0,18.0,9600.0,B,8.399999618530273,purchase,OWN,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
10.0,2.0,12593.7001953125,C,3.0999999046325684,debt,MORTGAGE,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
1.0,5.0,9600.0,B,24.399999618530273,debt,OWN,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
10.0,7.0,14763.900390625,B,46.400001525878906,purchase,OWN,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
10.0,31.0,9600.0,C,28.799999237060547,debt,OWN,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
0.0,6.0,10669.400390625,B,9.300000190734863,purchase,MORTGAGE,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
10.0,31.0,10722.2998046875,A,46.400001525878906,debt,RENT,VT,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
10.0,6.0,17042.5,F,40.400001525878906,purchase,RENT,VT,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
10.0,2.0,9600.0,F,3.0999999046325684,purchase,RENT,VT,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
10.0,13.0,9600.0,A,13.800000190734863,debt,OWN,VA,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
0.0,2.0,9600.0,B,3.0999999046325684,debt,OWN,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
10.0,14.0,9600.0,C,8.0,debt,OWN,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
0.0,8.0,9600.0,B,22.299999237060547,purchase,MORTGAGE,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
1.0,8.0,9600.0,B,46.400001525878906,debt,OWN,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
10.0,31.0,9600.0,B,33.29999923706055,debt,OWN,ID,5c49654a-f2c4-4a25-b1ef-fb962d6d2616
1.0,2.0,9600.0,F,6.900000095367432,purchase,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,9.0,9600.0,A,3.0999999046325684,educational,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
0.0,31.0,17280.80078125,B,8.699999809265137,purchase,MORTGAGE,ID,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,24.0,9600.0,F,5.0,debt,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,27.0,9600.0,A,46.400001525878906,debt,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
1.0,2.0,9600.0,F,6.599999904632568,educational,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,11.0,9600.0,A,3.0999999046325684,purchase,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,24.0,9600.0,F,12.100000381469728,debt,RENT,VA,108e2240-8f1c-499c-b4de-6140e55d59e9
2.0,11.0,9600.0,B,25.200000762939453,debt,MORTGAGE,ID,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,31.0,9600.0,F,46.400001525878906,debt,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
0.0,2.0,9600.0,F,7.400000095367432,purchase,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
7.0,11.0,9600.0,A,3.0999999046325684,educational,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,12.0,9600.0,F,16.600000381469727,debt,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,31.0,9600.0,F,20.200000762939453,purchase,RENT,VA,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,20.0,9600.0,A,46.400001525878906,debt,RENT,VT,108e2240-8f1c-499c-b4de-6140e55d59e9
10.0,2.0,9600.0,A,3.0999999046325684,purchase,OWN,VA,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,13.0,9600.0,A,18.299999237060547,purchase,OWN,NE,01d97165-74f0-4eb9-82ea-98cb41334a86
7.0,21.0,9600.0,C,18.899999618530273,debt,OWN,ID,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,13.0,9600.0,A,46.400001525878906,purchase,MORTGAGE,MS,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,31.0,9600.0,A,30.700000762939453,purchase,MORTGAGE,VA,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,2.0,9600.0,A,12.699999809265137,purchase,OWN,ID,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,29.0,9600.0,A,17.200000762939453,purchase,MORTGAGE,VA,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,13.0,9600.0,A,25.799999237060547,purchase,OWN,VA,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,10.0,10164.7998046875,A,46.400001525878906,purchase,MORTGAGE,MS,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,31.0,9600.0,A,46.400001525878906,purchase,OWN,ID,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,2.0,9600.0,A,11.0,purchase,OWN,ID,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,29.0,9600.0,A,16.600000381469727,purchase,MORTGAGE,MS,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,13.0,9600.0,A,24.5,purchase,OWN,VA,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,9.0,9600.0,A,46.400001525878906,purchase,MORTGAGE,ME,01d97165-74f0-4eb9-82ea-98cb41334a86
10.0,31.0,10173.2998046875,A,46.400001525878906,purchase,OWN,ID,01d97165-74f0-4eb9-82ea-98cb41334a86
0.0,4.0,9600.0,B,8.100000381469727,purchase,MORTGAGE,ID,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,2.0,9600.0,A,21.100000381469727,purchase,OWN,KY,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,4.0,9600.0,A,46.400001525878906,debt,OWN,VA,b277c16b-ba05-4dd9-b0da-0b335508d34b
5.0,21.0,9600.0,D,4.900000095367432,small_business,MORTGAGE,ID,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,31.0,19492.400390625,C,34.70000076293945,debt,MORTGAGE,ID,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,23.0,9600.0,C,4.900000095367432,debt,MORTGAGE,ID,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,4.0,10095.7998046875,A,6.199999809265137,purchase,OWN,UT,b277c16b-ba05-4dd9-b0da-0b335508d34b
6.0,2.0,9600.0,C,20.100000381469727,debt,MORTGAGE,ID,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,4.0,9600.0,A,46.400001525878906,debt,MORTGAGE,VA,b277c16b-ba05-4dd9-b0da-0b335508d34b
6.0,31.0,47622.5,C,41.599998474121094,purchase,MORTGAGE,ID,b277c16b-ba05-4dd9-b0da-0b335508d34b
0.0,4.0,9600.0,C,12.300000190734863,purchase,MORTGAGE,ID,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,4.0,9600.0,A,6.900000095367432,purchase,OWN,UT,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,4.0,25035.80078125,C,46.400001525878906,debt,MORTGAGE,ID,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,14.0,9600.0,A,23.799999237060547,debt,MORTGAGE,VA,b277c16b-ba05-4dd9-b0da-0b335508d34b
3.0,31.0,9600.0,C,36.29999923706055,purchase,MORTGAGE,ID,b277c16b-ba05-4dd9-b0da-0b335508d34b
10.0,3.0,23959.30078125,F,18.399999618530273,purchase,RENT,VT,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
10.0,5.0,9600.0,B,46.400001525878906,small_business,MORTGAGE,ID,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
9.0,27.0,9600.0,D,46.400001525878906,small_business,MORTGAGE,ID,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
0.0,31.0,9600.0,D,18.200000762939453,small_business,MORTGAGE,ID,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
10.0,31.0,9600.0,A,16.299999237060547,purchase,RENT,VT,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
10.0,15.0,9600.0,C,22.600000381469727,educational,MORTGAGE,ID,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
10.0,2.0,9600.0,F,9.399999618530272,purchase,RENT,VT,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
0.0,4.0,10338.7998046875,D,18.5,small_business,MORTGAGE,ID,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
10.0,31.0,9600.0,F,26.799999237060547,purchase,RENT,VT,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
10.0,2.0,9600.0,F,17.600000381469727,purchase,RENT,VT,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
8.0,8.0,9600.0,B,46.400001525878906,small_business,MORTGAGE,ID,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
10.0,17.0,9815.599609375,F,46.400001525878906,purchase,RENT,VT,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc
