query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker
4a6adc5d-0987-4708-8201-d1c93f9d4a38,1,0.03,2.848579168319702,1.3348503112792969,0.3472222089767456,True,0 <= ... < 200 DM,21,all credits at this bank paid back duly,business,2235,A64,... < 1 year,4,male : married/widowed,co-applicant,3,real estate,36,bank,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no
4a6adc5d-0987-4708-8201-d1c93f9d4a38,3,0.03,2.8730521202087402,1.0136135816574097,0.1527777761220932,True,0 <= ... < 200 DM,17,existing credits paid back duly till now,business,1908,A64,... < 1 year,4,male : married/widowed,guarantor,4,real estate,46,bank,own,4,unemployed/ unskilled - non-resident,2,none,yes
4a6adc5d-0987-4708-8201-d1c93f9d4a38,4,0.03,2.6047511100769043,1.4020456075668335,0.2222222238779068,True,0 <= ... < 200 DM,60,all credits at this bank paid back duly,business,1953,A64,... < 1 year,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",36,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes
85afd389-4566-48eb-a3c5-0ca02b5ce406,3,0.03,1.9066431522369385,1.8773221969604492,0.3630952537059784,True,0 <= ... < 200 DM,21,all credits at this bank paid back duly,car (used),1917,A61,unemployed,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",21,none,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes
85afd389-4566-48eb-a3c5-0ca02b5ce406,4,0.03,2.150251865386963,1.7995063066482544,0.2619047462940216,True,0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),car (used),1868,A61,unemployed,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes
feb99767-4b22-4d5f-9cbb-3daa84e8d22c,1,0.03,2.4511609077453613,0.5440405607223511,0.25,True,... < 0 DM,24,delay in paying off in the past,radio/television,2442,A61,... < 1 year,4,male : married/widowed,co-applicant,4,real estate,48,stores,own,1,unemployed/ unskilled - non-resident,1,none,no
feb99767-4b22-4d5f-9cbb-3daa84e8d22c,3,0.03,2.459214448928833,0.1788029670715332,0.0555555559694767,True,... < 0 DM,36,all credits at this bank paid back duly,radio/television,356,A61,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,4,unemployed/ unskilled - non-resident,2,none,yes
feb99767-4b22-4d5f-9cbb-3daa84e8d22c,4,0.03,2.106916904449463,0.9578110575675964,0.1666666716337204,True,... < 0 DM,60,delay in paying off in the past,radio/television,1057,A61,... < 1 year,4,male : married/widowed,guarantor,4,real estate,57,stores,own,4,skilled employee / official,2,none,yes
2c72e1df-37fe-4177-b794-7ea58a0b1c9f,3,0.03,2.8527109622955322,0.9918807148933411,0.28148147463798523,True,... < 0 DM,27,no credits taken/ all credits paid back duly,business,3519,A63,4 <= ... < 7 years,4,male : single,guarantor,1,if not A121 : building society savings agreement/ life insurance,30,bank,own,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes
2c72e1df-37fe-4177-b794-7ea58a0b1c9f,4,0.03,2.381934642791748,1.346788763999939,0.1309523731470108,True,... < 0 DM,60,no credits taken/ all credits paid back duly,business,3087,A61,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes
10ae5ffd-b128-4efa-817d-e7e19d9b0936,4,0.03,1.5036875009536743,0.8572857975959778,0.1111111119389534,True,0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),radio/television,4994,A63,1 <= ... < 4 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,4,unskilled - resident,2,none,yes
4c0d3150-c0d3-4f85-8559-f384fd90965d,4,0.03,1.4689749479293823,0.7123869061470032,0.21666665375232697,True,0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),radio/television,2372,A61,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,4,skilled employee / official,2,none,yes
aa354f7b-27cb-4f91-8550-05e3a8abafa6,0,0.03,3.1798133850097656,1.5782142877578735,0.18333333730697632,True,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3454,A61,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,4,unemployed/ unskilled - non-resident,2,none,yes
aa354f7b-27cb-4f91-8550-05e3a8abafa6,1,0.03,2.449765205383301,1.133557915687561,0.4761904776096344,True,0 <= ... < 200 DM,18,all credits at this bank paid back duly,furniture/equipment,3747,A61,.. >= 7 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,35,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no
aa354f7b-27cb-4f91-8550-05e3a8abafa6,4,0.03,2.166966199874878,2.3054215908050537,0.4583333432674408,True,0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),furniture/equipment,5943,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,4,skilled employee / official,2,none,yes
d48209db-370b-4c11-b833-c374c978fe94,4,0.03,2.517972946166992,1.6222134828567505,0.2757936418056488,True,... < 0 DM,59,all credits at this bank paid back duly,car (used),1288,A63,unemployed,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes
7072c831-8ea1-4c6f-8e31-f52b502fc20f,4,0.03,2.188450574874878,1.3556195497512817,0.255952388048172,True,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7322,A61,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,4,unskilled - resident,2,none,yes
