query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
e5dc1bc5-eb87-4175-a445-0fc182d31927,0,0.03,1.3678722381591797,0.1579992175102234,0.2539682686328888,True,93,13,20,16,11,0,0,100,83,7,1,0,100,24,0,1,0,75,4,1,1,100
e5dc1bc5-eb87-4175-a445-0fc182d31927,1,0.03,1.3298125267028809,0.24913926422595978,0.24444444477558136,True,82,37,17,76,3,0,0,100,83,7,2,0,100,24,0,1,0,77,2,1,0,100
e5dc1bc5-eb87-4175-a445-0fc182d31927,2,0.03,1.212416648864746,0.29305410385131836,0.1587301641702652,True,71,26,20,34,54,0,0,100,19,8,2,0,100,24,1,1,23,72,3,1,1,100
e5dc1bc5-eb87-4175-a445-0fc182d31927,3,0.03,1.3819869756698608,0.19157712161540985,0.12222222238779068,True,93,22,15,33,3,0,0,100,83,9,2,0,100,24,1,1,0,69,2,1,0,100
e5dc1bc5-eb87-4175-a445-0fc182d31927,4,0.03,1.3756855726242065,0.1939227133989334,0.23333333432674408,True,71,17,12,29,36,0,0,100,83,7,0,0,98,24,1,0,0,75,2,2,0,100
4f983d41-30ee-416f-80cb-dfe5867b2c20,0,0.03,1.0976810455322266,0.4328388273715973,0.4867725074291229,True,70,210,4,46,39,0,0,100,17,7,14,2,20,24,3,4,0,69,9,1,3,92
4f983d41-30ee-416f-80cb-dfe5867b2c20,1,0.03,1.4278348684310913,0.3671649992465973,0.42658731341362,True,93,209,2,45,50,0,0,100,83,7,15,2,24,24,1,3,75,68,9,1,3,92
4f983d41-30ee-416f-80cb-dfe5867b2c20,2,0.03,1.127612590789795,0.31510016322135925,0.43386244773864746,True,92,219,7,56,18,0,0,100,16,8,13,2,22,24,3,3,3,71,9,1,3,91
4f983d41-30ee-416f-80cb-dfe5867b2c20,3,0.03,1.180879831314087,0.2885156571865082,0.4851851761341095,True,77,235,6,53,16,0,0,100,56,7,16,2,21,24,3,3,0,84,8,1,1,97
4f983d41-30ee-416f-80cb-dfe5867b2c20,4,0.03,1.4544031620025635,0.19427341222763062,0.4444444477558136,True,71,203,1,69,67,0,0,100,83,7,15,2,17,24,2,2,61,77,9,1,3,91
642c9a42-9772-4b4f-95cd-c6b61dbe98bc,0,0.03,1.143956184387207,0.28220048546791077,0.1726190447807312,True,86,130,0,56,34,0,0,92,83,9,25,3,22,24,10,9,0,72,5,3,0,65
642c9a42-9772-4b4f-95cd-c6b61dbe98bc,2,0.03,1.1025973558425903,0.3046390116214752,0.5138888955116272,True,93,143,0,94,25,0,0,92,62,6,25,3,25,24,10,9,0,71,4,2,0,64
642c9a42-9772-4b4f-95cd-c6b61dbe98bc,3,0.03,1.130138874053955,0.24839872121810913,0.255952388048172,True,70,150,1,60,57,0,0,94,83,7,24,3,25,24,9,8,0,67,5,2,1,66
642c9a42-9772-4b4f-95cd-c6b61dbe98bc,4,0.03,1.1741842031478882,0.2006467580795288,0.380952388048172,True,67,135,0,64,67,0,0,93,83,6,22,3,20,24,9,9,21,58,5,2,0,64
eed77107-6ffd-4d2d-baa8-aa396d9797ce,0,0.03,1.2420846223831177,0.21971529722213745,0.4947090148925781,True,88,250,54,109,10,16,16,100,11,7,13,0,51,0,0,0,56,85,2,1,0,48
eed77107-6ffd-4d2d-baa8-aa396d9797ce,2,0.03,0.941187858581543,0.22193817794322968,0.242063507437706,True,86,215,52,86,6,16,0,100,0,7,12,0,80,0,0,0,27,68,1,1,0,50
eed77107-6ffd-4d2d-baa8-aa396d9797ce,3,0.03,0.5585728883743286,0.29682454466819763,0.6464285850524902,True,90,203,54,101,12,6,2,100,15,7,11,0,55,8,0,0,105,78,1,1,0,52
eed77107-6ffd-4d2d-baa8-aa396d9797ce,4,0.03,1.2426429986953735,0.16368936002254486,0.32910051941871643,True,89,207,53,97,10,16,16,100,0,7,9,0,59,0,0,0,7,82,1,1,3,51
787ac1e4-8a81-4308-8c2c-838f5e071dea,0,0.03,1.128864049911499,0.32603955268859863,0.3888889253139496,True,93,43,3,19,18,0,0,100,17,7,15,4,42,24,0,0,18,68,5,3,0,90
787ac1e4-8a81-4308-8c2c-838f5e071dea,2,0.03,1.2556536197662354,0.20068730413913727,0.2380952388048172,True,69,37,0,24,13,0,0,100,73,9,14,5,43,24,1,1,0,62,4,2,1,88
512abd48-37e1-4ff4-9e1f-a89e0a7cd7dd,2,0.03,0.8868185877799988,0.22435975074768066,0.5333333611488342,True,71,121,5,33,23,16,0,100,0,7,70,5,46,0,2,1,29,77,0,4,0,38
512abd48-37e1-4ff4-9e1f-a89e0a7cd7dd,3,0.03,0.4178686738014221,0.3182462155818939,0.5151515007019043,True,78,159,5,40,25,2,3,100,21,7,67,6,31,0,1,1,83,80,0,4,0,41
675587af-1d3d-4ff4-84d4-ac215b39b10f,3,0.03,0.8073098659515381,0.4741380214691162,0.6444444060325623,True,64,183,18,93,23,16,0,75,0,4,32,0,30,23,0,0,57,70,11,1,1,85
675587af-1d3d-4ff4-84d4-ac215b39b10f,4,0.03,0.3912689983844757,0.4300335943698883,0.6984127163887024,True,65,175,18,98,25,1,5,75,0,4,26,0,33,24,0,0,89,77,10,2,1,91
bf755997-c2ea-4cad-a0e4-4f2612e7ec38,0,0.03,1.2463990449905396,0.331915944814682,0.34285715222358704,True,80,160,20,88,3,16,16,100,0,7,26,0,29,0,0,1,19,60,1,2,0,33
bf755997-c2ea-4cad-a0e4-4f2612e7ec38,1,0.03,0.9155320525169373,0.19041620194911957,0.42129626870155334,True,80,162,23,58,23,16,0,100,0,7,26,0,50,0,1,2,55,54,1,2,0,33
7f15dc6c-14de-47ef-ad87-4ee22b623c07,0,0.03,0.9805696606636047,0.2576489746570587,0.626984179019928,True,76,191,19,76,31,0,0,95,19,4,26,0,58,24,4,4,0,71,2,2,0,82
7f15dc6c-14de-47ef-ad87-4ee22b623c07,1,0.03,1.024262547492981,0.2926245629787445,0.5059524178504944,True,88,196,8,85,27,0,0,97,14,6,25,0,56,24,3,4,12,58,2,3,0,86
7f15dc6c-14de-47ef-ad87-4ee22b623c07,2,0.03,1.3050192594528198,0.20567858219146729,0.6018518805503845,True,74,195,13,106,23,0,0,99,83,4,26,0,59,24,3,4,0,75,3,2,0,83
7f15dc6c-14de-47ef-ad87-4ee22b623c07,4,0.03,1.3306481838226318,0.2169734388589859,0.380952388048172,True,92,206,11,84,23,0,0,95,83,4,26,0,56,24,4,4,38,82,2,2,0,77
abcac569-4584-4193-a99c-5cd1f86aa852,0,0.03,1.2039610147476196,0.2967323064804077,0.46666669845581055,True,68,337,3,105,47,0,0,89,83,6,43,3,37,24,10,12,0,57,8,6,0,71
abcac569-4584-4193-a99c-5cd1f86aa852,1,0.03,1.1222858428955078,0.3311305046081543,0.5185185074806213,True,86,350,3,116,42,0,0,92,39,8,44,3,36,24,10,10,0,69,6,6,3,74
abcac569-4584-4193-a99c-5cd1f86aa852,2,0.03,1.2260483503341675,0.1673484593629837,0.42592594027519226,True,71,332,2,85,66,0,0,90,83,6,42,3,37,24,12,11,0,56,8,6,4,71
e5dc1bc5-eb87-4175-a445-0fc182d31927,0,0.05,1.3678722381591797,0.23682177066802979,0.5416666865348816,True,93,13,20,16,11,0,0,100,83,7,1,0,100,24,0,1,0,75,4,1,1,100
e5dc1bc5-eb87-4175-a445-0fc182d31927,1,0.05,1.3298125267028809,0.27855005860328674,0.5238094925880432,True,82,37,17,76,3,0,0,100,83,7,2,0,100,24,0,1,0,77,2,1,0,100
e5dc1bc5-eb87-4175-a445-0fc182d31927,2,0.05,1.212416648864746,0.5366054177284241,0.4761904776096344,True,71,26,20,34,54,0,0,100,19,8,2,0,100,24,1,1,23,72,3,1,1,100
e5dc1bc5-eb87-4175-a445-0fc182d31927,3,0.05,1.3819869756698608,0.294435054063797,0.3095238208770752,True,93,22,15,33,3,0,0,100,83,9,2,0,100,24,1,1,0,69,2,1,0,100
e5dc1bc5-eb87-4175-a445-0fc182d31927,4,0.05,1.3756855726242065,0.27159741520881653,0.494047611951828,True,71,17,12,29,36,0,0,100,83,7,0,0,98,24,1,0,0,75,2,2,0,100
