query_id,generated,duplicates,after_dedup,sigma,pareto
9d995fd8-8ea7-4685-9f22-2609e3164ab0,250,245,5,0.03,3
a9f0d204-0c8d-4d11-9f6d-f6e64905413e,250,245,5,0.03,3
789d83c4-3bba-4d97-9b96-9b3515fac05f,250,245,5,0.03,4
f5e20630-706a-4862-b2ed-53fd5288948b,250,245,5,0.03,3
0829492d-02b1-41bc-bad1-3d5208f4fb26,250,245,5,0.03,3
e1cad930-eafd-4000-80a4-423782941df5,250,245,5,0.03,2
5a260f21-f75c-4624-9d5c-737ee28e75af,250,245,5,0.03,3
be8e457c-0484-45d2-a55e-dd11833e0679,250,245,5,0.03,2
0af7c9ce-f112-4419-9686-7cefcf95f348,250,245,5,0.03,2
5f64c545-7743-4586-bdc2-dc1b6bed736a,250,245,5,0.03,3
TOTAL,2500,2450,50,,28
