query_id,generated,duplicates,after_dedup,sigma,pareto
ba416c3d-d3ca-4873-b9bc-e8d118bc1035,250,245,5,0.03,4
4e0e5ee2-24df-4a23-88e7-ad715239a48d,250,245,5,0.03,3
635e1b2a-79ca-41bf-8685-633093cbe929,250,245,5,0.03,4
ad30b2aa-186f-4ab2-874b-894331761817,250,245,5,0.03,3
b6babaf8-c233-4736-ac9c-1aa6e3ab4e58,250,245,5,0.03,4
c7fb7f4d-8a6d-433a-83ea-5c502620cc46,250,245,5,0.03,3
d408e2de-7e69-466d-a83c-597e3639b1ee,250,245,5,0.03,1
86390155-8b7f-4f62-8844-f4e4812c5742,250,245,5,0.03,1
fb34b33a-93c5-45d0-8571-c7b90216050c,250,245,5,0.03,3
0b1a5f59-d65f-4621-b3e5-2f18e9070826,250,245,5,0.03,3
TOTAL,2500,2450,50,,29
