selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,ba416c3d-d3ca-4873-b9bc-e8d118bc1035,0.03,3,0.263693630695343,0.09011314064264297,0.1666666716337204
min_geo,ba416c3d-d3ca-4873-b9bc-e8d118bc1035,0.03,0,1.4623457193374634,0.010526315309107304,4.999999969612645e-09
weighted_sum_equal,ba416c3d-d3ca-4873-b9bc-e8d118bc1035,0.03,4,0.36808139085769653,0.06200103461742401,4.999999969612645e-09
weighted_sum_prox_heavy,ba416c3d-d3ca-4873-b9bc-e8d118bc1035,0.03,4,0.36808139085769653,0.06200103461742401,4.999999969612645e-09
pareto_knee,ba416c3d-d3ca-4873-b9bc-e8d118bc1035,0.03,4,0.36808139085769653,0.06200103461742401,4.999999969612645e-09
pareto_lex,ba416c3d-d3ca-4873-b9bc-e8d118bc1035,0.03,0,1.4623457193374634,0.010526315309107304,4.999999969612645e-09
random,ba416c3d-d3ca-4873-b9bc-e8d118bc1035,0.03,0,1.4623457193374634,0.010526315309107304,4.999999969612645e-09
min_proximity,4e0e5ee2-24df-4a23-88e7-ad715239a48d,0.03,2,0.20313961803913116,0.11602592468261719,4.999999969612645e-09
min_geo,4e0e5ee2-24df-4a23-88e7-ad715239a48d,0.03,0,1.4223477840423584,0.007017543073743582,4.999999969612645e-09
weighted_sum_equal,4e0e5ee2-24df-4a23-88e7-ad715239a48d,0.03,3,0.2889898717403412,0.02451314963400364,4.999999969612645e-09
weighted_sum_prox_heavy,4e0e5ee2-24df-4a23-88e7-ad715239a48d,0.03,2,0.20313961803913116,0.11602592468261719,4.999999969612645e-09
pareto_knee,4e0e5ee2-24df-4a23-88e7-ad715239a48d,0.03,3,0.2889898717403412,0.02451314963400364,4.999999969612645e-09
pareto_lex,4e0e5ee2-24df-4a23-88e7-ad715239a48d,0.03,0,1.4223477840423584,0.007017543073743582,4.999999969612645e-09
random,4e0e5ee2-24df-4a23-88e7-ad715239a48d,0.03,0,1.4223477840423584,0.007017543073743582,4.999999969612645e-09
min_proximity,635e1b2a-79ca-41bf-8685-633093cbe929,0.03,4,0.36921456456184387,0.0028648432344198227,9.99999993922529e-09
min_geo,635e1b2a-79ca-41bf-8685-633093cbe929,0.03,4,0.36921456456184387,0.0028648432344198227,9.99999993922529e-09
weighted_sum_equal,635e1b2a-79ca-41bf-8685-633093cbe929,0.03,4,0.36921456456184387,0.0028648432344198227,9.99999993922529e-09
weighted_sum_prox_heavy,635e1b2a-79ca-41bf-8685-633093cbe929,0.03,4,0.36921456456184387,0.0028648432344198227,9.99999993922529e-09
pareto_knee,635e1b2a-79ca-41bf-8685-633093cbe929,0.03,4,0.36921456456184387,0.0028648432344198227,9.99999993922529e-09
pareto_lex,635e1b2a-79ca-41bf-8685-633093cbe929,0.03,4,0.36921456456184387,0.0028648432344198227,9.99999993922529e-09
random,635e1b2a-79ca-41bf-8685-633093cbe929,0.03,2,1.4245352745056152,0.03678057715296745,4.999999969612645e-09
min_proximity,ad30b2aa-186f-4ab2-874b-894331761817,0.03,1,0.27925145626068115,0.14684726297855377,0.5
min_geo,ad30b2aa-186f-4ab2-874b-894331761817,0.03,0,0.5986706018447876,0.024885863065719604,0.3888889253139496
weighted_sum_equal,ad30b2aa-186f-4ab2-874b-894331761817,0.03,3,0.27973559498786926,0.1354064792394638,0.2222222238779068
weighted_sum_prox_heavy,ad30b2aa-186f-4ab2-874b-894331761817,0.03,3,0.27973559498786926,0.1354064792394638,0.2222222238779068
