query_id,generated,duplicates,after_dedup,sigma,pareto
27f442b5-1e77-44aa-a15e-55799bbf9248,250,245,5,0.03,1
af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,250,245,5,0.03,2
c09fa158-ea66-4273-8f16-0caddc487058,250,245,5,0.03,4
eca39372-7c3c-4c5d-ae42-a456e2c22e5e,250,245,5,0.03,2
a9c4d071-ed1a-4c25-9425-05c827fe44e7,250,245,5,0.03,1
9e9feea1-a05f-4b04-9414-ee609d420cc6,250,245,5,0.03,2
01f16db0-39bb-44f1-8ae5-d07a7c206bec,250,245,5,0.03,2
34143cd5-19f4-4234-8616-fcfd836f9e63,250,245,5,0.03,1
1c2a167d-bdaa-443b-821a-c82ac2f05366,250,245,5,0.03,1
d78490e7-6355-4738-bf5b-760bb51e8a81,250,245,5,0.03,1
TOTAL,2500,2450,50,,17
