selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,27f442b5-1e77-44aa-a15e-55799bbf9248,0.03,0,1.0465261936187744,0.1912229210138321,0.24444444477558136
min_geo,27f442b5-1e77-44aa-a15e-55799bbf9248,0.03,0,1.0465261936187744,0.1912229210138321,0.24444444477558136
weighted_sum_equal,27f442b5-1e77-44aa-a15e-55799bbf9248,0.03,0,1.0465261936187744,0.1912229210138321,0.24444444477558136
weighted_sum_prox_heavy,27f442b5-1e77-44aa-a15e-55799bbf9248,0.03,0,1.0465261936187744,0.1912229210138321,0.24444444477558136
pareto_knee,27f442b5-1e77-44aa-a15e-55799bbf9248,0.03,0,1.0465261936187744,0.1912229210138321,0.24444444477558136
pareto_lex,27f442b5-1e77-44aa-a15e-55799bbf9248,0.03,0,1.0465261936187744,0.1912229210138321,0.24444444477558136
random,27f442b5-1e77-44aa-a15e-55799bbf9248,0.03,0,1.0465261936187744,0.1912229210138321,0.24444444477558136
min_proximity,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.03,4,1.0365649461746216,1.4216872453689575,0.4571428596973419
min_geo,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.03,0,1.698454737663269,0.7816902995109558,0.44285714626312256
weighted_sum_equal,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.03,0,1.698454737663269,0.7816902995109558,0.44285714626312256
weighted_sum_prox_heavy,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.03,4,1.0365649461746216,1.4216872453689575,0.4571428596973419
pareto_knee,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.03,4,1.0365649461746216,1.4216872453689575,0.4571428596973419
pareto_lex,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.03,0,1.698454737663269,0.7816902995109558,0.44285714626312256
random,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.03,0,1.698454737663269,0.7816902995109558,0.44285714626312256
min_proximity,c09fa158-ea66-4273-8f16-0caddc487058,0.03,3,1.0362663269042969,1.0016826391220093,0.4571428596973419
min_geo,c09fa158-ea66-4273-8f16-0caddc487058,0.03,0,2.209360122680664,0.887800931930542,0.4682539701461792
weighted_sum_equal,c09fa158-ea66-4273-8f16-0caddc487058,0.03,3,1.0362663269042969,1.0016826391220093,0.4571428596973419
weighted_sum_prox_heavy,c09fa158-ea66-4273-8f16-0caddc487058,0.03,3,1.0362663269042969,1.0016826391220093,0.4571428596973419
pareto_knee,c09fa158-ea66-4273-8f16-0caddc487058,0.03,3,1.0362663269042969,1.0016826391220093,0.4571428596973419
pareto_lex,c09fa158-ea66-4273-8f16-0caddc487058,0.03,0,2.209360122680664,0.887800931930542,0.4682539701461792
random,c09fa158-ea66-4273-8f16-0caddc487058,0.03,2,1.7531278133392334,0.9583044648170471,0.4682539999485016
min_proximity,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.03,0,0.9494059681892395,0.5793008208274841,0.38333332538604736
min_geo,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.03,0,0.9494059681892395,0.5793008208274841,0.38333332538604736
weighted_sum_equal,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.03,4,1.0241963863372803,0.6891809105873108,0.24444444477558136
weighted_sum_prox_heavy,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.03,4,1.0241963863372803,0.6891809105873108,0.24444444477558136
pareto_knee,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.03,4,1.0241963863372803,0.6891809105873108,0.24444444477558136
pareto_lex,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.03,0,0.9494059681892395,0.5793008208274841,0.38333332538604736
random,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.03,1,1.036798119544983,0.6242811679840088,0.4166666567325592
min_proximity,a9c4d071-ed1a-4c25-9425-05c827fe44e7,0.03,3,0.9887797832489014,0.11582908779382706,0.21666665375232697
