query_id,generated,duplicates,after_dedup,sigma,pareto
4a6adc5d-0987-4708-8201-d1c93f9d4a38,250,245,5,0.03,3
85afd389-4566-48eb-a3c5-0ca02b5ce406,250,245,5,0.03,2
feb99767-4b22-4d5f-9cbb-3daa84e8d22c,250,245,5,0.03,3
2c72e1df-37fe-4177-b794-7ea58a0b1c9f,250,245,5,0.03,2
10ae5ffd-b128-4efa-817d-e7e19d9b0936,250,245,5,0.03,1
4c0d3150-c0d3-4f85-8559-f384fd90965d,250,245,5,0.03,1
aa354f7b-27cb-4f91-8550-05e3a8abafa6,250,245,5,0.03,3
d48209db-370b-4c11-b833-c374c978fe94,250,245,5,0.03,1
7072c831-8ea1-4c6f-8e31-f52b502fc20f,250,245,5,0.03,1
e43b2e7a-aee6-4bf3-91c5-9e9b83748133,250,245,5,0.03,2
TOTAL,2500,2450,50,,19
