,,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
query_uuid,sigma,,,,,,,,,,,,,,,,,,,,,,,,
4f983d41-30ee-416f-80cb-dfe5867b2c20,0.03,5.0,1.2576822996139527,0.1703438757134139,1.0976810455322266,1.127612590789795,1.180879831314087,1.4278348684310913,1.4544031620025635,5.0,0.31957861185073855,0.08913290272453414,0.19427341222763062,0.2885156571865082,0.31510016322135925,0.3671649992465973,0.4328388273715973,5.0,0.4553703784942627,0.028659412691438915,0.42658731341362,0.43386244773864746,0.4444444477558136,0.4851851761341095,0.4867725074291229
4f983d41-30ee-416f-80cb-dfe5867b2c20,0.05,5.0,1.2576822996139527,0.1703438757134139,1.0976810455322266,1.127612590789795,1.180879831314087,1.4278348684310913,1.4544031620025635,5.0,0.3030212700366974,0.041622301866195116,0.2312067151069641,0.3091425895690918,0.31373536586761475,0.32313796877861023,0.33788371086120605,5.0,0.44931217432022097,0.04222440024561882,0.38518521189689636,0.4444444477558136,0.44708994030952454,0.46984127163887024,0.5
4f983d41-30ee-416f-80cb-dfe5867b2c20,0.07,5.0,1.2576822996139527,0.1703438757134139,1.0976810455322266,1.127612590789795,1.180879831314087,1.4278348684310913,1.4544031620025635,5.0,0.42050368189811704,0.059541630943253494,0.32887953519821167,0.3956805467605591,0.4482189416885376,0.44962453842163086,0.4801148474216461,5.0,0.41957672238349913,0.03131808357996564,0.37962961196899414,0.4047619104385376,0.4107142984867096,0.4497354328632355,0.4530423581600189
512abd48-37e1-4ff4-9e1f-a89e0a7cd7dd,0.03,5.0,0.8674827337265014,0.2839195887124955,0.4178686738014221,0.8868185877799988,0.9097525477409363,0.9151095747947693,1.2078642845153809,5.0,0.26986633241176605,0.03652355664291258,0.22435975074768066,0.2443207949399948,0.2784794867038727,0.2839254140853882,0.3182462155818939,5.0,0.5804545521736145,0.10474891251559279,0.5151515007019043,0.5333333611488342,0.5416666865348816,0.5454545617103577,0.7666666507720947
512abd48-37e1-4ff4-9e1f-a89e0a7cd7dd,0.05,5.0,0.8674827337265014,0.2839195887124955,0.4178686738014221,0.8868185877799988,0.9097525477409363,0.9151095747947693,1.2078642845153809,5.0,0.7136818468570709,0.18270246657414704,0.4253077208995819,0.711644172668457,0.7369781136512756,0.7631595730781555,0.9313196539878845,5.0,0.787825858592987,0.049687146040460546,0.7310605645179749,0.7518518567085266,0.7851851582527161,0.8154761791229248,0.855555534362793
512abd48-37e1-4ff4-9e1f-a89e0a7cd7dd,0.07,5.0,0.8674827337265014,0.2839195887124955,0.4178686738014221,0.8868185877799988,0.9097525477409363,0.9151095747947693,1.2078642845153809,5.0,0.6009467899799347,0.1210773236832464,0.4855826795101166,0.5279391407966614,0.5557408928871155,0.6446704268455505,0.7908008098602295,5.0,0.7762289643287659,0.047220225877279164,0.7222222685813904,0.7560606002807617,0.767676830291748,0.7851851582527161,0.8499999642372131
642c9a42-9772-4b4f-95cd-c6b61dbe98bc,0.03,5.0,1.1420802831649781,0.027568054867526583,1.1025973558425903,1.130138874053955,1.143956184387207,1.1595247983932495,1.1741842031478882,5.0,0.26088848114013674,0.039408699902986635,0.2006467580795288,0.24839872121810913,0.26855742931365967,0.28220048546791077,0.3046390116214752,5.0,0.3488095343112946,0.13519318384724555,0.1726190447807312,0.255952388048172,0.380952388048172,0.4206349551677704,0.5138888955116272
642c9a42-9772-4b4f-95cd-c6b61dbe98bc,0.05,5.0,1.1420802831649781,0.027568054867526583,1.1025973558425903,1.130138874053955,1.143956184387207,1.1595247983932495,1.1741842031478882,5.0,0.27153818011283876,0.0704108845149768,0.21384555101394653,0.22253835201263428,0.25762274861335754,0.2742462158203125,0.38943803310394287,5.0,0.4339682638645172,0.0793445542208184,0.347222238779068,0.3591269552707672,0.4539682865142822,0.4761904776096344,0.5333333611488342
642c9a42-9772-4b4f-95cd-c6b61dbe98bc,0.07,5.0,1.1420802831649781,0.027568054867526583,1.1025973558425903,1.130138874053955,1.143956184387207,1.1595247983932495,1.1741842031478882,5.0,0.32477189898490905,0.040287299458310534,0.28485584259033203,0.30241310596466064,0.30839893221855164,0.3413115441799164,0.3868800699710846,5.0,0.3699927985668182,0.11743238959747616,0.2757936418056488,0.2916666865348816,0.3206349313259125,0.4000000059604645,0.5618687272071838
675587af-1d3d-4ff4-84d4-ac215b39b10f,0.03,5.0,0.8056637346744537,0.2759767818157143,0.3912689983844757,0.8073098659515381,0.8106763362884521,0.8517699241638184,1.1672935485839844,5.0,0.4886277914047241,0.053314298852308914,0.4300335943698883,0.4628960192203522,0.4741380214691162,0.5050051808357239,0.57106614112854,5.0,0.6878571510314941,0.05074682484475244,0.6444444060325623,0.6583333611488342,0.6666666865348816,0.6984127163887024,0.7714285850524902
675587af-1d3d-4ff4-84d4-ac215b39b10f,0.05,5.0,0.8056637346744537,0.2759767818157143,0.3912689983844757,0.8073098659515381,0.8106763362884521,0.8517699241638184,1.1672935485839844,5.0,0.9832593679428101,0.23499699597318655,0.63046795129776,0.9721038937568665,0.9810152053833008,1.045410394668579,1.287299394607544,5.0,0.9274338603019714,0.04785944139808998,0.8736772537231445,0.89682537317276,0.9333333373069763,0.9333333373069763,1.0
675587af-1d3d-4ff4-84d4-ac215b39b10f,0.07,5.0,0.8056637346744537,0.2759767818157143,0.3912689983844757,0.8073098659515381,0.8106763362884521,0.8517699241638184,1.1672935485839844,5.0,0.5667572319507599,0.0714580657894069,0.4818533957004547,0.513633668422699,0.5735080242156982,0.6029685139656067,0.6618225574493408,5.0,0.770634925365448,0.05005038131621028,0.699999988079071,0.738095223903656,0.7936508059501648,0.800000011920929,0.8214285969734192
787ac1e4-8a81-4308-8c2c-838f5e071dea,0.03,5.0,1.2537879943847656,0.09763402206180209,1.128864049911499,1.1917752027511597,1.2556536197662354,1.3184946775436401,1.374152421951294,5.0,0.32709374129772184,0.09426315338203181,0.20068730413913727,0.28768202662467957,0.32603955268859863,0.36533036828041077,0.4557294547557831,5.0,0.42261904776096343,0.12893771311042598,0.2380952388048172,0.3888889253139496,0.3968254029750824,0.5238094925880432,0.5654761791229248
787ac1e4-8a81-4308-8c2c-838f5e071dea,0.05,5.0,1.2537879943847656,0.09763402206180209,1.128864049911499,1.1917752027511597,1.2556536197662354,1.3184946775436401,1.374152421951294,5.0,0.3619177877902985,0.09066743414338392,0.2568548321723938,0.2967269718647003,0.361632376909256,0.40812090039253235,0.48625385761260986,5.0,0.5288023293018341,0.04530645081313319,0.4682539999485016,0.4947090148925781,0.5481481552124023,0.5571429133415222,0.5757575631141663
787ac1e4-8a81-4308-8c2c-838f5e071dea,0.07,5.0,1.2537879943847656,0.09763402206180209,1.128864049911499,1.1917752027511597,1.2556536197662354,1.3184946775436401,1.374152421951294,5.0,0.3396191745996475,0.06581131010021453,0.2388520985841751,0.3367382287979126,0.3373446464538574,0.364766389131546,0.42039451003074646,5.0,0.4698942005634308,0.05374445158964301,0.4074074327945709,0.4206349551677704,0.4861111342906952,0.5035714507102966,0.5317460298538208
7f15dc6c-14de-47ef-ad87-4ee22b623c07,0.03,5.0,1.1985329985618591,0.18046803697433048,0.9805696606636047,1.024262547492981,1.3050192594528198,1.3306481838226318,1.3521653413772583,5.0,0.2426229387521744,0.03447698474020834,0.20567858219146729,0.2169734388589859,0.24018913507461548,0.2576489746570587,0.2926245629787445,5.0,0.5092592895030975,0.10618428256703429,0.380952388048172,0.4305555820465088,0.5059524178504944,0.6018518805503845,0.626984179019928
7f15dc6c-14de-47ef-ad87-4ee22b623c07,0.05,5.0,1.1985329985618591,0.18046803697433048,0.9805696606636047,1.024262547492981,1.3050192594528198,1.3306481838226318,1.3521653413772583,5.0,0.25041297674179075,0.05133581039410114,0.201302170753479,0.20970875024795532,0.2509305775165558,0.2598092257976532,0.33031415939331055,5.0,0.4997354507446289,0.0905778054536965,0.35449734330177307,0.4761904776096344,0.5370370745658875,0.5416666865348816,0.589285671710968
7f15dc6c-14de-47ef-ad87-4ee22b623c07,0.07,5.0,1.1985329985618591,0.18046803697433048,0.9805696606636047,1.024262547492981,1.3050192594528198,1.3306481838226318,1.3521653413772583,5.0,0.3425071597099304,0.030405150909659184,0.31107866764068604,0.325271338224411,0.32614538073539734,0.3710727393627167,0.37896767258644104,5.0,0.570767217874527,0.08749427750723515,0.4285714328289032,0.5502645969390869,0.5972222685813904,0.6388888955116272,0.6388888955116272
abcac569-4584-4193-a99c-5cd1f86aa852,0.03,5.0,1.212601900100708,0.05497063551249443,1.1222858428955078,1.2039610147476196,1.2260483503341675,1.252307653427124,1.258406639099121,5.0,0.24439783692359923,0.06741782588942065,0.1673484593629837,0.2079349309206009,0.2188429832458496,0.2967323064804077,0.3311305046081543,5.0,0.4757936656475067,0.04588003311373124,0.42592594027519226,0.43981480598449707,0.46666669845581055,0.5185185074806213,0.5280423760414124
