query_id,generated,duplicates,after_dedup,sigma,pareto
e5dc1bc5-eb87-4175-a445-0fc182d31927,250,245,5,0.03,5
4f983d41-30ee-416f-80cb-dfe5867b2c20,250,245,5,0.03,5
642c9a42-9772-4b4f-95cd-c6b61dbe98bc,250,245,5,0.03,4
eed77107-6ffd-4d2d-baa8-aa396d9797ce,250,245,5,0.03,4
787ac1e4-8a81-4308-8c2c-838f5e071dea,250,245,5,0.03,2
512abd48-37e1-4ff4-9e1f-a89e0a7cd7dd,250,245,5,0.03,2
675587af-1d3d-4ff4-84d4-ac215b39b10f,250,245,5,0.03,2
bf755997-c2ea-4cad-a0e4-4f2612e7ec38,250,245,5,0.03,2
7f15dc6c-14de-47ef-ad87-4ee22b623c07,250,245,5,0.03,4
abcac569-4584-4193-a99c-5cd1f86aa852,250,245,5,0.03,3
TOTAL,2500,2450,50,,33
