,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,01d97165-74f0-4eb9-82ea-98cb41334a86,0.03,1.6807248989741008,0.7179652055104574,0.11111111260562005
1,01d97165-74f0-4eb9-82ea-98cb41334a86,0.05,1.7901382148265839,1.0399766564369202,0.22361110523343086
2,01d97165-74f0-4eb9-82ea-98cb41334a86,0.07,1.8750453293323517,0.9742440283298492,0.1902777855627899
3,108e2240-8f1c-499c-b4de-6140e55d59e9,0.03,2.3277432918548584,0.760841965675354,0.13333333598682148
4,108e2240-8f1c-499c-b4de-6140e55d59e9,0.05,2.3902187943458557,0.5539110843092203,0.23333333805203438
5,108e2240-8f1c-499c-b4de-6140e55d59e9,0.07,2.3902187943458557,0.7956052795052528,0.24722222611308098
6,3a2595a7-0900-43c5-854a-0ff63d4c9802,0.03,2.0265530943870544,0.45092862099409103,0.2083333358168602
7,3a2595a7-0900-43c5-854a-0ff63d4c9802,0.05,2.076030194759369,0.10421804431825876,2.4999999848063226e-09
8,3a2595a7-0900-43c5-854a-0ff63d4c9802,0.07,1.8598018884658813,0.40330803394317627,0.1666666716337204
9,42a851b6-80fe-42ac-877b-8876260f2c7b,0.03,2.3747828801472983,0.888199379046758,0.1592592659095923
10,42a851b6-80fe-42ac-877b-8876260f2c7b,0.05,2.1481640338897705,1.2021597027778625,0.2994047701358795
11,42a851b6-80fe-42ac-877b-8876260f2c7b,0.07,2.250188708305359,1.382622629404068,0.22212302312254906
12,5c49654a-f2c4-4a25-b1ef-fb962d6d2616,0.03,2.0556860268115997,0.9807601422071457,0.1875000037252903
13,5c49654a-f2c4-4a25-b1ef-fb962d6d2616,0.05,1.578126311302185,0.9955308437347412,0.21666665375232697
14,5c49654a-f2c4-4a25-b1ef-fb962d6d2616,0.07,1.9237223068873088,0.9610230127970377,0.11666666534651182
15,63e1af52-4281-4e58-b574-13dc45ff60a7,0.03,1.9238928159077961,1.6422042846679688,0.2328042338291804
16,63e1af52-4281-4e58-b574-13dc45ff60a7,0.05,2.075463354587555,0.9070294499397278,0.2111111106351018
17,63e1af52-4281-4e58-b574-13dc45ff60a7,0.07,2.075463354587555,1.0647296160459518,0.1805555522441864
18,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc,0.03,2.0636119842529297,0.07079080492258072,0.0833333358168602
19,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc,0.05,2.391304095586141,0.604786050816377,0.2518518517414729
20,8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc,0.07,2.3551775217056274,0.3010076470673084,0.214285708963871
21,b277c16b-ba05-4dd9-b0da-0b335508d34b,0.03,2.214317719141642,0.637268086274465,0.21851853157083193
22,b277c16b-ba05-4dd9-b0da-0b335508d34b,0.05,1.8926031589508057,1.1349385380744934,0.33888889104127884
23,b277c16b-ba05-4dd9-b0da-0b335508d34b,0.07,1.8926031589508057,0.9019865095615387,0.23888890545232389
24,c7056030-d9fd-457e-b278-811ade931da6,0.03,2.0762949784596763,1.002343475818634,0.2537037084499995
25,c7056030-d9fd-457e-b278-811ade931da6,0.05,2.068902015686035,1.0443560481071472,0.30000000447034836
26,c7056030-d9fd-457e-b278-811ade931da6,0.07,2.1027660369873047,1.1278682500123978,0.3452381007373333
27,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4,0.03,1.604768951733907,0.6048859159151713,0.18518519153197607
28,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4,0.05,0.6054974794387817,1.7362173795700073,0.4444444179534912
29,e2c8c2da-a71d-422c-9c1b-8aeefd6515c4,0.07,0.6054974794387817,0.8570780158042908,0.1111111119389534
