query_id,generated,duplicates,after_dedup,sigma,pareto
e2c8c2da-a71d-422c-9c1b-8aeefd6515c4,250,245,5,0.03,3
c7056030-d9fd-457e-b278-811ade931da6,250,245,5,0.03,3
5c49654a-f2c4-4a25-b1ef-fb962d6d2616,250,245,5,0.03,4
108e2240-8f1c-499c-b4de-6140e55d59e9,250,245,5,0.03,3
01d97165-74f0-4eb9-82ea-98cb41334a86,250,245,5,0.03,3
b277c16b-ba05-4dd9-b0da-0b335508d34b,250,245,5,0.03,3
8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc,250,245,5,0.03,1
63e1af52-4281-4e58-b574-13dc45ff60a7,250,245,5,0.03,3
42a851b6-80fe-42ac-877b-8876260f2c7b,250,245,5,0.03,3
3a2595a7-0900-43c5-854a-0ff63d4c9802,250,245,5,0.03,2
TOTAL,2500,2450,50,,28
