age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
31.0,Self-Employed,Doctorate,Single,Professional,White,Female,40.0,098916eb-e54d-4c6c-9fa2-d621b71a7bab
31.0,Self-Employed,Bachelors,Single,Professional,White,Male,40.0,098916eb-e54d-4c6c-9fa2-d621b71a7bab
31.0,Private,Doctorate,Single,Professional,White,Male,40.0,098916eb-e54d-4c6c-9fa2-d621b71a7bab
31.0,Self-Employed,HS-grad,Single,Professional,White,Male,40.0,098916eb-e54d-4c6c-9fa2-d621b71a7bab
31.0,Self-Employed,Doctorate,Single,Other/Unknown,White,Male,40.0,098916eb-e54d-4c6c-9fa2-d621b71a7bab
31.0,Self-Employed,Doctorate,Single,Sales,White,Male,40.0,098916eb-e54d-4c6c-9fa2-d621b71a7bab
78.0,Self-Employed,Bachelors,Married,Service,White,Male,45.0,5eb48778-a191-4bd6-8298-25f7dc981c8c
78.0,Self-Employed,Bachelors,Divorced,White-Collar,White,Male,45.0,5eb48778-a191-4bd6-8298-25f7dc981c8c
78.0,Self-Employed,Bachelors,Married,White-Collar,Other,Male,45.0,5eb48778-a191-4bd6-8298-25f7dc981c8c
78.0,Self-Employed,Bachelors,Separated,White-Collar,White,Male,45.0,5eb48778-a191-4bd6-8298-25f7dc981c8c
78.0,Self-Employed,Bachelors,Married,White-Collar,Other,Male,44.98136534759307,5eb48778-a191-4bd6-8298-25f7dc981c8c
78.0,Self-Employed,Bachelors,Married,White-Collar,Other,Male,44.96210495679663,5eb48778-a191-4bd6-8298-25f7dc981c8c
78.0,Self-Employed,Bachelors,Married,White-Collar,Other,Male,44.96473064728734,5eb48778-a191-4bd6-8298-25f7dc981c8c
32.32773185020269,Private,Bachelors,Married,Blue-Collar,White,Male,44.06187908038614,5a7eb922-cc5f-4249-aac7-34a7e556740b
32.3022461987978,Private,Bachelors,Married,Blue-Collar,White,Male,44.13111993381256,5a7eb922-cc5f-4249-aac7-34a7e556740b
32.337043377333885,Private,Bachelors,Married,Blue-Collar,White,Male,44.04965169004404,5a7eb922-cc5f-4249-aac7-34a7e556740b
32.316819220218115,Private,Bachelors,Married,Blue-Collar,White,Male,44.09943965780065,5a7eb922-cc5f-4249-aac7-34a7e556740b
32.309751669130904,Private,Bachelors,Married,Blue-Collar,White,Male,44.10682943501797,5a7eb922-cc5f-4249-aac7-34a7e556740b
32.32377457656486,Private,Bachelors,Married,Blue-Collar,White,Male,44.06607340533698,5a7eb922-cc5f-4249-aac7-34a7e556740b
32.31143238455378,Private,Bachelors,Married,Blue-Collar,White,Male,44.11037193793916,5a7eb922-cc5f-4249-aac7-34a7e556740b
