age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,098916eb-e54d-4c6c-9fa2-d621b71a7bab
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,4e4fdd9b-150d-4075-8b71-4cc12d6cf40b
78,Self-Employed,Bachelors,Married,White-Collar,White,Male,45,5eb48778-a191-4bd6-8298-25f7dc981c8c
32,Private,Bachelors,Married,Blue-Collar,White,Male,44,5a7eb922-cc5f-4249-aac7-34a7e556740b
61,Private,HS-grad,Married,White-Collar,White,Male,3,ff0df641-7f7f-41e8-82f0-a4269c9a2de4
32,Private,School,Married,Service,White,Male,40,5795afba-4667-4815-b637-26ef42a251c6
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,643566c9-8b1a-467f-af05-cad530297e9e
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,972dca13-89fa-4e22-b22d-527fddc21798
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,aaaecc1b-5070-4b3c-8810-286b704d0770
78,Self-Employed,Bachelors,Married,White-Collar,White,Male,45,6f381cbe-b277-4c4d-b685-f362e607fbae
32,Private,Bachelors,Married,Blue-Collar,White,Male,44,27fa859a-1e0a-41f1-82c1-6b68e4f2e4f6
61,Private,HS-grad,Married,White-Collar,White,Male,3,192bd6d3-d0df-4c81-b56d-0d6a6026ab13
32,Private,School,Married,Service,White,Male,40,266b68c5-3586-4ebf-87eb-52a52369b199
33,Private,School,Divorced,Blue-Collar,White,Male,55,3c7c3b77-9afc-4474-8411-6b0eabbb949e
39,Private,Masters,Single,White-Collar,White,Male,40,8f966fb1-e9c9-42aa-81b1-edeef90f79c1
49,Private,Assoc,Married,Sales,White,Male,25,8cbc027c-a516-4280-8203-e8bf5218f5c1
45,Private,HS-grad,Divorced,Service,White,Male,40,c0ad493b-90af-4574-afa6-b002267032c1
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,80e2a62c-8b0f-4ef3-9655-c1a4957cf8ef
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,293a4db5-dd5d-4fe2-beee-a62b16195000
