age,hours_per_week,education,gender,marital_status,occupation,race,workclass,query_id
32.13273,35.253407,Doctorate,Male,Single,Professional,White,Self-Employed,870459e1-9124-49bf-ae42-a97815f30952
27.935184,39.601612,Doctorate,Male,Single,Professional,White,Self-Employed,870459e1-9124-49bf-ae42-a97815f30952
20.26011,40.851307,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,e6f5630c-cba1-4e76-b134-775b399bbd48
20.871798,42.506775,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,e6f5630c-cba1-4e76-b134-775b399bbd48
32.13273,35.253407,Doctorate,Male,Single,Professional,White,Self-Employed,a65bfd36-18fa-4424-a3f2-8af89456839c
27.935184,39.601612,Doctorate,Male,Single,Professional,White,Self-Employed,a65bfd36-18fa-4424-a3f2-8af89456839c
20.26011,40.851307,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,4cc11170-f278-472d-b305-f385c211df61
20.871798,42.506775,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,4cc11170-f278-472d-b305-f385c211df61
32.13273,35.253407,Doctorate,Male,Single,Professional,White,Self-Employed,fcd79d6e-1d8d-4fee-9b13-10f2a7eb8e15
27.935184,39.601612,Doctorate,Male,Single,Professional,White,Self-Employed,fcd79d6e-1d8d-4fee-9b13-10f2a7eb8e15
20.26011,40.851307,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,f2bcec08-6b53-4707-979b-d8e82cc82986
20.871798,42.506775,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,f2bcec08-6b53-4707-979b-d8e82cc82986
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,7a82b412-a8b2-4f4b-8d0a-7b4002a0ba2c
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,7a82b412-a8b2-4f4b-8d0a-7b4002a0ba2c
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,cd84ac0a-ccea-4b7e-a5de-265da477efdd
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,b905716b-641e-4dcb-a554-9799bff37c54
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,cd84ac0a-ccea-4b7e-a5de-265da477efdd
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,b905716b-641e-4dcb-a554-9799bff37c54
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,99ab7b81-fbde-476b-b970-8c2c4381cb2a
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,99ab7b81-fbde-476b-b970-8c2c4381cb2a
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,2c86b450-12db-4377-9f4d-a84cad0a38f9
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,2c86b450-12db-4377-9f4d-a84cad0a38f9
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,b90f8eaf-f871-4d49-900f-b7dd06e60d73
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,b90f8eaf-f871-4d49-900f-b7dd06e60d73
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,90897d6d-fc1d-4d57-80f0-ff6de9d194cb
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,90897d6d-fc1d-4d57-80f0-ff6de9d194cb
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,35487fff-1576-4e12-91c1-efca97ad72bf
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,35487fff-1576-4e12-91c1-efca97ad72bf
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,cf8bfe2c-2267-409c-8763-d5c39ec8aeac
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,cf8bfe2c-2267-409c-8763-d5c39ec8aeac
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,60a10ad6-c0a9-4bd3-972c-afc24e9f6bad
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,60a10ad6-c0a9-4bd3-972c-afc24e9f6bad
