sex,age,priors_count,race,c_charge_degree,query_id
Male,41.0,1.0,Caucasian,F,4da5c54b-dcb6-4c3c-bcf0-2dcda91372e2
Male,27.0,0.0,Caucasian,F,ba59b4b9-96ca-4184-bd8b-7fde80b3b265
Female,40.0,0.0,Caucasian,M,c355cb07-dbf2-4820-9e66-e8847f43304a
Female,57.0,4.0,Caucasian,F,3a739d96-308a-4125-8f68-5e71d5197d57
Male,25.0,5.0,Caucasian,M,521a2ca4-7ab2-42c1-9efb-c8b1f7920e61
Male,30.0,6.0,African-American,F,0454aa4b-da0f-43db-892d-eb2b5442e2e1
Female,33.0,5.0,African-American,F,463e75b4-06e5-468b-85fc-400a2f317901
Male,37.0,4.0,Caucasian,M,5a1b60fb-8221-41b4-9817-c77912157bfb
Male,41.0,1.0,Caucasian,F,3f9a1a16-eab2-472a-aa4c-58b2bde2eda2
Male,41.0,1.0,Caucasian,F,4ad1d105-5aa9-4d14-ac6f-28323e50d04a
Male,27.0,0.0,Caucasian,F,4f9f8023-7915-4678-83f2-45e321d5f2ea
Female,40.0,0.0,Caucasian,M,38ae7ed9-cf23-4e51-98ca-35274f4877f0
Female,57.0,4.0,Caucasian,F,d64a77df-91d3-40d6-b4dd-5c3ba388c7ce
Male,25.0,5.0,Caucasian,M,961283e3-fd73-40d7-9719-d79f065f6c87
Male,30.0,6.0,African-American,F,459e87ab-bbf2-4e18-88e4-e32a5b098ae5
Female,33.0,5.0,African-American,F,fade6a10-fdf8-468b-9c58-c9beb3ab0242
Male,37.0,4.0,Caucasian,M,77c747e2-a59b-44f3-9320-6559a1d188dc
Male,44.0,3.0,African-American,M,6e04fcb6-b5de-4745-9f0b-80fb026b1dc4
Male,24.0,1.0,African-American,F,04a91e48-59b4-4a57-90ed-ffabeb3dd26e
Male,41.0,1.0,Caucasian,F,2ca21809-b0da-46b4-8ad5-9338d270b756
Male,27.0,0.0,Caucasian,F,91173060-96dc-40cc-9da4-c736d8e42170
Female,40.0,0.0,Caucasian,M,bdba985f-9a05-478d-b866-763c6d9840d6
