status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A64,... < 1 year,3.0,male : married/widowed,none,3.0,unknown / no property,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,4d021e2a-2f50-40c9-a61b-72fd52427458
... < 0 DM,24.0,delay in paying off in the past,radio/television,1024.0,A61,... < 1 year,4.0,male : married/widowed,none,4.0,real estate,48.0,stores,own,1.0,skilled employee / official,1.0,none,no,7746c1a1-6026-44a1-9e98-32ae488a404d
... < 0 DM,18.0,no credits taken/ all credits paid back duly,business,3104.0,A61,4 <= ... < 7 years,3.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,31.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",no,847eb9ea-5d20-4592-9c06-c44167022967
... >= 200 DM / salary assignments for at least 1 year,18.0,no credits taken/ all credits paid back duly,business,3104.0,A61,4 <= ... < 7 years,3.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,31.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,847eb9ea-5d20-4592-9c06-c44167022967
... < 0 DM,18.0,no credits taken/ all credits paid back duly,business,3104.0,A61,4 <= ... < 7 years,2.927750886112262,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,31.0,none,own,1.0,skilled employee / official,0.8428475685991107,"yes, registered under the customers name",yes,847eb9ea-5d20-4592-9c06-c44167022967
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A64,... < 1 year,3.0,male : married/widowed,none,3.0,unknown / no property,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,022527ff-5b40-4e8a-9be8-fde000fb9fe2
... < 0 DM,24.0,delay in paying off in the past,radio/television,1024.0,A61,... < 1 year,4.0,male : married/widowed,none,4.0,real estate,48.0,stores,own,1.0,skilled employee / official,1.0,none,no,aaaacbd1-2c9f-431a-910c-996c0c4bba61
... < 0 DM,18.0,no credits taken/ all credits paid back duly,business,3104.0,A61,4 <= ... < 7 years,3.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,31.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",no,a5c79045-f280-4835-bbfd-c2ae11c3cb26
... >= 200 DM / salary assignments for at least 1 year,18.0,no credits taken/ all credits paid back duly,business,3104.0,A61,4 <= ... < 7 years,3.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,31.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,a5c79045-f280-4835-bbfd-c2ae11c3cb26
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,A61,4 <= ... < 7 years,3.0,male : single,none,3.0,real estate,28.0,bank,rent,1.0,unskilled - resident,1.0,none,yes,68ef698f-7200-496f-8edb-be9afadbbd2d
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,A61,unemployed,3.0,male : single,none,3.0,real estate,28.0,none,rent,1.0,unskilled - resident,1.0,none,yes,68ef698f-7200-496f-8edb-be9afadbbd2d
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,A61,4 <= ... < 7 years,3.0,male : single,none,3.0,unknown / no property,28.0,none,rent,1.0,unskilled - resident,1.0,none,yes,68ef698f-7200-496f-8edb-be9afadbbd2d
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,A61,1 <= ... < 4 years,3.0,male : single,none,3.0,real estate,28.0,none,rent,1.0,unskilled - resident,1.0,none,yes,68ef698f-7200-496f-8edb-be9afadbbd2d
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,A61,4 <= ... < 7 years,3.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",28.0,none,rent,1.0,unskilled - resident,1.0,none,yes,68ef698f-7200-496f-8edb-be9afadbbd2d
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,A61,4 <= ... < 7 years,3.0,male : single,none,3.0,real estate,28.0,stores,rent,1.0,unskilled - resident,1.0,none,yes,68ef698f-7200-496f-8edb-be9afadbbd2d
0 <= ... < 200 DM,18.0,no credits taken/ all credits paid back duly,car (new),6260.0,A61,4 <= ... < 7 years,3.0,male : single,none,3.0,real estate,28.0,none,rent,1.0,unskilled - resident,1.0,none,yes,68ef698f-7200-496f-8edb-be9afadbbd2d
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,A61,1 <= ... < 4 years,3.017552888602928,male : single,none,3.0,real estate,28.0,none,rent,1.068909596703311,unskilled - resident,1.0,none,yes,68ef698f-7200-496f-8edb-be9afadbbd2d
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A64,... < 1 year,3.0,male : married/widowed,none,3.0,unknown / no property,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,4f14b5a0-534b-4bb5-a668-5ffb9f8ea221
