status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,A64,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,4d021e2a-2f50-40c9-a61b-72fd52427458
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,9eec2c58-2c38-4874-9c9d-182c5a10821a
... < 0 DM,24,delay in paying off in the past,radio/television,1024,A61,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,7746c1a1-6026-44a1-9e98-32ae488a404d
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,A61,4 <= ... < 7 years,3,male : single,none,1,if not A121 : building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,847eb9ea-5d20-4592-9c06-c44167022967
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,A64,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,d0c10258-10f2-4266-8d70-c2996950e7cc
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,A64,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,022527ff-5b40-4e8a-9be8-fde000fb9fe2
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,b6d86eb2-9d96-48d4-9d45-09f9791b59fc
... < 0 DM,24,delay in paying off in the past,radio/television,1024,A61,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,aaaacbd1-2c9f-431a-910c-996c0c4bba61
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,A61,4 <= ... < 7 years,3,male : single,none,1,if not A121 : building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,a5c79045-f280-4835-bbfd-c2ae11c3cb26
0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),radio/television,2520,A63,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,2,unskilled - resident,1,none,yes,044fb200-92d1-4df7-855e-f08b32cc5e68
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,A61,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,f64d2f3b-4cbf-4e9f-bca3-df56950d30ef
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,A61,.. >= 7 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,c1e2398e-dbb2-4009-a6a2-da0cd87ff090
... < 0 DM,6,existing credits paid back duly till now,car (used),1352,A63,unemployed,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,fb38c02d-6e3e-4d55-ac4c-57b46b77f687
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,A61,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,68ef698f-7200-496f-8edb-be9afadbbd2d
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,A64,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes,f4e75f01-1292-4944-8f69-db45d40196a1
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,A64,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,4f14b5a0-534b-4bb5-a668-5ffb9f8ea221
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,02320713-2371-4baa-8b18-1aed66b6a5d5
