duration_in_month,credit_amount,installment_rate_in_percentage_of_disposable_income,present_residence_since,age_in_years,number_of_existing_credits_at_this_bank,number_of_people_being_liable_to_provide_maintenance_for,credit_history,foreign_worker,housing,job,other_debtors_guarantors,other_installment_plans,personal_status_and_sex,present_employment_since,property,purpose,savings_account_bonds,status_of_existing_checking_account,telephone,query_id
16.850367,2657.072,3.0343528,3.1494446,38.184597,1.0432026,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",a94062fa-70d4-4b34-8ffd-0b20ec5057f7
21.033403,2100.426,3.1260757,3.2587187,36.01537,1.0,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",a94062fa-70d4-4b34-8ffd-0b20ec5057f7
10.30439,1372.2051,3.9580617,1.8932116,34.435272,1.9071833,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",ac3444b0-519a-4d6e-9978-8b4ef025dbd8
12.16164,1838.3916,4.0,2.2408955,34.31408,2.1437402,1.0308785,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",ac3444b0-519a-4d6e-9978-8b4ef025dbd8
16.850367,2657.072,3.0343528,3.1494446,38.184597,1.0432026,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",8c9a9cf4-40ae-4d98-939b-d3f4a975368c
21.033403,2100.426,3.1260757,3.2587187,36.01537,1.0,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",8c9a9cf4-40ae-4d98-939b-d3f4a975368c
10.30439,1372.2051,3.9580617,1.8932116,34.435272,1.9071833,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",cc5e9a33-c06b-48f3-a10f-2147b61976ad
12.16164,1838.3916,4.0,2.2408955,34.31408,2.1437402,1.0308785,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",cc5e9a33-c06b-48f3-a10f-2147b61976ad
16.850367,2657.072,3.0343528,3.1494446,38.184597,1.0432026,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",20d3bf01-b5bd-46b8-a424-cbbb9c111e95
21.033403,2100.426,3.1260757,3.2587187,36.01537,1.0,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",20d3bf01-b5bd-46b8-a424-cbbb9c111e95
10.30439,1372.2051,3.9580617,1.8932116,34.435272,1.9071833,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",d45b8317-386a-4a37-9666-6247f9430a39
12.16164,1838.3916,4.0,2.2408955,34.31408,2.1437402,1.0308785,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",d45b8317-386a-4a37-9666-6247f9430a39
16.850367,2657.072,3.0343528,3.1494446,38.184597,1.0432026,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",e2b3eff5-2a4b-41e9-8f41-6ed16ecea84c
21.033403,2100.426,3.1260757,3.2587187,36.01537,1.0,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",e2b3eff5-2a4b-41e9-8f41-6ed16ecea84c
10.30439,1372.2051,3.9580617,1.8932116,34.435272,1.9071833,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",befc1493-e05d-4987-949a-b2dff7733484
12.16164,1838.3916,4.0,2.2408955,34.31408,2.1437402,1.0308785,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",befc1493-e05d-4987-949a-b2dff7733484
