employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,query_id
3,14,60000.0,C,14.1,purchase,RENT,FL,6c530cc8-1648-44a6-8e29-69f9a4db3517
5,12,175000.0,F,16.5,purchase,MORTGAGE,PA,3f14a20d-ee1b-4866-a416-daee26b1f62c
2,7,50000.0,B,8.9,debt,OWN,CA,eca0d22b-d399-402d-a7f6-15d2ef291504
2,12,30000.0,B,5.5,debt,RENT,NY,08035684-2e6e-4fba-9426-1f7edaf563d8
8,14,77040.0,A,17.6,purchase,MORTGAGE,CT,21777840-92e0-4226-b15d-fb0031372c9d
6,5,50000.0,C,7.5,debt,MORTGAGE,MO,c0717cb4-e7e9-4115-81da-f072224a2105
3,14,60000.0,C,14.1,purchase,RENT,FL,ed744bd7-c7d9-4718-9b5f-138e084a3aa9
3,14,60000.0,C,14.1,purchase,RENT,FL,b6a3e062-bb74-4bc9-aca4-c4346566265a
5,12,175000.0,F,16.5,purchase,MORTGAGE,PA,2efd722d-498a-4f9e-a27d-df0893db53b3
2,7,50000.0,B,8.9,debt,OWN,CA,e98950dc-c84f-4cef-845e-e5a1dbea4107
2,12,30000.0,B,5.5,debt,RENT,NY,c8e78005-b77a-443f-bdd8-2f946004dde6
8,14,77040.0,A,17.6,purchase,MORTGAGE,CT,0ef7625f-6c63-4829-8067-5b2a2c987260
6,5,50000.0,C,7.5,debt,MORTGAGE,MO,ffddf36f-d3ac-4b7f-b0b0-e0dbb84c6a5b
10,5,50000.0,B,18.9,small_business,RENT,CA,9a0276f6-7ba5-4b12-a257-8b079a787245
4,12,107000.0,A,15.9,debt,MORTGAGE,TX,dd132bdf-fa75-4724-801e-5fe030923dc3
5,4,35280.0,D,11.5,debt,OWN,CA,628ad197-c412-44f9-95c0-ee185fa2571c
1,3,16320.0,C,3.3,purchase,RENT,OH,4a301d2b-711a-4a73-a789-89603ba8f4be
3,14,60000.0,C,14.1,purchase,RENT,FL,52c416ea-cc49-4471-a494-4291b5870989
5,12,175000.0,F,16.5,purchase,MORTGAGE,PA,e24dab6f-80b1-488d-8f3e-a5ec021e2c4d
