employment_years,num_open_credit_acc,annual_income,credit_history,addr_state,home,loan_grade,purpose,query_id
3.1505318,13.974302,4080.0,18.145252,FL,RENT,C,purchase,f8280f6c-37c9-4cd4-b7c9-973c9fea5e9f
2.589612,13.781543,70268.32,10.207105,FL,RENT,C,purchase,f8280f6c-37c9-4cd4-b7c9-973c9fea5e9f
4.710923,10.160249,333929.94,13.19503,PA,MORTGAGE,F,purchase,ef286d52-11db-4b52-ba5b-5ec405768bbc
4.362826,14.907511,4080.0,16.546041,PA,MORTGAGE,F,purchase,ef286d52-11db-4b52-ba5b-5ec405768bbc
3.1505318,13.974302,4080.0,18.145252,FL,RENT,C,purchase,fcf39c38-e4c3-47d0-bfcd-095d156fe494
2.589612,13.781543,70268.32,10.207105,FL,RENT,C,purchase,fcf39c38-e4c3-47d0-bfcd-095d156fe494
4.710923,10.160249,333929.94,13.19503,PA,MORTGAGE,F,purchase,8ed7a725-2cf6-4695-ab3f-0aa7e5b593c9
4.362826,14.907511,4080.0,16.546041,PA,MORTGAGE,F,purchase,8ed7a725-2cf6-4695-ab3f-0aa7e5b593c9
3.1505318,13.974302,4080.0,18.145252,FL,RENT,C,purchase,983b8c27-341d-4048-9fa9-7107faeaf0e9
2.589612,13.781543,70268.32,10.207105,FL,RENT,C,purchase,983b8c27-341d-4048-9fa9-7107faeaf0e9
4.710923,10.160249,333929.94,13.19503,PA,MORTGAGE,F,purchase,931ee7ba-9661-4b7b-b672-4b419fb52776
4.362826,14.907511,4080.0,16.546041,PA,MORTGAGE,F,purchase,931ee7ba-9661-4b7b-b672-4b419fb52776
