age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
31.0,Self-Employed,Masters,Single,Professional,Other,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Government,Doctorate,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Private,Doctorate,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Assoc,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Bachelors,Single,Professional,White,Female,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Doctorate,Single,Blue-Collar,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,HS-grad,Single,Sales,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,School,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Other/Unknown,Doctorate,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Some-college,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,HS-grad,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Other/Unknown,Doctorate,Single,Professional,White,Female,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Other/Unknown,Doctorate,Single,Service,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Doctorate,Single,Service,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Doctorate,Single,Sales,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Doctorate,Single,Professional,White,Female,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,School,Single,Professional,White,Female,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Masters,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Masters,Single,Sales,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,School,Single,Blue-Collar,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Government,Doctorate,Separated,Professional,Other,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Bachelors,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Doctorate,Single,Other/Unknown,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Government,Doctorate,Single,Other/Unknown,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Doctorate,Single,Service,White,Female,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Other/Unknown,Prof-school,Single,Service,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Private,Assoc,Single,Other/Unknown,Other,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Government,Masters,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,School,Single,Other/Unknown,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,Some-college,Single,White-Collar,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Other/Unknown,Doctorate,Single,Professional,Other,Female,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Private,Doctorate,Single,Professional,White,Female,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Government,Doctorate,Single,Service,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Private,Masters,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Government,Some-college,Single,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Other/Unknown,Doctorate,Widowed,Blue-Collar,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
31.0,Self-Employed,School,Divorced,Professional,White,Male,40.0,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
