age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,c3a951e7-8f4c-4428-85ff-2950668db303
78,Self-Employed,Bachelors,Married,White-Collar,White,Male,45,127a9135-a780-4cbc-874d-963203e18783
32,Private,Bachelors,Married,Blue-Collar,White,Male,44,41028f4d-a8e3-4f91-98d9-8a4e6e41ae57
61,Private,HS-grad,Married,White-Collar,White,Male,3,cc0ac02b-7954-4783-8498-3b01f4aa5847
32,Private,School,Married,Service,White,Male,40,523ddfae-3c0f-41c1-ad83-8ed25de55642
33,Private,School,Divorced,Blue-Collar,White,Male,55,64bfe072-22c5-4ff7-8f17-ab9773716a6d
39,Private,Masters,Single,White-Collar,White,Male,40,ac83d6ed-17c9-455c-8882-18dcdecb8369
49,Private,Assoc,Married,Sales,White,Male,25,527b6aba-00a3-427c-a206-2e0b724ec174
45,Private,HS-grad,Divorced,Service,White,Male,40,fc4166fd-913f-42e3-b95b-ecd17541efab
