age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
32.132728576660156,Self-Employed,Doctorate,Married,Blue-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Single,White-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Single,Professional,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Prof-school,Single,Blue-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Married,Blue-Collar,White,Female,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Married,Professional,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Government,Doctorate,Married,Blue-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Separated,White-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Prof-school,Single,White-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Prof-school,Single,Sales,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Separated,Professional,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Widowed,White-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Married,Service,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Prof-school,Single,Professional,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Widowed,Professional,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Divorced,Professional,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Single,Professional,Other,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Married,Sales,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Divorced,White-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Private,Doctorate,Married,Blue-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Prof-school,Single,Blue-Collar,Other,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Widowed,Sales,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Doctorate,Married,White-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
32.132728576660156,Self-Employed,Prof-school,Married,Blue-Collar,White,Male,35.2534065246582,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Other/Unknown,Doctorate,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Private,Doctorate,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Single,Professional,White,Female,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Single,Sales,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Private,Doctorate,Single,White-Collar,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Single,Service,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,School,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Bachelors,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Single,Blue-Collar,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Masters,Single,Professional,Other,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Single,Other/Unknown,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Government,Doctorate,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Assoc,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Private,Prof-school,Single,Blue-Collar,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,HS-grad,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Some-college,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Masters,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Government,Doctorate,Single,Service,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,School,Single,Sales,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Separated,Other/Unknown,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Government,Doctorate,Single,Blue-Collar,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Other/Unknown,School,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,HS-grad,Single,Sales,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Private,Doctorate,Single,Professional,White,Female,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Other/Unknown,Doctorate,Single,Other/Unknown,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Single,Blue-Collar,Other,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Bachelors,Single,Sales,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Government,Masters,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Other/Unknown,Bachelors,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,School,Single,Service,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Divorced,Professional,White,Female,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Single,Other/Unknown,Other,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Single,Sales,Other,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Single,White-Collar,Other,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Other/Unknown,Doctorate,Widowed,Professional,Other,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,HS-grad,Single,White-Collar,Other,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Bachelors,Single,Other/Unknown,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Other/Unknown,Some-college,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Assoc,Married,Other/Unknown,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Private,Assoc,Single,Professional,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,Doctorate,Widowed,Professional,White,Female,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
26.34848403930664,Self-Employed,HS-grad,Single,Blue-Collar,White,Male,38.57784652709961,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f
