sex,age,priors_count,race,c_charge_degree,query_id
Female,41.73352339505605,3.1968511658565477,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.73352339505605,3.3816091645411728,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,2.990511657425164,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.29375993357677,3.043502113449325,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.069610127225057,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,40.94359823486193,3.069610127225057,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.221241451964545,3.069610127225057,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,4.122287787523796,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.2183800402944938,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,4.286117524217654,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,4.286117524217654,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.09401001525474,4.286117524217654,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,40.87615299120331,4.286117524217654,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.17246538827902,4.286117524217654,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.0066636289157973,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.189825164688365,3.0066636289157973,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.18279368755114,5.160696971863623,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.48728555341102,5.160696971863623,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.103918517864549,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.02416044441497,3.103918517864549,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.1230894612594,3.103918517864549,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,40.58366934661428,3.103918517864549,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,4.235716588462664,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,5.022002093067956,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,5.047868957795754,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.023678439788185,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,4.8945977193469155,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,4.8945977193469155,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,4.982651503849521,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,5.041810045303453,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,5.041810045303453,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.87151298646287,2.596606779385156,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.733696793337606,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,40.77163630047416,3.733696793337606,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.394663131390345,3.733696793337606,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.001087781052989,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.133840745626876,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,40.64966948660977,3.133840745626876,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.5598328724666,3.133840745626876,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.1554380854936976,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.18109990432789,3.1554380854936976,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,40.78925875335274,3.1554380854936976,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.35725132904099,3.1554380854936976,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,40.62659575195084,3.1554380854936976,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.199981013184994,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.13660056309689,3.199981013184994,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.329924526621,3.199981013184994,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.63132891767766,3.199981013184994,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.44093106420133,3.2660843797569923,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,4.073966169511735,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,4.086950266164825,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Female,40.986036415633954,3.1829237259702867,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.079773923900426,3.1829237259702867,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.10514804925198,3.1829237259702867,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.16136847646871,3.1829237259702867,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.2324056641567256,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.99937439686035,3.1899740630099007,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.99937439686035,3.484971586667556,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.167234600592342,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.40178287799894,3.049807034530163,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.1246096257743,3.3811615153730092,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,40.700801728036275,3.3811615153730092,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,40.32522638260364,3.3811615153730092,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.756326346082616,3.3811615153730092,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.006960366232365,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.30422359249737,3.258630928984503,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.47404320823898,3.232520945788579,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,4.14722833899658,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.093658577307416,4.14722833899658,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,40.86507511791349,4.14722833899658,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,40.78091582000886,4.14722833899658,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.28172211536997,4.14722833899658,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.40488984384121,3.9790235826914175,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,4.220618019980576,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,4.310928787332504,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,41.0,4.359540333876739,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.1312669635239576,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.18496733806494,3.254178228979576,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.0,3.4950232190797568,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.02327151249273,3.4950232190797568,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,41.18496733806494,3.4950232190797568,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
