sex,age,priors_count,race,c_charge_degree,query_id
Male,41.0,1.0,Caucasian,F,1957368d-8021-4dc3-a904-6e828183190b
Male,27.0,0.0,Caucasian,F,a8d4b637-7d96-4a5f-ae17-ef9cb8e13f71
Female,40.0,0.0,Caucasian,M,4366370b-345d-43c4-b16f-da0c092a4d8e
Female,57.0,4.0,Caucasian,F,6e839d73-3a69-47f2-b2f2-8f484c083a5e
Male,25.0,5.0,Caucasian,M,f25a4ada-d4cd-4597-bc38-c66617ffcdaf
Male,30.0,6.0,African-American,F,d09872d3-cc1b-450d-9e0f-5ada2bd78ed9
Female,33.0,5.0,African-American,F,fa74b7ca-d0c6-45eb-bc2d-7dc00c73a719
Male,37.0,4.0,Caucasian,M,d76be326-c957-4d72-b274-3ec2048d6b75
Male,44.0,3.0,African-American,M,7ed353ad-8cd5-40c4-8004-9d558c5f122d
Male,24.0,1.0,African-American,F,d1f4346a-4f56-4f1b-8e10-61f9ef59fa8d
Male,41.0,1.0,Caucasian,F,42ca8efd-e495-4dd4-8aa1-35e90141dd0b
Male,41.0,1.0,Caucasian,F,54f3a1df-d1e2-4edf-ad6e-b0dcfc1f36d6
Male,27.0,0.0,Caucasian,F,c961ae2d-49a6-49df-8ea1-f8ab3ca9630c
Female,40.0,0.0,Caucasian,M,04d1ea09-2f93-42a5-acbd-f1a8e989b25d
Female,57.0,4.0,Caucasian,F,a436839f-8059-483a-9e16-5f3d43ae13d1
Male,25.0,5.0,Caucasian,M,86dd046a-eeef-46fc-b99f-90b7049ec2cd
Male,30.0,6.0,African-American,F,f20905af-ad0e-4b3a-8b2f-8626b1fd9680
Female,33.0,5.0,African-American,F,ffa1b4e1-38df-4b91-95cc-a0a62b053cc6
Male,37.0,4.0,Caucasian,M,610c6664-e937-4183-bec7-73b743e4e3e8
Male,44.0,3.0,African-American,M,292e235c-2371-4f9f-843d-e96b9525bfe7
Male,24.0,1.0,African-American,F,44df03e2-7eca-43fe-87d4-fd429f8686e7
