sex,age,priors_count,race,c_charge_degree,query_id
Female,38.64912414550781,2.4634633718292474,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.955330846083186,2.8685117831805966,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,39.19246754942897,2.6654168281959127,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,39.19246754942897,3.3022572697409993,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.64912414550781,2.8848545401596173,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.80231945414301,2.8848545401596173,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.87890076922769,2.8848545401596173,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.414943328701305,2.8848545401596173,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.91728970936231,2.8848545401596173,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.64912414550781,2.529332952183628,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.64912414550781,2.6873222403639963,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,38.64912414550781,3.5168177635827043,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,38.64912414550781,3.64389199807608,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,38.762420601352744,3.64389199807608,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,38.5127546411837,3.64389199807608,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,38.84401397153468,3.64389199807608,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,38.85340461673842,3.64389199807608,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.64912414550781,2.5341089748154735,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.5324495049396,2.5341089748154735,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.35295107508935,2.5341089748154735,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.95210868287719,2.5341089748154735,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.82180954206742,2.700982543107842,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,38.64912414550781,4.051155560305411,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Male,38.64912414550781,4.42101170619698,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.64912414550781,4.42101170619698,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Male,38.64912414550781,4.42101170619698,African-American,F,7f653813-5f28-4aed-8868-63211273450b
Female,38.68759577591672,2.7991209759933984,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
Female,39.164752202240514,2.7991209759933984,Caucasian,F,7f653813-5f28-4aed-8868-63211273450b
