age,priors_count,c_charge_degree,race,sex,query_id
38.649124,0.7824571,F,Caucasian,Male,7f653813-5f28-4aed-8868-63211273450b
40.21926,0.0,F,Caucasian,Male,7f653813-5f28-4aed-8868-63211273450b
44.271408,0.0,F,Caucasian,Male,7f653813-5f28-4aed-8868-63211273450b
27.15972,0.21214646,F,Caucasian,Male,f1f8fba7-8b0a-466e-8999-e24d7078b2fe
32.019024,1.0476159,F,Caucasian,Male,f1f8fba7-8b0a-466e-8999-e24d7078b2fe
29.35312,0.0,F,Caucasian,Male,f1f8fba7-8b0a-466e-8999-e24d7078b2fe
39.61841,0.0,M,Caucasian,Female,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d
39.67809,0.0,M,African-American,Female,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d
43.66529,0.14801335,M,Caucasian,Female,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d
57.19897,0.99671257,F,Caucasian,Male,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4
57.633625,3.9826655,F,Caucasian,Male,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4
56.625256,3.8282754,F,African-American,Female,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4
23.760822,5.783505,M,Caucasian,Male,75ffba90-0620-4a33-a116-90e5bb8824cc
23.89326,3.3504486,M,Caucasian,Male,75ffba90-0620-4a33-a116-90e5bb8824cc
24.93737,3.849772,M,Caucasian,Male,75ffba90-0620-4a33-a116-90e5bb8824cc
31.364279,4.73384,F,African-American,Male,812d433a-e60f-478f-9be3-b31e781f7d4d
29.00557,6.5233116,F,African-American,Male,812d433a-e60f-478f-9be3-b31e781f7d4d
30.161022,5.638889,F,African-American,Male,812d433a-e60f-478f-9be3-b31e781f7d4d
38.43969,4.0896854,F,African-American,Female,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c
32.431248,4.8521566,F,African-American,Female,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c
34.055077,4.251008,F,African-American,Female,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c
37.24536,5.0564847,M,Caucasian,Male,7d0bb7ce-d75c-420e-b954-a9f08827d327
35.139603,3.9721327,M,Caucasian,Male,7d0bb7ce-d75c-420e-b954-a9f08827d327
37.69517,3.9088302,M,Caucasian,Male,7d0bb7ce-d75c-420e-b954-a9f08827d327
46.832603,3.5794046,M,African-American,Male,ebe1a4e3-66a9-4d7b-8930-69b309da2c54
44.793026,4.0135274,M,African-American,Male,ebe1a4e3-66a9-4d7b-8930-69b309da2c54
43.414,3.6249976,M,African-American,Male,ebe1a4e3-66a9-4d7b-8930-69b309da2c54
24.026697,0.0,F,African-American,Male,3d7687bc-da7c-458a-ab25-c391444b7245
23.862127,1.1836349,M,African-American,Male,3d7687bc-da7c-458a-ab25-c391444b7245
25.746067,0.0,F,African-American,Male,3d7687bc-da7c-458a-ab25-c391444b7245
37.99593,1.349287,F,Caucasian,Male,7f653813-5f28-4aed-8868-63211273450b
41.54847,2.580781,F,Caucasian,Male,7f653813-5f28-4aed-8868-63211273450b
38.766224,1.0487946,F,Caucasian,Male,7f653813-5f28-4aed-8868-63211273450b
28.380003,3.2548559,F,Caucasian,Male,f1f8fba7-8b0a-466e-8999-e24d7078b2fe
29.014874,0.41188347,F,Caucasian,Male,f1f8fba7-8b0a-466e-8999-e24d7078b2fe
27.850367,0.0,F,Caucasian,Male,f1f8fba7-8b0a-466e-8999-e24d7078b2fe
40.462433,0.0,M,Caucasian,Female,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d
41.287064,0.0,M,Caucasian,Female,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d
42.154587,0.0,M,Caucasian,Female,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d
53.356216,4.7824717,F,Caucasian,Female,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4
55.849148,2.960122,F,Caucasian,Female,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4
61.648197,5.025198,F,Caucasian,Female,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4
24.310865,4.10014,M,Caucasian,Male,75ffba90-0620-4a33-a116-90e5bb8824cc
24.779562,6.6890545,M,Caucasian,Male,75ffba90-0620-4a33-a116-90e5bb8824cc
24.420523,5.032946,M,Caucasian,Male,75ffba90-0620-4a33-a116-90e5bb8824cc
26.211388,5.8741627,F,African-American,Male,812d433a-e60f-478f-9be3-b31e781f7d4d
32.978798,7.226123,F,African-American,Female,812d433a-e60f-478f-9be3-b31e781f7d4d
29.340828,8.440904,F,African-American,Male,812d433a-e60f-478f-9be3-b31e781f7d4d
31.935701,5.6119657,F,African-American,Female,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c
34.351128,4.4636674,F,African-American,Female,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c
38.419518,4.451301,F,African-American,Female,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c
34.32257,4.2598376,M,African-American,Male,7d0bb7ce-d75c-420e-b954-a9f08827d327
33.95832,7.098209,M,Caucasian,Male,7d0bb7ce-d75c-420e-b954-a9f08827d327
33.188164,3.782215,M,Caucasian,Male,7d0bb7ce-d75c-420e-b954-a9f08827d327
44.73987,5.3721385,M,African-American,Male,ebe1a4e3-66a9-4d7b-8930-69b309da2c54
45.81638,1.1375157,M,African-American,Male,ebe1a4e3-66a9-4d7b-8930-69b309da2c54
44.48714,4.3082294,M,African-American,Male,ebe1a4e3-66a9-4d7b-8930-69b309da2c54
26.7709,0.0,F,African-American,Male,3d7687bc-da7c-458a-ab25-c391444b7245
