status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A61,... < 1 year,3.0,male : married/widowed,none,3.0,real estate,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,c7321fe3-e04c-4c29-863a-43d4087b600f
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A64,... < 1 year,3.0,male : married/widowed,none,3.0,unknown / no property,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,c7321fe3-e04c-4c29-863a-43d4087b600f
0 <= ... < 200 DM,12.0,critical account/ other credits existing (not at this bank),repairs,1860.0,A61,unemployed,4.0,male : divorced/separated,none,2.0,"if not A121/A122 : car or other, not in attribute 6",34.0,none,own,2.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,d6085ceb-d368-446f-b4ec-031ff01252de
0 <= ... < 200 DM,12.0,delay in paying off in the past,repairs,1860.0,A61,unemployed,4.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",34.0,none,own,2.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,d6085ceb-d368-446f-b4ec-031ff01252de
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,repairs,1860.0,A61,unemployed,4.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",34.0,none,own,2.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,d6085ceb-d368-446f-b4ec-031ff01252de
0 <= ... < 200 DM,12.0,no credits taken/ all credits paid back duly,car (used),1860.0,A61,unemployed,4.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",34.0,stores,own,2.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,d6085ceb-d368-446f-b4ec-031ff01252de
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A64,... < 1 year,3.0,male : married/widowed,none,3.0,unknown / no property,36.0,bank,own,1.0,unskilled - resident,1.0,none,yes,35f957b6-60a3-4929-9024-341df2756aa9
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A64,... < 1 year,3.0,male : married/widowed,none,3.0,unknown / no property,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,35f957b6-60a3-4929-9024-341df2756aa9
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A61,... < 1 year,3.0,male : married/widowed,none,3.0,real estate,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,35f957b6-60a3-4929-9024-341df2756aa9
0 <= ... < 200 DM,18.0,no credits taken/ all credits paid back duly,business,1913.0,A64,... < 1 year,3.0,male : divorced/separated,none,3.0,real estate,36.0,bank,own,1.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,35f957b6-60a3-4929-9024-341df2756aa9
