status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,17.31022071838379,existing credits paid back duly till now,business,2359.44287109375,A64,... < 1 year,3.020611524581909,male : married/widowed,none,3.0896666049957275,unknown / no property,37.31075668334961,bank,own,1.0259215831756592,skilled employee / official,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
0 <= ... < 200 DM,17.31022071838379,existing credits paid back duly till now,business,2359.44287109375,A64,... < 1 year,3.020611524581909,male : married/widowed,none,3.0896666049957275,unknown / no property,37.31075668334961,bank,for free,1.0259215831756592,skilled employee / official,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
0 <= ... < 200 DM,17.31022071838379,no credits taken/ all credits paid back duly,business,2359.44287109375,A64,... < 1 year,3.020611524581909,male : married/widowed,none,3.0896666049957275,if not A121 : building society savings agreement/ life insurance,37.31075668334961,bank,own,1.0259215831756592,skilled employee / official,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
0 <= ... < 200 DM,17.31022071838379,existing credits paid back duly till now,business,2359.44287109375,A64,1 <= ... < 4 years,3.020611524581909,male : married/widowed,co-applicant,3.0896666049957275,unknown / no property,37.31075668334961,bank,own,1.0259215831756592,skilled employee / official,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
0 <= ... < 200 DM,17.31022071838379,existing credits paid back duly till now,business,2359.44287109375,A61,... < 1 year,3.020611524581909,male : married/widowed,none,3.0896666049957275,real estate,37.31075668334961,bank,own,1.0259215831756592,skilled employee / official,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
0 <= ... < 200 DM,17.31022071838379,existing credits paid back duly till now,business,2359.44287109375,A63,... < 1 year,3.020611524581909,male : married/widowed,none,3.0896666049957275,unknown / no property,37.31075668334961,bank,own,1.0259215831756592,skilled employee / official,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
0 <= ... < 200 DM,17.31022071838379,existing credits paid back duly till now,business,2359.44287109375,A61,1 <= ... < 4 years,3.020611524581909,male : married/widowed,none,3.0896666049957275,unknown / no property,37.31075668334961,bank,own,1.0259215831756592,skilled employee / official,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
0 <= ... < 200 DM,17.31022071838379,all credits at this bank paid back duly,business,2359.44287109375,A61,... < 1 year,3.020611524581909,male : married/widowed,none,3.0896666049957275,real estate,37.31075668334961,bank,own,1.0259215831756592,skilled employee / official,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
0 <= ... < 200 DM,17.31022071838379,existing credits paid back duly till now,business,2359.44287109375,A64,... < 1 year,3.020611524581909,male : married/widowed,none,3.0896666049957275,unknown / no property,37.31075668334961,bank,own,1.0259215831756592,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
... < 0 DM,17.31022071838379,existing credits paid back duly till now,furniture/equipment,2359.44287109375,A64,... < 1 year,3.020611524581909,male : married/widowed,none,3.0896666049957275,real estate,37.31075668334961,bank,rent,1.0259215831756592,skilled employee / official,1.0,"yes, registered under the customers name",yes,0663b21b-64e1-4d9e-8056-d411728f1ab4
