duration_in_month,credit_amount,installment_rate_in_percentage_of_disposable_income,present_residence_since,age_in_years,number_of_existing_credits_at_this_bank,number_of_people_being_liable_to_provide_maintenance_for,credit_history,foreign_worker,housing,job,other_debtors_guarantors,other_installment_plans,personal_status_and_sex,present_employment_since,property,purpose,savings_account_bonds,status_of_existing_checking_account,telephone,query_id
17.31022,2359.4429,3.0206115,3.0896666,37.310757,1.0259216,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",0663b21b-64e1-4d9e-8056-d411728f1ab4
19.820042,2130.9524,2.871222,3.02033,34.86952,1.0052752,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",0663b21b-64e1-4d9e-8056-d411728f1ab4
16.67112,1965.0396,2.9149134,3.0366492,34.938362,1.0,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",0663b21b-64e1-4d9e-8056-d411728f1ab4
12.815731,1728.8262,4.0,1.8020632,34.169716,1.8427305,1.0149903,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : divorced/separated,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",3c376d6d-6e99-4d56-a920-5a6668c275be
11.993717,2553.1023,3.8378692,2.122242,37.26876,2.0765433,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",3c376d6d-6e99-4d56-a920-5a6668c275be
14.147215,1690.1753,3.93598,2.0330944,35.40387,1.94297,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",3c376d6d-6e99-4d56-a920-5a6668c275be
24.434986,524.45734,3.8657799,4.0,49.264683,1.0550163,1.0,delay in paying off in the past,yes,own,skilled employee / official,none,stores,male : married/widowed,... < 1 year,real estate,radio/television,A61,... < 0 DM,none,092139b1-9968-4b35-94fb-cdfba9a89f72
22.848225,735.45044,3.7983165,4.0,49.513714,1.0004876,1.0265434,delay in paying off in the past,yes,own,skilled employee / official,none,stores,male : married/widowed,... < 1 year,real estate,radio/television,A61,... < 0 DM,none,092139b1-9968-4b35-94fb-cdfba9a89f72
23.015045,991.0549,3.8882096,4.0,46.952343,1.0,1.0007561,delay in paying off in the past,yes,own,skilled employee / official,none,stores,male : married/widowed,... < 1 year,real estate,radio/television,A63,... < 0 DM,none,092139b1-9968-4b35-94fb-cdfba9a89f72
16.74383,2616.0261,3.0211344,1.0,29.554249,1.027775,1.0,no credits taken/ all credits paid back duly,yes,own,skilled employee / official,none,bank,male : single,4 <= ... < 7 years,if not A121 : building society savings agreement/ life insurance,business,A61,... < 0 DM,"yes, registered under the customers name",4cd29f08-1e38-4605-9cee-eccc1c7d90e9
16.341793,2689.6104,3.1078625,1.0,30.259504,1.0,1.0,no credits taken/ all credits paid back duly,yes,own,skilled employee / official,none,bank,male : single,4 <= ... < 7 years,if not A121 : building society savings agreement/ life insurance,business,A61,... < 0 DM,"yes, registered under the customers name",4cd29f08-1e38-4605-9cee-eccc1c7d90e9
15.371342,3021.7756,2.8361707,1.0,32.05072,1.0,1.0026869,no credits taken/ all credits paid back duly,yes,own,skilled employee / official,none,bank,male : single,4 <= ... < 7 years,if not A121 : building society savings agreement/ life insurance,business,A61,... < 0 DM,"yes, registered under the customers name",4cd29f08-1e38-4605-9cee-eccc1c7d90e9
27.684982,2641.045,4.0,1.9877515,22.922194,1.9273629,1.0,critical account/ other credits existing (not at this bank),yes,own,unskilled - resident,none,none,male : single,1 <= ... < 4 years,if not A121 : building society savings agreement/ life insurance,radio/television,A63,0 <= ... < 200 DM,none,aabfaa9f-8a99-4aa3-8b4d-5a2f456f4e8b
27.773548,2267.645,3.9949794,2.118928,22.804281,2.0276804,1.0199757,critical account/ other credits existing (not at this bank),yes,own,unskilled - resident,none,none,male : single,unemployed,if not A121 : building society savings agreement/ life insurance,radio/television,A63,0 <= ... < 200 DM,none,aabfaa9f-8a99-4aa3-8b4d-5a2f456f4e8b
26.706696,2563.9792,4.0,1.941919,23.48273,2.1484604,1.0025494,critical account/ other credits existing (not at this bank),yes,own,unskilled - resident,none,none,male : single,1 <= ... < 4 years,if not A121 : building society savings agreement/ life insurance,radio/television,A63,0 <= ... < 200 DM,none,aabfaa9f-8a99-4aa3-8b4d-5a2f456f4e8b
7.5031176,645.3874,3.9651275,4.0,23.959042,2.0841475,1.0,critical account/ other credits existing (not at this bank),yes,own,skilled employee / official,guarantor,none,male : single,... < 1 year,real estate,radio/television,A61,0 <= ... < 200 DM,none,98a3360e-9580-40a4-92c6-10bf01459d4b
10.4842205,537.5824,3.9913852,3.9685073,25.01811,1.9675407,1.0682588,critical account/ other credits existing (not at this bank),yes,own,skilled employee / official,guarantor,none,male : single,... < 1 year,real estate,radio/television,A61,0 <= ... < 200 DM,none,98a3360e-9580-40a4-92c6-10bf01459d4b
11.453008,552.1027,3.8610163,4.0,26.054008,1.8204887,1.0,critical account/ other credits existing (not at this bank),yes,own,skilled employee / official,guarantor,none,male : single,... < 1 year,real estate,radio/television,A61,0 <= ... < 200 DM,none,98a3360e-9580-40a4-92c6-10bf01459d4b
19.737783,3197.1804,2.8046312,3.9334538,39.33835,1.0,1.0,critical account/ other credits existing (not at this bank),yes,own,skilled employee / official,none,none,female : divorced/separated/married,.. >= 7 years,if not A121 : building society savings agreement/ life insurance,furniture/equipment,A61,0 <= ... < 200 DM,"yes, registered under the customers name",8ecf803b-060b-496a-832d-9ecdff3b9c3b
20.424608,3766.3604,3.0964413,3.9760404,38.729576,1.011945,1.0543426,critical account/ other credits existing (not at this bank),yes,own,skilled employee / official,none,none,female : divorced/separated/married,.. >= 7 years,if not A121 : building society savings agreement/ life insurance,furniture/equipment,A61,0 <= ... < 200 DM,"yes, registered under the customers name",8ecf803b-060b-496a-832d-9ecdff3b9c3b
