ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,query_id
68.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,13.0,1.0,1.0,28.0,74.0,3.0,14.0,1.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
68.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,4.0,100.0,17.0,1.0,1.0,28.0,74.0,3.0,10.0,1.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
79.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,13.0,1.0,1.0,28.0,74.0,3.0,2.0,0.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
79.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,1.0,100.0,13.0,1.0,1.0,28.0,74.0,3.0,2.0,0.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
83.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,13.0,1.0,1.0,28.0,74.0,3.0,1.0,0.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
83.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,1.0,100.0,13.0,1.0,1.0,28.0,74.0,3.0,1.0,0.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
68.0,17.0,17.0,17.0,21.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,12.0,1.0,1.0,28.0,74.0,3.0,1.0,1.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
68.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,13.0,1.0,1.0,28.0,74.0,3.0,15.0,1.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
83.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,76.0,10.0,1.0,1.0,28.0,74.0,3.0,1.0,1.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
74.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,8.0,2.0,0.0,100.0,12.0,1.0,1.0,28.0,74.0,3.0,7.0,1.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
68.0,17.0,17.0,17.0,7.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,17.0,1.0,1.0,30.0,74.0,3.0,9.0,1.0,100.0,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
