ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,query_id
68,17,17,17,1,0,0,100,15,7,1,0,100,0,1,1,28,74,3,1,1,100,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7
68,213,4,52,15,0,0,100,15,7,15,2,20,0,3,3,77,74,9,1,3,91,19057309-161f-4fcb-97bb-248d44edd3bf
67,134,2,52,23,0,0,92,63,6,25,3,25,0,10,9,30,74,5,2,1,64,e1b766ca-59a1-4169-94f9-6cdb6b5c9a2e
89,209,54,101,11,0,0,100,15,7,11,0,55,6,0,0,3,74,1,1,0,50,477d6aac-1a0e-42fd-9766-d0a81cc16edd
60,45,1,18,13,0,0,100,15,7,15,4,40,1,1,1,71,65,5,2,1,88,0aeb81b5-77ac-4af5-ab72-510c467ad887
74,148,3,47,24,0,0,100,15,7,67,6,32,0,1,1,0,74,0,4,0,40,8bb4e63f-b1a7-45f1-91a8-bf194a76f331
65,179,19,99,24,1,0,76,0,4,25,0,32,22,0,0,26,71,10,2,1,86,bab4288f-e62a-4af1-b9c5-ca70d8345ebe
81,162,23,89,26,0,0,100,15,7,26,0,31,3,1,1,11,58,1,2,0,33,76e6e03f-1a6e-42ac-bb9a-3426fe2f25a4
73,192,13,77,24,0,0,96,11,4,26,0,58,1,4,4,35,74,2,2,0,80,eac622d2-007b-4bbe-a680-06db679ec27c
68,343,1,96,40,1,1,90,39,6,43,3,37,0,11,11,75,58,8,6,4,71,423e6117-8acd-4a0a-af54-d3efc745c0ac
