employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,query_id
3.0,14.0,60000.0,G,14.1,purchase,RENT,FL,d8a31397-7373-4667-a86f-9a2f0ea8dfda
3.0,14.0,60000.0,G,14.1,small_business,OTHER,FL,d8a31397-7373-4667-a86f-9a2f0ea8dfda
3.0,14.0,60000.0,G,14.1,purchase,MORTGAGE,FL,d8a31397-7373-4667-a86f-9a2f0ea8dfda
3.0,14.0,60000.0,G,14.1,purchase,RENT,WA,d8a31397-7373-4667-a86f-9a2f0ea8dfda
3.0,14.0,60000.0,C,14.1,purchase,RENT,NE,d8a31397-7373-4667-a86f-9a2f0ea8dfda
3.0,14.0,60000.0,G,14.1,purchase,OWN,NE,d8a31397-7373-4667-a86f-9a2f0ea8dfda
3.0,14.0,60000.0,G,14.1,small_business,RENT,FL,d8a31397-7373-4667-a86f-9a2f0ea8dfda
3.0,14.0,60000.0,G,14.1,purchase,RENT,NE,d8a31397-7373-4667-a86f-9a2f0ea8dfda
3.0,14.0,60000.0,G,14.1,purchase,OWN,FL,d8a31397-7373-4667-a86f-9a2f0ea8dfda
5.0,12.0,175000.0,F,16.5,purchase,MORTGAGE,NE,3c61b51c-57a3-4d9b-b654-f1e3576a94df
5.0,12.0,175000.0,F,16.5,purchase,OWN,NE,3c61b51c-57a3-4d9b-b654-f1e3576a94df
5.0,12.0,175000.0,F,16.5,educational,MORTGAGE,NE,3c61b51c-57a3-4d9b-b654-f1e3576a94df
5.0,12.0,175000.0,D,16.5,purchase,OWN,NE,3c61b51c-57a3-4d9b-b654-f1e3576a94df
9.351801258420664,16.737390472625474,175000.0,G,17.019597655355494,purchase,OTHER,PA,3c61b51c-57a3-4d9b-b654-f1e3576a94df
5.0,12.0,175000.0,G,16.5,purchase,RENT,NE,3c61b51c-57a3-4d9b-b654-f1e3576a94df
2.0,7.0,50000.0,G,8.9,debt,OWN,CA,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,B,8.9,debt,OWN,NE,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,G,8.9,purchase,OWN,CA,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,B,8.9,debt,OTHER,NE,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,G,8.9,small_business,OWN,CA,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,B,8.9,debt,MORTGAGE,NE,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,C,8.9,debt,OWN,NE,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,G,8.9,debt,OWN,FL,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,D,8.9,debt,OWN,NE,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,G,8.9,debt,OWN,NE,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,B,8.9,debt,RENT,NE,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,7.0,50000.0,G,8.9,debt,OWN,OH,30eb75a4-a9fd-4b7b-9aec-af379619000e
2.0,12.0,30000.0,G,5.5,debt,MORTGAGE,OH,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5
2.0,12.0,30000.0,B,5.5,debt,RENT,NE,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5
2.0,12.0,30000.0,G,5.5,debt,MORTGAGE,MS,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5
2.0,12.0,30000.0,G,5.5,small_business,MORTGAGE,MS,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5
2.0,12.0,30000.0,C,5.5,debt,RENT,NE,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5
2.0,12.0,30000.0,B,5.529331402219561,debt,MORTGAGE,NE,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5
2.0,12.0,30000.0,B,5.645731909235556,debt,RENT,NE,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5
