employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,query_id
3,14,60000.0,C,14.1,purchase,RENT,FL,e4f17b64-d16a-4579-81d5-2724a52ad9f2
5,12,175000.0,F,16.5,purchase,MORTGAGE,PA,0d716584-fa1c-4746-90dd-8da8f4c83918
2,7,50000.0,B,8.9,debt,OWN,CA,387ab38c-78c3-4823-82ae-dc1af49895c4
2,12,30000.0,B,5.5,debt,RENT,NY,7e96f6e3-4e8d-4f2d-9713-156dafcab56e
8,14,77040.0,A,17.6,purchase,MORTGAGE,CT,0386d238-1136-46d3-be28-7cb5c010dabf
6,5,50000.0,C,7.5,debt,MORTGAGE,MO,59a116fc-79d6-415b-a8af-d98b1a96628f
10,5,50000.0,B,18.9,small_business,RENT,CA,79dec329-ea18-4db5-bd13-e1612033fd0b
4,12,107000.0,A,15.9,debt,MORTGAGE,TX,123f3102-ab15-42fa-a8d3-a5c39ee8ecce
5,4,35280.0,D,11.5,debt,OWN,CA,ae97f945-18ea-44c4-a425-9be0dae30da3
1,3,16320.0,C,3.3,purchase,RENT,OH,e0a43bbd-e360-4ebb-a1d4-1ddba39760b2
3,14,60000.0,C,14.1,purchase,RENT,FL,f208b05f-2c84-420c-95b5-bac775135a3b
3,14,60000.0,C,14.1,purchase,RENT,FL,3ca58408-e553-41fe-85ed-6d007ddf4e91
5,12,175000.0,F,16.5,purchase,MORTGAGE,PA,9a728747-c10d-4f89-9c33-4c9a25e23e94
2,7,50000.0,B,8.9,debt,OWN,CA,bf9c880d-0a4e-4738-9121-7194c58abbbb
2,12,30000.0,B,5.5,debt,RENT,NY,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
8,14,77040.0,A,17.6,purchase,MORTGAGE,CT,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
6,5,50000.0,C,7.5,debt,MORTGAGE,MO,78783bca-b1c3-408b-8fae-ab147df145a0
10,5,50000.0,B,18.9,small_business,RENT,CA,34756fc1-3737-482a-9c4c-d185f4473025
4,12,107000.0,A,15.9,debt,MORTGAGE,TX,9b91920a-5030-4174-b110-342689324b7b
5,4,35280.0,D,11.5,debt,OWN,CA,96248f60-af98-4849-a2c3-7f0c32a5b064
1,3,16320.0,C,3.3,purchase,RENT,OH,8789839b-b340-426a-b401-103cae80ed80
