employment_years,num_open_credit_acc,annual_income,credit_history,addr_state,home,loan_grade,purpose,query_id
2.6719513,15.093308,4080.0,13.585774,FL,RENT,C,purchase,e4f17b64-d16a-4579-81d5-2724a52ad9f2
3.43053,12.788795,4080.0,12.380801,FL,RENT,C,purchase,e4f17b64-d16a-4579-81d5-2724a52ad9f2
2.3594012,15.210865,205597.03,11.374832,FL,RENT,C,purchase,e4f17b64-d16a-4579-81d5-2724a52ad9f2
5.69483,10.579051,114423.414,15.487997,PA,MORTGAGE,F,purchase,0d716584-fa1c-4746-90dd-8da8f4c83918
5.067293,13.49815,217134.75,17.501007,PA,MORTGAGE,F,purchase,0d716584-fa1c-4746-90dd-8da8f4c83918
4.816079,13.087713,108141.07,16.466118,PA,MORTGAGE,F,purchase,0d716584-fa1c-4746-90dd-8da8f4c83918
1.9373455,6.9469814,94671.04,8.2959175,CA,OWN,B,debt,387ab38c-78c3-4823-82ae-dc1af49895c4
2.4562714,6.475326,4080.0,5.184855,CA,OWN,B,debt,387ab38c-78c3-4823-82ae-dc1af49895c4
2.15998,5.5679836,109872.12,9.49751,CA,OWN,B,debt,387ab38c-78c3-4823-82ae-dc1af49895c4
2.3029826,11.383182,4080.0,4.334155,NY,RENT,B,debt,7e96f6e3-4e8d-4f2d-9713-156dafcab56e
1.9811405,11.687223,15436.377,3.0,NY,RENT,B,debt,7e96f6e3-4e8d-4f2d-9713-156dafcab56e
2.2175388,11.854452,4080.0,6.4088764,NY,RENT,B,educational,7e96f6e3-4e8d-4f2d-9713-156dafcab56e
7.6931815,12.885434,8879.179,15.397395,CT,MORTGAGE,A,purchase,0386d238-1136-46d3-be28-7cb5c010dabf
7.9353547,13.049064,131102.38,17.389803,CT,MORTGAGE,A,purchase,0386d238-1136-46d3-be28-7cb5c010dabf
7.72768,13.859459,91004.625,20.207602,CT,MORTGAGE,A,purchase,0386d238-1136-46d3-be28-7cb5c010dabf
6.1772966,4.9771304,14130.49,5.227518,MO,MORTGAGE,C,debt,59a116fc-79d6-415b-a8af-d98b1a96628f
6.147357,6.4631057,4080.0,7.594937,MO,MORTGAGE,C,debt,59a116fc-79d6-415b-a8af-d98b1a96628f
5.9614706,5.9301586,4080.0,8.594813,MO,MORTGAGE,C,educational,59a116fc-79d6-415b-a8af-d98b1a96628f
9.583034,7.8410716,4080.0,19.186365,CA,RENT,B,small_business,79dec329-ea18-4db5-bd13-e1612033fd0b
10.0,3.6965594,4080.0,19.401102,CA,RENT,B,small_business,79dec329-ea18-4db5-bd13-e1612033fd0b
10.0,6.0566816,163506.1,18.433931,CA,RENT,B,small_business,79dec329-ea18-4db5-bd13-e1612033fd0b
3.6772199,12.661544,89579.73,18.761854,TX,MORTGAGE,A,debt,123f3102-ab15-42fa-a8d3-a5c39ee8ecce
4.1642895,12.792569,22547.219,14.837535,TX,MORTGAGE,A,debt,123f3102-ab15-42fa-a8d3-a5c39ee8ecce
3.721408,10.847836,69140.46,16.804739,TX,MORTGAGE,A,debt,123f3102-ab15-42fa-a8d3-a5c39ee8ecce
5.093846,3.9082751,44339.82,12.189751,CA,OWN,D,debt,ae97f945-18ea-44c4-a425-9be0dae30da3
4.5474205,2.0,4080.0,12.338959,CA,OWN,D,debt,ae97f945-18ea-44c4-a425-9be0dae30da3
5.321125,5.516683,65865.58,10.730162,CA,OWN,D,debt,ae97f945-18ea-44c4-a425-9be0dae30da3
1.0742964,2.0,108314.43,3.0,OH,RENT,C,purchase,e0a43bbd-e360-4ebb-a1d4-1ddba39760b2
1.3679494,3.3103533,90821.02,3.0,OH,RENT,C,purchase,e0a43bbd-e360-4ebb-a1d4-1ddba39760b2
1.2177308,2.9018984,4080.0,4.255891,OH,RENT,C,purchase,e0a43bbd-e360-4ebb-a1d4-1ddba39760b2
3.2375252,14.467937,26863.615,15.396572,FL,RENT,C,purchase,e4f17b64-d16a-4579-81d5-2724a52ad9f2
3.327725,14.534456,4080.0,14.546957,FL,RENT,C,purchase,e4f17b64-d16a-4579-81d5-2724a52ad9f2
2.5368764,15.0560875,200534.73,12.615462,FL,RENT,C,purchase,e4f17b64-d16a-4579-81d5-2724a52ad9f2
3.0903192,13.984581,7250.1616,16.527151,FL,RENT,C,purchase,3ca58408-e553-41fe-85ed-6d007ddf4e91
3.015814,12.186674,4080.0,12.678135,FL,RENT,C,debt,3ca58408-e553-41fe-85ed-6d007ddf4e91
3.14472,12.597393,142006.44,14.595663,FL,RENT,C,purchase,3ca58408-e553-41fe-85ed-6d007ddf4e91
5.1544666,13.135284,175633.22,17.935993,PA,MORTGAGE,F,purchase,9a728747-c10d-4f89-9c33-4c9a25e23e94
4.5166163,11.914425,89271.98,17.415657,PA,MORTGAGE,F,purchase,9a728747-c10d-4f89-9c33-4c9a25e23e94
5.0247126,12.581346,37856.867,15.583937,PA,MORTGAGE,F,purchase,9a728747-c10d-4f89-9c33-4c9a25e23e94
2.109471,8.309646,4080.0,9.51664,CA,OWN,B,small_business,bf9c880d-0a4e-4738-9121-7194c58abbbb
1.965637,5.5989966,4080.0,9.839692,CA,OWN,B,debt,bf9c880d-0a4e-4738-9121-7194c58abbbb
1.8962512,9.809596,161688.02,7.7124157,CA,OWN,B,debt,bf9c880d-0a4e-4738-9121-7194c58abbbb
1.6312933,13.077781,4080.0,5.6213636,NY,RENT,B,debt,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
2.600696,10.935472,4080.0,3.3777387,NY,RENT,B,debt,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
2.3659344,8.404539,4080.0,4.883798,NY,RENT,B,debt,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
7.959289,14.788039,4080.0,17.745358,CT,MORTGAGE,A,purchase,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
7.704051,14.702363,181224.44,16.68138,CT,MORTGAGE,A,purchase,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
7.7946854,14.731624,35389.125,17.173834,CT,MORTGAGE,A,purchase,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
5.424044,4.7992735,113440.4,8.733761,MO,MORTGAGE,C,debt,78783bca-b1c3-408b-8fae-ab147df145a0
6.310912,5.77595,274968.2,11.068071,MO,MORTGAGE,C,debt,78783bca-b1c3-408b-8fae-ab147df145a0
6.0508447,7.3939357,4080.0,3.4068785,MO,MORTGAGE,C,debt,78783bca-b1c3-408b-8fae-ab147df145a0
10.0,6.453417,177603.19,18.970242,CA,RENT,B,small_business,34756fc1-3737-482a-9c4c-d185f4473025
9.843778,6.475606,4080.0,19.416965,CA,RENT,B,small_business,34756fc1-3737-482a-9c4c-d185f4473025
9.7801485,5.145162,4080.0,15.471414,CA,RENT,B,small_business,34756fc1-3737-482a-9c4c-d185f4473025
4.5901413,12.71928,216277.1,12.536774,TX,MORTGAGE,A,debt,9b91920a-5030-4174-b110-342689324b7b
3.8338826,12.173234,152121.42,13.79889,TX,MORTGAGE,A,debt,9b91920a-5030-4174-b110-342689324b7b
3.5314913,14.027345,168588.45,15.161673,TX,MORTGAGE,A,debt,9b91920a-5030-4174-b110-342689324b7b
5.323002,2.2217197,77385.484,9.470146,CA,OWN,D,debt,96248f60-af98-4849-a2c3-7f0c32a5b064
5.433063,3.4249468,40483.54,10.599913,CA,OWN,D,debt,96248f60-af98-4849-a2c3-7f0c32a5b064
5.39804,3.3009264,4080.0,11.063573,CA,OWN,D,debt,96248f60-af98-4849-a2c3-7f0c32a5b064
1.5378584,2.8757138,4080.0,5.011389,OH,RENT,C,purchase,8789839b-b340-426a-b401-103cae80ed80
1.0045156,3.3423278,4080.0,4.1353927,OH,RENT,C,purchase,8789839b-b340-426a-b401-103cae80ed80
1.240775,2.0,4389.577,3.05303,OH,RENT,C,purchase,8789839b-b340-426a-b401-103cae80ed80
2.8668914,16.16197,85853.87,18.999891,GA,RENT,C,purchase,3ca58408-e553-41fe-85ed-6d007ddf4e91
3.1911018,13.218378,267333.75,13.482013,FL,RENT,C,purchase,3ca58408-e553-41fe-85ed-6d007ddf4e91
2.4761064,9.192973,4080.0,13.731353,FL,RENT,C,purchase,3ca58408-e553-41fe-85ed-6d007ddf4e91
5.256132,12.773118,516659.2,15.073282,PA,MORTGAGE,F,purchase,9a728747-c10d-4f89-9c33-4c9a25e23e94
4.0502644,10.491512,639730.4,14.221147,PA,MORTGAGE,F,purchase,9a728747-c10d-4f89-9c33-4c9a25e23e94
5.7580395,14.424277,322319.22,16.721226,PA,MORTGAGE,F,purchase,9a728747-c10d-4f89-9c33-4c9a25e23e94
2.2873225,8.75142,110850.695,8.547648,CA,OWN,B,debt,bf9c880d-0a4e-4738-9121-7194c58abbbb
