query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,6,0.03,0.5604393482208252,0.1690494567155838,0.1111111119389534,True,68.0,17.0,17.0,17.0,21.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,12.0,1.0,1.0,28.0,74.0,3.0,1.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,12,0.03,0.7633458971977234,0.1608283370733261,0.1111111119389534,True,68.0,17.0,17.0,17.0,8.0,0.0,0.0,100.0,15.0,8.0,1.0,0.0,100.0,18.0,1.0,1.0,28.0,74.0,3.0,1.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,34,0.03,0.7088251709938049,0.1675260215997696,0.1944444626569748,True,71.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,13.0,1.0,1.0,28.0,74.0,3.0,11.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,46,0.03,0.435310959815979,0.20886631309986115,0.3333333432674408,True,78.0,17.0,17.0,17.0,23.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,7.0,1.0,1.0,28.0,74.0,3.0,1.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,65,0.03,0.4943181872367859,0.17860932648181915,0.1111111119389534,True,68.0,17.0,17.0,17.0,19.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,10.0,0.0,1.0,28.0,74.0,3.0,4.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,66,0.03,0.7230701446533203,0.16555917263031006,0.2777777910232544,True,68.0,17.0,17.0,17.0,6.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,16.0,1.0,1.0,28.0,74.0,3.0,7.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,69,0.03,0.5890814661979675,0.20481079816818237,4.999999969612645e-09,True,87.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,12.0,1.0,1.0,28.0,74.0,3.0,1.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,73,0.03,0.8335055112838745,0.20192231237888336,4.999999969612645e-09,True,68.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,100.0,18.0,1.0,1.0,28.0,74.0,3.0,9.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,74,0.03,0.8351655602455139,0.2017834186553955,4.999999969612645e-09,True,68.0,17.0,17.0,17.0,1.0,0.0,0.0,100.0,15.0,7.0,1.0,1.0,100.0,18.0,1.0,1.0,28.0,74.0,3.0,9.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,79,0.03,0.4391171634197235,0.20780004560947418,0.3166666626930237,True,78.0,17.0,17.0,17.0,10.0,0.0,0.0,100.0,15.0,8.0,1.0,0.0,100.0,9.0,1.0,1.0,28.0,74.0,3.0,1.0,1.0,100.0
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,80,0.03,0.7666970491409302,0.15549539029598236,0.1111111119389534,True,68.0,17.0,17.0,17.0,10.0,0.0,0.0,100.0,15.0,8.0,1.0,0.0,100.0,18.0,1.0,1.0,28.0,74.0,3.0,1.0,1.0,100.0
19057309-161f-4fcb-97bb-248d44edd3bf,8,0.03,0.4404964745044708,0.22011876106262207,0.0833333358168602,True,82.0,213.0,4.0,52.0,15.0,0.0,0.0,100.0,15.0,8.0,15.0,2.0,20.0,4.0,3.0,3.0,77.0,74.0,9.0,8.0,3.0,91.0
19057309-161f-4fcb-97bb-248d44edd3bf,17,0.03,0.7415831089019775,0.1578647643327713,0.2777777910232544,True,68.0,213.0,4.0,52.0,15.0,0.0,0.0,100.0,15.0,7.0,15.0,2.0,20.0,7.0,3.0,3.0,77.0,74.0,9.0,16.0,3.0,91.0
19057309-161f-4fcb-97bb-248d44edd3bf,25,0.03,0.32603809237480164,0.19678480923175812,0.2777777910232544,True,68.0,213.0,4.0,52.0,25.0,0.0,0.0,100.0,15.0,7.0,15.0,2.0,20.0,6.0,3.0,3.0,77.0,74.0,9.0,1.0,0.0,91.0
19057309-161f-4fcb-97bb-248d44edd3bf,31,0.03,0.46751996874809265,0.1677926927804947,0.2777777910232544,True,79.0,213.0,4.0,52.0,15.0,0.0,0.0,100.0,15.0,8.0,15.0,2.0,20.0,10.0,3.0,3.0,77.0,74.0,9.0,1.0,3.0,92.0
19057309-161f-4fcb-97bb-248d44edd3bf,32,0.03,0.5049091577529907,0.16622917354106903,0.2777777910232544,True,79.0,213.0,4.0,52.0,15.0,0.0,0.0,100.0,15.0,8.0,15.0,2.0,20.0,11.0,3.0,3.0,77.0,74.0,9.0,1.0,3.0,91.0
19057309-161f-4fcb-97bb-248d44edd3bf,35,0.03,0.4050963521003723,0.20375120639801025,0.2222222238779068,True,68.0,213.0,4.0,52.0,29.0,0.0,0.0,100.0,15.0,8.0,15.0,2.0,20.0,8.0,3.0,3.0,77.0,74.0,8.0,3.0,3.0,91.0
19057309-161f-4fcb-97bb-248d44edd3bf,43,0.03,0.44517916440963745,0.16835911571979523,0.1666666716337204,True,86.0,213.0,4.0,52.0,15.0,0.0,0.0,100.0,15.0,7.0,15.0,2.0,20.0,8.0,3.0,3.0,77.0,74.0,9.0,1.0,3.0,91.0
