,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,127a9135-a780-4cbc-874d-963203e18783,0.03,1.935782190826204,1.1197348973817296,0.37253087483436587
1,127a9135-a780-4cbc-874d-963203e18783,0.05,1.935782190826204,1.1105759259727266,0.3978395199904379
2,127a9135-a780-4cbc-874d-963203e18783,0.07,1.935782190826204,1.2170847648133833,0.4125000118381447
3,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.03,1.8751000793356645,1.0664878511115123,0.36695907291783886
4,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.05,1.8751000793356645,1.1221844020642733,0.41710527110691475
5,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.07,1.8751000793356645,1.1872383497263257,0.39517545125287507
6,41028f4d-a8e3-4f91-98d9-8a4e6e41ae57,0.03,1.9108270758932286,1.1841796203093096,0.30113637199828147
7,41028f4d-a8e3-4f91-98d9-8a4e6e41ae57,0.05,1.9108270758932286,0.8220067022537644,0.2095959659702691
8,41028f4d-a8e3-4f91-98d9-8a4e6e41ae57,0.07,1.9108270758932286,1.0341002595695583,0.41224749420176854
9,523ddfae-3c0f-41c1-ad83-8ed25de55642,0.03,1.9956501505591653,0.8226031156426127,0.22727273462539585
10,523ddfae-3c0f-41c1-ad83-8ed25de55642,0.05,1.9956501505591653,0.953666341914372,0.301767691292546
11,523ddfae-3c0f-41c1-ad83-8ed25de55642,0.07,1.9956501505591653,0.8357403735545549,0.286616177498677
12,527b6aba-00a3-427c-a206-2e0b724ec174,0.03,1.8968452726091658,0.912790766784123,0.2817460398020481
13,527b6aba-00a3-427c-a206-2e0b724ec174,0.05,1.8968452726091658,0.9384554227193197,0.30026455839783983
14,527b6aba-00a3-427c-a206-2e0b724ec174,0.07,1.8968452726091658,0.9699659617174239,0.2645502728049551
15,64bfe072-22c5-4ff7-8f17-ab9773716a6d,0.03,1.970034845173359,0.7139202042017132,0.1493055618884444
16,64bfe072-22c5-4ff7-8f17-ab9773716a6d,0.05,1.970034845173359,0.7722062135580927,0.1545138936675143
17,64bfe072-22c5-4ff7-8f17-ab9773716a6d,0.07,1.970034845173359,1.1192229501903057,0.26319444955842974
18,ac83d6ed-17c9-455c-8882-18dcdecb8369,0.03,1.9418338174405305,0.9478873936054499,0.27053141399999864
19,ac83d6ed-17c9-455c-8882-18dcdecb8369,0.05,1.9418338174405305,0.5768771858318992,0.12294686555419589
20,ac83d6ed-17c9-455c-8882-18dcdecb8369,0.07,1.9418338174405305,1.1444039914918982,0.3381642602060152
21,c3a951e7-8f4c-4428-85ff-2950668db303,0.03,2.802722052352069,0.6127137746151587,0.1027397295310207
22,c3a951e7-8f4c-4428-85ff-2950668db303,0.05,2.802722052352069,0.6625358460802738,0.1041856955693079
23,c3a951e7-8f4c-4428-85ff-2950668db303,0.07,2.802722052352069,0.9338450695400777,0.22894107805539485
24,cc0ac02b-7954-4783-8498-3b01f4aa5847,0.03,1.9659258425235748,0.7171328291296959,0.16666667165843008
25,cc0ac02b-7954-4783-8498-3b01f4aa5847,0.05,1.9659258425235748,0.6025370731949806,0.1666666738273978
26,cc0ac02b-7954-4783-8498-3b01f4aa5847,0.07,1.9659258425235748,0.8464859062805772,0.30902779195457697
27,fc4166fd-913f-42e3-b95b-ecd17541efab,0.03,2.0932440666052012,0.9265809073471106,0.17521368617173413
28,fc4166fd-913f-42e3-b95b-ecd17541efab,0.05,2.0932440666052012,0.7660945321504886,0.16239316801475817
29,fc4166fd-913f-42e3-b95b-ecd17541efab,0.07,2.0932440666052012,0.8459410352202562,0.17948718714400658
