selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.03,1,1.4142135381698608,0.49768760800361633,0.3333333432674408
min_geo,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.03,7,1.4142135381698608,0.49768757820129395,0.3333333432674408
weighted_sum_equal,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.03,22,1.4142135381698608,0.49768757820129395,9.99999993922529e-09
weighted_sum_prox_heavy,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.03,22,1.4142135381698608,0.49768757820129395,9.99999993922529e-09
pareto_knee,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.03,22,1.4142135381698608,0.49768757820129395,9.99999993922529e-09
pareto_lex,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.03,22,1.4142135381698608,0.49768757820129395,9.99999993922529e-09
random,35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,0.03,7,1.4142135381698608,0.49768757820129395,0.3333333432674408
min_proximity,c3a951e7-8f4c-4428-85ff-2950668db303,0.03,3,2.4494898319244385,0.4843587577342987,0.0833333358168602
min_geo,c3a951e7-8f4c-4428-85ff-2950668db303,0.03,42,2.4495747089385986,0.017093496397137642,0.1666666716337204
weighted_sum_equal,c3a951e7-8f4c-4428-85ff-2950668db303,0.03,9,2.4494898319244385,0.022233041003346443,3.3333329430007552e-09
weighted_sum_prox_heavy,c3a951e7-8f4c-4428-85ff-2950668db303,0.03,9,2.4494898319244385,0.022233041003346443,3.3333329430007552e-09
pareto_knee,c3a951e7-8f4c-4428-85ff-2950668db303,0.03,9,2.4494898319244385,0.022233041003346443,3.3333329430007552e-09
pareto_lex,c3a951e7-8f4c-4428-85ff-2950668db303,0.03,42,2.4495747089385986,0.017093496397137642,0.1666666716337204
random,c3a951e7-8f4c-4428-85ff-2950668db303,0.03,3,2.4494898319244385,0.4843587577342987,0.0833333358168602
min_proximity,127a9135-a780-4cbc-874d-963203e18783,0.03,0,1.4142135381698608,0.49713006615638733,9.99999993922529e-09
