query_id,generated,duplicates,after_dedup,sigma,pareto
7f653813-5f28-4aed-8868-63211273450b,250,119,131,0.03,16
f1f8fba7-8b0a-466e-8999-e24d7078b2fe,250,240,10,0.03,4
42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,250,142,108,0.03,16
06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,250,123,127,0.03,46
75ffba90-0620-4a33-a116-90e5bb8824cc,250,222,28,0.03,2
812d433a-e60f-478f-9be3-b31e781f7d4d,250,208,42,0.03,6
18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,250,238,12,0.03,5
7d0bb7ce-d75c-420e-b954-a9f08827d327,250,246,4,0.03,2
ebe1a4e3-66a9-4d7b-8930-69b309da2c54,250,135,115,0.03,34
3d7687bc-da7c-458a-ab25-c391444b7245,250,246,4,0.03,2
TOTAL,2500,1919,581,,133
