,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.03,0.0755158866953662,0.0018264924521616652,1.0
1,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.05,0.0755158866953662,0.04123194407173029,0.6666666865348816
2,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.07,0.0755158866953662,0.4728242649337438,1.0
3,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.03,1.2293219156563282,1.1314319570859273,0.527777781089147
4,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.05,1.2293219156563282,1.0663962066173553,0.4583333407839139
5,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.07,1.2293219156563282,0.8862181206544241,0.7083333482344946
6,3d7687bc-da7c-458a-ab25-c391444b7245,0.03,1.9659258425235748,0.14080296969041228,0.16666666977107525
7,3d7687bc-da7c-458a-ab25-c391444b7245,0.05,1.9659258425235748,0.7146135717630386,0.30555556155741215
8,3d7687bc-da7c-458a-ab25-c391444b7245,0.07,1.9659258425235748,0.9909156113862991,0.5277777910232544
9,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.03,1.416064497359373,0.03159600246214756,0.3289609152685713
10,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.05,1.416064497359373,0.03774469245345918,0.04398149001536912
11,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.07,1.416064497359373,0.06945653890983926,0.17026749474030953
12,75ffba90-0620-4a33-a116-90e5bb8824cc,0.03,1.9791173551763808,0.015559694496914744,0.220238097012043
13,75ffba90-0620-4a33-a116-90e5bb8824cc,0.05,1.9791173551763808,0.004109100355500621,4.999999969612645e-09
14,75ffba90-0620-4a33-a116-90e5bb8824cc,0.07,1.9791173551763808,0.06569606850722007,0.11507936593677316
15,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.03,1.7071067690849304,0.021497692447155714,7.499999954418968e-09
16,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.05,1.7071067690849304,1.0126962512731552,0.4305555708706379
17,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.07,1.7071067690849304,0.11875616945326328,0.11111111505159854
18,7f653813-5f28-4aed-8868-63211273450b,0.03,1.3661103827011494,0.021760573745740735,0.12553011553275303
19,7f653813-5f28-4aed-8868-63211273450b,0.05,1.3661103827011494,0.024131234948530454,0.04452927051282602
20,7f653813-5f28-4aed-8868-63211273450b,0.07,1.3661103827011494,0.04583809499180954,0.3373621747125196
21,812d433a-e60f-478f-9be3-b31e781f7d4d,0.03,1.9304699528784979,0.07044156565375272,0.06216931960714247
22,812d433a-e60f-478f-9be3-b31e781f7d4d,0.05,1.9304699528784979,0.026208453723007723,0.31481482798144933
23,812d433a-e60f-478f-9be3-b31e781f7d4d,0.07,1.9304699528784979,0.09064518558304935,0.1593915405017989
24,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.03,1.2394561325078426,0.019285701523008555,0.19806763853715814
25,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.05,1.2394561325078426,0.1853683138590144,0.4028985627319502
26,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.07,1.2394561325078426,0.06711691044594931,0.03333333825090148
27,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.03,1.4142257928848267,0.09888783097267151,0.03333334332674402
28,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.05,1.4142257928848267,0.5518795549869537,0.36666667759418486
29,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.07,1.4142257928848267,0.5133545100688934,0.3333333432674408
