selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,7f653813-5f28-4aed-8868-63211273450b,0.03,30,0.10636341571807861,0.03735968470573425,9.99999993922529e-09
min_geo,7f653813-5f28-4aed-8868-63211273450b,0.03,2,1.4151833057403564,0.015231776982545853,0.1666666716337204
weighted_sum_equal,7f653813-5f28-4aed-8868-63211273450b,0.03,107,0.10658678412437439,0.03734751418232918,9.99999993922529e-09
weighted_sum_prox_heavy,7f653813-5f28-4aed-8868-63211273450b,0.03,30,0.10636341571807861,0.03735968470573425,9.99999993922529e-09
pareto_knee,7f653813-5f28-4aed-8868-63211273450b,0.03,107,0.10658678412437439,0.03734751418232918,9.99999993922529e-09
pareto_lex,7f653813-5f28-4aed-8868-63211273450b,0.03,2,1.4151833057403564,0.015231776982545853,0.1666666716337204
random,7f653813-5f28-4aed-8868-63211273450b,0.03,28,1.4180917739868164,0.03202696517109871,4.999999969612645e-09
min_proximity,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.03,0,1.4142135381698608,0.03468228131532669,9.99999993922529e-09
min_geo,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.03,6,1.4142180681228638,0.03221377357840538,9.99999993922529e-09
weighted_sum_equal,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.03,7,1.4142135381698608,0.03447415307164192,9.99999993922529e-09
weighted_sum_prox_heavy,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.03,7,1.4142135381698608,0.03447415307164192,9.99999993922529e-09
pareto_knee,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.03,7,1.4142135381698608,0.03447415307164192,9.99999993922529e-09
pareto_lex,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.03,6,1.4142180681228638,0.03221377357840538,9.99999993922529e-09
random,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.03,0,1.4142135381698608,0.03468228131532669,9.99999993922529e-09
min_proximity,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.03,69,0.17473600804805756,0.944214403629303,0.3888889253139496
min_geo,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.03,14,1.416344404220581,0.010271606035530567,0.3333333432674408
weighted_sum_equal,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.03,68,1.424967646598816,0.026120267808437347,0.1111111119389534
weighted_sum_prox_heavy,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.03,69,0.17473600804805756,0.944214403629303,0.3888889253139496
pareto_knee,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.03,65,1.421643853187561,0.028642287477850914,0.1111111119389534
pareto_lex,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.03,14,1.416344404220581,0.010271606035530567,0.3333333432674408
random,42d4cf4f-54bc-4f14-8a12-1f1cd30c5c6d,0.03,94,1.4161702394485474,0.012514478527009487,0.3333333432674408
min_proximity,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.03,116,0.07066971808671951,0.007758147548884153,1.0
min_geo,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.03,42,0.075872503221035,0.0007456178427673876,1.0
weighted_sum_equal,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.03,115,0.07471521198749542,0.0007981480448506773,1.0
weighted_sum_prox_heavy,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.03,106,0.07106481492519379,0.0027571439277380705,1.0
pareto_knee,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.03,6,0.07265597581863403,0.0017229128861799836,1.0
pareto_lex,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.03,42,0.075872503221035,0.0007456178427673876,1.0
random,06666d0c-5470-4d11-bbfa-cbee4c3b9fc4,0.03,35,0.08220414817333221,0.001737099140882492,1.0
min_proximity,75ffba90-0620-4a33-a116-90e5bb8824cc,0.03,11,1.415145754814148,0.011464248411357403,0.1666666716337204
min_geo,75ffba90-0620-4a33-a116-90e5bb8824cc,0.03,26,2.000121831893921,0.010941666550934315,0.2222222238779068
weighted_sum_equal,75ffba90-0620-4a33-a116-90e5bb8824cc,0.03,11,1.415145754814148,0.011464248411357403,0.1666666716337204
weighted_sum_prox_heavy,75ffba90-0620-4a33-a116-90e5bb8824cc,0.03,11,1.415145754814148,0.011464248411357403,0.1666666716337204
pareto_knee,75ffba90-0620-4a33-a116-90e5bb8824cc,0.03,11,1.415145754814148,0.011464248411357403,0.1666666716337204
pareto_lex,75ffba90-0620-4a33-a116-90e5bb8824cc,0.03,26,2.000121831893921,0.010941666550934315,0.2222222238779068
random,75ffba90-0620-4a33-a116-90e5bb8824cc,0.03,7,2.000000238418579,0.015162109397351742,0.2222222238779068
min_proximity,812d433a-e60f-478f-9be3-b31e781f7d4d,0.03,41,1.4153289794921875,0.4845506250858307,0.3333333432674408
min_geo,812d433a-e60f-478f-9be3-b31e781f7d4d,0.03,39,2.000018358230591,0.01083498913794756,4.999999969612645e-09
weighted_sum_equal,812d433a-e60f-478f-9be3-b31e781f7d4d,0.03,39,2.000018358230591,0.01083498913794756,4.999999969612645e-09
weighted_sum_prox_heavy,812d433a-e60f-478f-9be3-b31e781f7d4d,0.03,41,1.4153289794921875,0.4845506250858307,0.3333333432674408
pareto_knee,812d433a-e60f-478f-9be3-b31e781f7d4d,0.03,8,2.000000238418579,0.013069386593997478,4.999999969612645e-09
pareto_lex,812d433a-e60f-478f-9be3-b31e781f7d4d,0.03,39,2.000018358230591,0.01083498913794756,4.999999969612645e-09
random,812d433a-e60f-478f-9be3-b31e781f7d4d,0.03,14,2.0000014305114746,0.013681515119969845,4.999999969612645e-09
min_proximity,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.03,6,0.009876787662506104,0.94707852602005,0.6666666865348816
min_geo,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.03,7,0.014018699526786804,0.9468266367912292,0.6666666865348816
weighted_sum_equal,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.03,6,0.009876787662506104,0.94707852602005,0.6666666865348816
weighted_sum_prox_heavy,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.03,6,0.009876787662506104,0.94707852602005,0.6666666865348816
pareto_knee,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.03,11,1.4142241477966309,1.1401242017745972,0.5
pareto_lex,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.03,7,0.014018699526786804,0.9468266367912292,0.6666666865348816
random,18216dcf-eb8e-4b3f-bcf1-83fb6742db6c,0.03,2,1.4142138957977295,1.1408514976501465,0.5
min_proximity,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.03,0,1.4142135381698608,0.020322421565651894,9.99999993922529e-09
min_geo,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.03,0,1.4142135381698608,0.020322421565651894,9.99999993922529e-09
weighted_sum_equal,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.03,0,1.4142135381698608,0.020322421565651894,9.99999993922529e-09
weighted_sum_prox_heavy,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.03,0,1.4142135381698608,0.020322421565651894,9.99999993922529e-09
pareto_knee,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.03,0,1.4142135381698608,0.020322421565651894,9.99999993922529e-09
pareto_lex,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.03,2,2.0,0.020322421565651894,4.999999969612645e-09
random,7d0bb7ce-d75c-420e-b954-a9f08827d327,0.03,0,1.4142135381698608,0.020322421565651894,9.99999993922529e-09
min_proximity,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.03,113,0.07822039723396301,0.02256748639047146,0.3333333432674408
min_geo,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.03,86,1.4154738187789917,0.012801229022443295,0.1666666716337204
weighted_sum_equal,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.03,86,1.4154738187789917,0.012801229022443295,0.1666666716337204
weighted_sum_prox_heavy,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.03,22,0.08945048600435257,0.017350470647215843,0.3333333432674408
pareto_knee,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.03,86,1.4154738187789917,0.012801229022443295,0.1666666716337204
pareto_lex,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.03,86,1.4154738187789917,0.012801229022443295,0.1666666716337204
random,ebe1a4e3-66a9-4d7b-8930-69b309da2c54,0.03,86,1.4154738187789917,0.012801229022443295,0.1666666716337204
min_proximity,3d7687bc-da7c-458a-ab25-c391444b7245,0.03,0,1.4142135381698608,0.023394303396344185,0.1666666716337204
min_geo,3d7687bc-da7c-458a-ab25-c391444b7245,0.03,0,1.4142135381698608,0.023394303396344185,0.1666666716337204
weighted_sum_equal,3d7687bc-da7c-458a-ab25-c391444b7245,0.03,0,1.4142135381698608,0.023394303396344185,0.1666666716337204
weighted_sum_prox_heavy,3d7687bc-da7c-458a-ab25-c391444b7245,0.03,0,1.4142135381698608,0.023394303396344185,0.1666666716337204
pareto_knee,3d7687bc-da7c-458a-ab25-c391444b7245,0.03,0,1.4142135381698608,0.023394303396344185,0.1666666716337204
pareto_lex,3d7687bc-da7c-458a-ab25-c391444b7245,0.03,3,2.4494898319244385,0.023394303396344185,0.1111111119389534
random,3d7687bc-da7c-458a-ab25-c391444b7245,0.03,0,1.4142135381698608,0.023394303396344185,0.1666666716337204
min_proximity,7f653813-5f28-4aed-8868-63211273450b,0.05,30,0.10636341571807861,0.030435264110565186,9.99999993922529e-09
min_geo,7f653813-5f28-4aed-8868-63211273450b,0.05,31,1.41525399684906,0.003344923257827759,9.99999993922529e-09
weighted_sum_equal,7f653813-5f28-4aed-8868-63211273450b,0.05,30,0.10636341571807861,0.030435264110565186,9.99999993922529e-09
weighted_sum_prox_heavy,7f653813-5f28-4aed-8868-63211273450b,0.05,30,0.10636341571807861,0.030435264110565186,9.99999993922529e-09
pareto_knee,7f653813-5f28-4aed-8868-63211273450b,0.05,30,0.10636341571807861,0.030435264110565186,9.99999993922529e-09
pareto_lex,7f653813-5f28-4aed-8868-63211273450b,0.05,31,1.41525399684906,0.003344923257827759,9.99999993922529e-09
random,7f653813-5f28-4aed-8868-63211273450b,0.05,108,1.4152337312698364,0.02041553519666195,9.99999993922529e-09
min_proximity,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.05,0,1.4142135381698608,0.48660191893577576,0.3333333432674408
min_geo,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.05,6,1.4142180681228638,0.4842960834503174,0.3333333432674408
weighted_sum_equal,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.05,7,1.4142135381698608,0.4864288866519928,0.3333333432674408
weighted_sum_prox_heavy,f1f8fba7-8b0a-466e-8999-e24d7078b2fe,0.05,7,1.4142135381698608,0.4864288866519928,0.3333333432674408
