,,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
query_uuid,sigma,,,,,,,,,,,,,,,,,,,,,,,,
24e363c2-00c7-4b2f-a992-6d85787a5713,0.03,61.0,2.2246189918674406,0.45624214786070294,0.75,2.0833332538604736,2.108185052871704,2.5188732147216797,3.2015621662139893,61.0,0.5279112052111352,0.602065561380523,0.05907711386680603,0.07733666151762009,0.15861518681049347,0.9767500758171082,1.8059768676757812,61.0,0.1645068997811989,0.1366058886786249,2.4999999848063226e-09,3.3333329430007552e-09,0.20000000298023224,0.25,0.43333330750465393
24e363c2-00c7-4b2f-a992-6d85787a5713,0.05,61.0,2.2246189918674406,0.45624214786070294,0.75,2.0833332538604736,2.108185052871704,2.5188732147216797,3.2015621662139893,61.0,0.5610045277681507,0.5725366990275428,0.10326066613197327,0.11512113362550735,0.1786019206047058,1.00018310546875,2.0090224742889404,61.0,0.1755139251289142,0.14946805583039013,2.4999999848063226e-09,4.999999969612645e-09,0.1666666716337204,0.29999998211860657,0.5
24e363c2-00c7-4b2f-a992-6d85787a5713,0.07,61.0,2.2246189918674406,0.45624214786070294,0.75,2.0833332538604736,2.108185052871704,2.5188732147216797,3.2015621662139893,61.0,0.5466845455716868,0.5166799568095557,0.14168302714824677,0.16286452114582062,0.21535088121891022,1.0075551271438599,1.6283540725708008,61.0,0.16514442295539825,0.11118207555587666,3.3333329430007552e-09,0.0833333358168602,0.1666666716337204,0.25,0.3888889253139496
34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.03,62.0,2.2489310599142507,0.39159961930437814,1.5317293405532837,2.0683231353759766,2.108185052871704,2.5148804783821106,3.215630292892456,62.0,0.6864529473767165,0.624567232642798,0.06216318532824516,0.09028331004083157,0.5225564539432526,1.4158704280853271,2.151273727416992,62.0,0.19175627652924124,0.11219752195272704,3.3333329430007552e-09,0.1111111119389534,0.1666666716337204,0.2666666805744171,0.4444444477558136
34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.05,62.0,2.2489310599142507,0.39159961930437814,1.5317293405532837,2.0683231353759766,2.108185052871704,2.5148804783821106,3.215630292892456,62.0,0.4977413042178077,0.5350290330977028,0.09539192914962769,0.10712430439889431,0.1458723098039627,0.9759850353002548,1.8077484369277954,62.0,0.1130440373888316,0.10871962682392441,2.4999999848063226e-09,3.3333329430007552e-09,0.0833333358168602,0.20000000298023224,0.3333333432674408
34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.07,62.0,2.2489310599142507,0.39159961930437814,1.5317293405532837,2.0683231353759766,2.108185052871704,2.5148804783821106,3.215630292892456,62.0,0.6319597034204391,0.5538086402654099,0.15840838849544525,0.17085062712430954,0.4182882159948349,1.0216732025146484,2.1584701538085938,62.0,0.12942908630287367,0.11319951931604924,2.4999999848063226e-09,4.999999969612645e-09,0.11666666716337204,0.22083333134651184,0.3968254029750824
79dfd425-f788-4528-9136-c05c1330c62e,0.03,28.0,1.7707130121333259,0.4054235441984389,0.5833333134651184,1.5018484592437744,1.5297966003417969,2.0833332538604736,2.5,28.0,0.3267533697986177,0.47910485695018007,0.04920044541358948,0.05494904890656471,0.07481339201331139,0.250241294503212,1.4153499603271484,28.0,0.0791666703650469,0.11753668269071366,3.3333329430007552e-09,4.999999969612645e-09,4.999999969612645e-09,0.21805554628372192,0.3333333432674408
79dfd425-f788-4528-9136-c05c1330c62e,0.05,28.0,1.7707130121333259,0.4054235441984389,0.5833333134651184,1.5018484592437744,1.5297966003417969,2.0833332538604736,2.5,28.0,0.31809726996081217,0.4199423938513307,0.08026290684938431,0.10701384767889977,0.11793354526162148,0.14440590515732765,1.4188413619995117,28.0,0.07242064011347557,0.1147399429338076,3.3333329430007552e-09,4.999999969612645e-09,4.999999969612645e-09,0.12500000186264515,0.3333333432674408
79dfd425-f788-4528-9136-c05c1330c62e,0.07,28.0,1.7707130121333259,0.4054235441984389,0.5833333134651184,1.5018484592437744,1.5297966003417969,2.0833332538604736,2.5,28.0,0.31718833691307474,0.29059899743266426,0.15190686285495758,0.17052988335490227,0.17717817425727844,0.2241354137659073,1.1005823612213135,28.0,0.24960317977362903,0.12345921723441974,3.3333329430007552e-09,0.20416665822267532,0.2361111119389534,0.3333333432674408,0.46666666865348816
91957a91-db80-4649-aa52-1d5431902474,0.03,69.0,2.3418618941652602,0.3907681778504104,1.5319437980651855,2.0835087299346924,2.135531187057495,2.5188732147216797,3.2015621662139893,69.0,0.6412169223894244,0.5908301288441454,0.058410078287124634,0.08835180848836899,0.5226686596870422,0.9708399772644043,2.150782346725464,69.0,0.18051530172713984,0.11224763180625556,3.3333329430007552e-09,0.0833333358168602,0.1944444626569748,0.25,0.4444444477558136
91957a91-db80-4649-aa52-1d5431902474,0.05,69.0,2.3418618941652602,0.3907681778504104,1.5319437980651855,2.0835087299346924,2.135531187057495,2.5188732147216797,3.2015621662139893,69.0,0.6049561036237772,0.5529014649825902,0.129094198346138,0.14082251489162445,0.23442508280277252,0.9968022704124451,2.005213499069214,69.0,0.12223372943875677,0.11615091957362204,2.4999999848063226e-09,3.3333329430007552e-09,0.1111111119389534,0.20000000298023224,0.5000000596046448
91957a91-db80-4649-aa52-1d5431902474,0.07,69.0,2.3418618941652602,0.3907681778504104,1.5319437980651855,2.0835087299346924,2.135531187057495,2.5188732147216797,3.2015621662139893,69.0,0.5924456197282543,0.5341126611084958,0.13947102427482605,0.15054650604724884,0.22276879847049713,1.0057860612869263,1.8115062713623047,69.0,0.10539452861972497,0.11135582301033116,2.4999999848063226e-09,3.3333329430007552e-09,0.0833333358168602,0.14999999105930328,0.4000000059604645
9c8e6b39-806c-4f3f-a366-aeee946296a2,0.03,43.0,2.156937156998834,0.4727753709527852,0.6666666865348816,2.044289708137512,2.0833332538604736,2.5,2.872281312942505,43.0,0.5419783036029616,0.5352578649673012,0.06368572264909744,0.07531338185071945,0.22285383939743042,0.9700056910514832,1.611590027809143,43.0,0.1872831331782563,0.09572352185583734,0.06666667014360428,0.1111111119389534,0.1666666716337204,0.24166666716337204,0.3888889253139496
9c8e6b39-806c-4f3f-a366-aeee946296a2,0.05,43.0,2.156937156998834,0.4727753709527852,0.6666666865348816,2.044289708137512,2.0833332538604736,2.5,2.872281312942505,43.0,0.4963971790532733,0.5390156810289485,0.11265808343887329,0.12125768139958382,0.14058685302734375,0.9904390573501587,1.6156831979751587,43.0,0.10271318090548927,0.11397997325871183,2.4999999848063226e-09,3.3333329430007552e-09,0.06666667014360428,0.21111111342906952,0.3333333432674408
9c8e6b39-806c-4f3f-a366-aeee946296a2,0.07,43.0,2.156937156998834,0.4727753709527852,0.6666666865348816,2.044289708137512,2.0833332538604736,2.5,2.872281312942505,43.0,0.7868206601503284,0.5038353753281588,0.16669408977031708,0.4110860154032707,0.6262516975402832,1.1190156936645508,1.7718324661254883,43.0,0.1773901841919458,0.11139774903038234,3.3333329430007552e-09,0.1111111119389534,0.1666666716337204,0.25,0.3888889253139496
9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.03,44.0,2.1247791769829663,0.4988986294475068,0.75,2.049931764602661,2.0833332538604736,2.490809202194214,3.2015621662139893,44.0,0.40854215215552936,0.4954705870469013,0.061546579003334045,0.07120538502931595,0.12073210999369621,0.5676528513431549,1.612240195274353,44.0,0.11282467825043394,0.13182360956331662,1.999999943436137e-09,3.3333329430007552e-09,0.0833333358168602,0.20000000298023224,0.5
9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.05,44.0,2.1247791769829663,0.4988986294475068,0.75,2.049931764602661,2.0833332538604736,2.490809202194214,3.2015621662139893,44.0,0.6195768527686596,0.5413606085983587,0.1302233338356018,0.14809660241007805,0.3064631298184395,1.0561730563640594,1.813132643699646,44.0,0.1635101046848129,0.12359892427597581,2.4999999848063226e-09,0.06666667014360428,0.15833333134651184,0.2529761865735054,0.4333333671092987
9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.07,44.0,2.1247791769829663,0.4988986294475068,0.75,2.049931764602661,2.0833332538604736,2.490809202194214,3.2015621662139893,44.0,0.4997554878619584,0.45985525188080795,0.1680445522069931,0.1818988397717476,0.2153618112206459,0.7099759876728058,1.8203601837158203,44.0,0.14257756548017364,0.12659847194106993,2.4999999848063226e-09,3.3333329430007552e-09,0.1111111119389534,0.2549603208899498,0.3888889253139496
a1c1ba53-8ac3-4dfe-a75c-eb16c42342ab,0.03,47.0,2.2335252508204033,0.3703652105685224,1.5297966003417969,2.0703662633895874,2.089989423751831,2.517990827560425,3.2015621662139893,47.0,0.45235152891341673,0.5074160494840205,0.05752649903297424,0.06719668582081795,0.14364926517009735,0.636693924665451,1.6108945608139038,47.0,0.12649443129882507,0.10906395142771476,2.4999999848063226e-09,4.1666664563067e-09,0.13333334028720856,0.20000000298023224,0.3499999940395355
