selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.03,8,0.75,0.9704867005348206,0.3333333432674408
min_geo,9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.03,3,2.0615527629852295,0.061546579003334045,3.3333329430007552e-09
weighted_sum_equal,9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.03,12,1.5297966003417969,0.06653507798910141,4.999999969612645e-09
weighted_sum_prox_heavy,9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.03,12,1.5297966003417969,0.06653507798910141,4.999999969612645e-09
pareto_knee,9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.03,12,1.5297966003417969,0.06653507798910141,4.999999969612645e-09
pareto_lex,9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.03,3,2.0615527629852295,0.061546579003334045,3.3333329430007552e-09
random,9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,0.03,40,2.0508129596710205,0.1281445473432541,0.21666665375232697
min_proximity,79dfd425-f788-4528-9136-c05c1330c62e,0.03,0,0.5833333134651184,0.04920044541358948,9.99999993922529e-09
min_geo,79dfd425-f788-4528-9136-c05c1330c62e,0.03,0,0.5833333134651184,0.04920044541358948,9.99999993922529e-09
weighted_sum_equal,79dfd425-f788-4528-9136-c05c1330c62e,0.03,0,0.5833333134651184,0.04920044541358948,9.99999993922529e-09
weighted_sum_prox_heavy,79dfd425-f788-4528-9136-c05c1330c62e,0.03,0,0.5833333134651184,0.04920044541358948,9.99999993922529e-09
pareto_knee,79dfd425-f788-4528-9136-c05c1330c62e,0.03,0,0.5833333134651184,0.04920044541358948,9.99999993922529e-09
pareto_lex,79dfd425-f788-4528-9136-c05c1330c62e,0.03,0,0.5833333134651184,0.04920044541358948,9.99999993922529e-09
random,79dfd425-f788-4528-9136-c05c1330c62e,0.03,3,1.5297966003417969,0.05476187542080879,4.999999969612645e-09
min_proximity,c8992e40-7124-4896-8994-cd6009446a2a,0.03,1,0.5065314769744873,0.11984830349683762,0.5
min_geo,c8992e40-7124-4896-8994-cd6009446a2a,0.03,4,1.5,0.05293446406722069,4.999999969612645e-09
weighted_sum_equal,c8992e40-7124-4896-8994-cd6009446a2a,0.03,0,0.5833333134651184,0.060142338275909424,9.99999993922529e-09
weighted_sum_prox_heavy,c8992e40-7124-4896-8994-cd6009446a2a,0.03,0,0.5833333134651184,0.060142338275909424,9.99999993922529e-09
pareto_knee,c8992e40-7124-4896-8994-cd6009446a2a,0.03,0,0.5833333134651184,0.060142338275909424,9.99999993922529e-09
pareto_lex,c8992e40-7124-4896-8994-cd6009446a2a,0.03,4,1.5,0.05293446406722069,4.999999969612645e-09
random,c8992e40-7124-4896-8994-cd6009446a2a,0.03,0,0.5833333134651184,0.060142338275909424,9.99999993922529e-09
min_proximity,e423d204-4cfb-4643-8539-f981977a7b77,0.03,6,0.75,0.9745246767997742,0.1666666716337204
min_geo,e423d204-4cfb-4643-8539-f981977a7b77,0.03,8,2.0615527629852295,0.07326872646808624,0.1111111119389534
weighted_sum_equal,e423d204-4cfb-4643-8539-f981977a7b77,0.03,58,2.0833332538604736,0.08709212392568588,3.3333329430007552e-09
weighted_sum_prox_heavy,e423d204-4cfb-4643-8539-f981977a7b77,0.03,6,0.75,0.9745246767997742,0.1666666716337204
pareto_knee,e423d204-4cfb-4643-8539-f981977a7b77,0.03,32,1.5634719133377075,0.5257925391197205,4.999999969612645e-09
pareto_lex,e423d204-4cfb-4643-8539-f981977a7b77,0.03,8,2.0615527629852295,0.07326872646808624,0.1111111119389534
random,e423d204-4cfb-4643-8539-f981977a7b77,0.03,35,2.0833332538604736,0.07476330548524857,0.1111111119389534
min_proximity,a1c1ba53-8ac3-4dfe-a75c-eb16c42342ab,0.03,0,1.5297966003417969,0.05786503851413727,4.999999969612645e-09
min_geo,a1c1ba53-8ac3-4dfe-a75c-eb16c42342ab,0.03,2,2.0615527629852295,0.05752649903297424,3.3333329430007552e-09
weighted_sum_equal,a1c1ba53-8ac3-4dfe-a75c-eb16c42342ab,0.03,0,1.5297966003417969,0.05786503851413727,4.999999969612645e-09
weighted_sum_prox_heavy,a1c1ba53-8ac3-4dfe-a75c-eb16c42342ab,0.03,0,1.5297966003417969,0.05786503851413727,4.999999969612645e-09
pareto_knee,a1c1ba53-8ac3-4dfe-a75c-eb16c42342ab,0.03,0,1.5297966003417969,0.05786503851413727,4.999999969612645e-09
pareto_lex,a1c1ba53-8ac3-4dfe-a75c-eb16c42342ab,0.03,2,2.0615527629852295,0.05752649903297424,3.3333329430007552e-09
random,a1c1ba53-8ac3-4dfe-a75c-eb16c42342ab,0.03,15,2.517990827560425,1.4155607223510742,0.25
min_proximity,91957a91-db80-4649-aa52-1d5431902474,0.03,66,1.5319437980651855,0.5170256495475769,4.999999969612645e-09
min_geo,91957a91-db80-4649-aa52-1d5431902474,0.03,48,2.5,0.058410078287124634,0.13333334028720856
weighted_sum_equal,91957a91-db80-4649-aa52-1d5431902474,0.03,66,1.5319437980651855,0.5170256495475769,4.999999969612645e-09
weighted_sum_prox_heavy,91957a91-db80-4649-aa52-1d5431902474,0.03,66,1.5319437980651855,0.5170256495475769,4.999999969612645e-09
pareto_knee,91957a91-db80-4649-aa52-1d5431902474,0.03,66,1.5319437980651855,0.5170256495475769,4.999999969612645e-09
pareto_lex,91957a91-db80-4649-aa52-1d5431902474,0.03,48,2.5,0.058410078287124634,0.13333334028720856
random,91957a91-db80-4649-aa52-1d5431902474,0.03,28,3.2015621662139893,1.4171161651611328,0.2936507761478424
min_proximity,24e363c2-00c7-4b2f-a992-6d85787a5713,0.03,46,0.75,0.07151924073696136,9.99999993922529e-09
min_geo,24e363c2-00c7-4b2f-a992-6d85787a5713,0.03,11,2.0833332538604736,0.05907711386680603,3.3333329430007552e-09
weighted_sum_equal,24e363c2-00c7-4b2f-a992-6d85787a5713,0.03,46,0.75,0.07151924073696136,9.99999993922529e-09
weighted_sum_prox_heavy,24e363c2-00c7-4b2f-a992-6d85787a5713,0.03,46,0.75,0.07151924073696136,9.99999993922529e-09
pareto_knee,24e363c2-00c7-4b2f-a992-6d85787a5713,0.03,46,0.75,0.07151924073696136,9.99999993922529e-09
pareto_lex,24e363c2-00c7-4b2f-a992-6d85787a5713,0.03,11,2.0833332538604736,0.05907711386680603,3.3333329430007552e-09
random,24e363c2-00c7-4b2f-a992-6d85787a5713,0.03,8,2.109238862991333,0.08338616043329239,0.25
min_proximity,34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.03,31,1.5317293405532837,0.5353888869285583,0.3333333432674408
min_geo,34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.03,29,2.061729907989502,0.06216318532824516,0.1111111119389534
weighted_sum_equal,34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.03,41,1.5634719133377075,0.5216647386550903,4.999999969612645e-09
weighted_sum_prox_heavy,34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.03,41,1.5634719133377075,0.5216647386550903,4.999999969612645e-09
pareto_knee,34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.03,41,1.5634719133377075,0.5216647386550903,4.999999969612645e-09
pareto_lex,34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.03,29,2.061729907989502,0.06216318532824516,0.1111111119389534
random,34c9cd80-c6ed-47d4-bbeb-d31c12e25304,0.03,47,2.108185052871704,0.5436897873878479,0.1944444626569748
min_proximity,9c8e6b39-806c-4f3f-a366-aeee946296a2,0.03,30,0.6666666865348816,0.09983650594949722,0.2222222238779068
min_geo,9c8e6b39-806c-4f3f-a366-aeee946296a2,0.03,25,1.5002435445785522,0.06368572264909744,0.1111111119389534
weighted_sum_equal,9c8e6b39-806c-4f3f-a366-aeee946296a2,0.03,30,0.6666666865348816,0.09983650594949722,0.2222222238779068
weighted_sum_prox_heavy,9c8e6b39-806c-4f3f-a366-aeee946296a2,0.03,30,0.6666666865348816,0.09983650594949722,0.2222222238779068
pareto_knee,9c8e6b39-806c-4f3f-a366-aeee946296a2,0.03,25,1.5002435445785522,0.06368572264909744,0.1111111119389534
pareto_lex,9c8e6b39-806c-4f3f-a366-aeee946296a2,0.03,25,1.5002435445785522,0.06368572264909744,0.1111111119389534
