,,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
query_uuid,sigma,,,,,,,,,,,,,,,,,,,,,,,,
0663b21b-64e1-4d9e-8056-d411728f1ab4,0.03,26.0,2.275524221933805,0.46353982669281435,1.4142135381698608,2.0,2.0,2.4494898319244385,3.1622776985168457,26.0,1.8036847916933207,0.8550417413484839,0.05109339952468872,1.415151596069336,2.075551390647888,2.450031280517578,3.051435708999634,26.0,0.5158119761472262,0.22398022722815994,4.999999969612645e-09,0.5,0.5444444715976715,0.6666666865348816,0.8333333134651184
0663b21b-64e1-4d9e-8056-d411728f1ab4,0.05,26.0,2.275524221933805,0.46353982669281435,1.4142135381698608,2.0,2.0,2.4494898319244385,3.1622776985168457,26.0,1.7487544096433199,0.7566800987641152,0.1626230776309967,1.4242773056030273,1.9842462539672852,2.3062355518341064,3.055816650390625,26.0,0.5250000116916803,0.17740411809263396,0.1666666716337204,0.4652777835726738,0.5555555820465088,0.6166666746139526,0.8888888955116272
0663b21b-64e1-4d9e-8056-d411728f1ab4,0.07,26.0,2.275524221933805,0.46353982669281435,1.4142135381698608,2.0,2.0,2.4494898319244385,3.1622776985168457,26.0,1.7419093635219793,0.729762126468688,0.11606528609991074,1.420069694519043,1.8839941024780273,2.3033857345581055,2.9278910160064697,26.0,0.47158121317625046,0.1760704627880734,0.1666666716337204,0.3888889253139496,0.5250000059604645,0.5555555820465088,0.7666666507720947
092139b1-9968-4b35-94fb-cdfba9a89f72,0.03,24.0,2.224787543217341,0.5598015755030633,1.4142135381698608,2.0,2.0,2.5442241430282593,3.464101552963257,24.0,1.565639853477478,0.8137478455650464,0.06330457329750061,0.9708321690559387,1.6857993006706238,2.1710581183433533,2.9404170513153076,24.0,0.4016203779009199,0.23124484521470362,9.99999993922529e-09,0.3333333432674408,0.4722222238779068,0.5555555820465088,0.75
092139b1-9968-4b35-94fb-cdfba9a89f72,0.05,24.0,2.224787543217341,0.5598015755030633,1.4142135381698608,2.0,2.0,2.5442241430282593,3.464101552963257,24.0,2.109787161151568,0.564347755654223,1.3727960586547852,1.6127840280532837,2.0027284622192383,2.483260214328766,3.2645938396453857,24.0,0.4548611154682652,0.2555834449093514,9.99999993922529e-09,0.3194444552063942,0.5,0.6666666865348816,0.75
092139b1-9968-4b35-94fb-cdfba9a89f72,0.07,24.0,2.224787543217341,0.5598015755030633,1.4142135381698608,2.0,2.0,2.5442241430282593,3.464101552963257,24.0,2.047557311753432,0.5831006874760817,0.9317263960838318,1.658974438905716,1.9840513467788696,2.476649820804596,3.044527292251587,24.0,0.612466941277186,0.14269131669657403,0.3333333432674408,0.5,0.6388888955116272,0.692460298538208,0.8888888955116272
18113bf1-e0e1-4f38-ade0-31f245e926ac,0.03,54.0,2.2989592993700945,0.40278406527794597,2.0,2.0,2.0,2.4494898319244385,3.464101552963257,54.0,1.3562815426676362,0.6692843916220758,0.07399442791938782,0.7126621603965759,1.3310859203338623,1.7609227895736694,3.041231393814087,54.0,0.25474721438043346,0.2074319913463804,4.999999969612645e-09,4.999999969612645e-09,0.2222222238779068,0.4404762014746666,0.6666666865348816
18113bf1-e0e1-4f38-ade0-31f245e926ac,0.05,54.0,2.2989592993700945,0.40278406527794597,2.0,2.0,2.0,2.4494898319244385,3.464101552963257,54.0,1.058196627707393,0.8367566813819834,0.09635791927576065,0.09635791927576065,1.0830388963222504,1.4176321029663086,2.8301382064819336,54.0,0.21831276306085232,0.22295118987290596,4.999999969612645e-09,4.999999969612645e-09,0.2222222238779068,0.4166666567325592,0.6666666865348816
18113bf1-e0e1-4f38-ade0-31f245e926ac,0.07,54.0,2.2989592993700945,0.40278406527794597,2.0,2.0,2.0,2.4494898319244385,3.464101552963257,54.0,1.1982215079996321,0.7866916769556118,0.18208962678909302,0.18208962678909302,1.3005709052085876,1.926366925239563,2.8345444202423096,54.0,0.3126690321498447,0.198854084554285,0.1111111119389534,0.1111111119389534,0.3750000298023224,0.46666668355464935,0.694444477558136
3c376d6d-6e99-4d56-a920-5a6668c275be,0.03,56.0,2.3184406416756764,0.44702349132412417,2.0,2.0,2.0,2.5442241430282593,3.464101552963257,56.0,1.2448419973786389,0.8179555132740315,0.08212684839963913,0.720335066318512,0.9710322022438049,2.039208173751831,2.814638137817383,56.0,0.2998015912078173,0.1881912763635765,4.999999969612645e-09,0.1666666716337204,0.1666666716337204,0.4444444477558136,0.699999988079071
3c376d6d-6e99-4d56-a920-5a6668c275be,0.05,56.0,2.3184406416756764,0.44702349132412417,2.0,2.0,2.0,2.5442241430282593,3.464101552963257,56.0,1.3672111577221326,0.7746339130217139,0.5446318984031677,0.7396996021270752,1.0787945687770844,2.1521896719932556,2.9414069652557373,56.0,0.24535147869213753,0.23510398156780232,4.999999969612645e-09,4.999999969612645e-09,0.25,0.4750000014901161,0.6857142448425293
3c376d6d-6e99-4d56-a920-5a6668c275be,0.07,56.0,2.3184406416756764,0.44702349132412417,2.0,2.0,2.0,2.5442241430282593,3.464101552963257,56.0,1.4501372599708182,0.7328806994210532,0.16183991730213165,1.0089858770370483,1.203376054763794,2.0439781546592712,2.833097457885742,56.0,0.3763889014454825,0.18162890373921048,0.1111111119389534,0.2777777910232544,0.2777777910232544,0.5388889163732529,0.7388889193534851
42a9f3ba-067f-4bc6-ae7a-5a494038d319,0.03,50.0,2.294873847961426,0.3691608653297556,2.0,2.0,2.0,2.4494898319244385,3.464101552963257,50.0,1.2987121425569057,0.6799281539193559,0.0792871043086052,0.7194344997406006,0.9707770049571991,1.7951927781105042,2.829538583755493,50.0,0.258111116794046,0.19867034049170834,4.999999969612645e-09,0.1666666716337204,0.2222222238779068,0.3333333432674408,0.6666666865348816
42a9f3ba-067f-4bc6-ae7a-5a494038d319,0.05,50.0,2.294873847961426,0.3691608653297556,2.0,2.0,2.0,2.4494898319244385,3.464101552963257,50.0,1.1125697427988053,0.8392537980134142,0.12303783744573593,0.5435745716094971,0.960127592086792,1.9574239253997803,2.942394256591797,50.0,0.22733333976460418,0.2265809504755878,4.999999969612645e-09,4.999999969612645e-09,0.2222222238779068,0.3333333432674408,0.75
42a9f3ba-067f-4bc6-ae7a-5a494038d319,0.07,50.0,2.294873847961426,0.3691608653297556,2.0,2.0,2.0,2.4494898319244385,3.464101552963257,50.0,1.599346148967743,0.5579519210214261,0.61375492811203,1.2278600931167603,1.3772783279418945,2.121092736721039,2.945937156677246,50.0,0.25944445088901097,0.18963521652821125,4.999999969612645e-09,0.1111111119389534,0.2222222238779068,0.3888889253139496,0.7666666507720947
4cd29f08-1e38-4605-9cee-eccc1c7d90e9,0.03,41.0,2.12963561895417,0.4486295286419806,1.4142135381698608,2.0,2.0,2.4494898319244385,3.1622776985168457,41.0,1.384895711592058,0.7759229583879572,0.059171658009290695,0.9597225189208984,1.4154964685440063,2.0009071826934814,2.7028071880340576,41.0,0.43604336861667536,0.24011353589051393,9.99999993922529e-09,0.3333333432674408,0.5,0.6666666865348816,0.7666666507720947
4cd29f08-1e38-4605-9cee-eccc1c7d90e9,0.05,41.0,2.12963561895417,0.4486295286419806,1.4142135381698608,2.0,2.0,2.4494898319244385,3.1622776985168457,41.0,1.4478085980546185,0.7628755156420064,0.10503030568361282,0.9840194582939148,1.4182615280151367,2.0028648376464844,2.815478563308716,41.0,0.47872630270516,0.18976879794882842,0.1666666716337204,0.3333333432674408,0.5555555820465088,0.5833333134651184,0.8888888955116272
4cd29f08-1e38-4605-9cee-eccc1c7d90e9,0.07,41.0,2.12963561895417,0.4486295286419806,1.4142135381698608,2.0,2.0,2.4494898319244385,3.1622776985168457,41.0,2.0266650769768693,0.377577461466253,1.0043262243270874,1.814684510231018,2.0089714527130127,2.3073575496673584,2.8196256160736084,41.0,0.4594851055102939,0.2003324564529394,9.99999993922529e-09,0.4444444477558136,0.5,0.5555555820465088,0.75
8e8f3968-cb73-4815-8e45-1f1d1c02827d,0.03,41.0,1.988204365823327,0.5460947532712466,1.4142135381698608,1.4142135381698608,2.0,2.4494898319244385,3.464101552963257,41.0,1.6343320128394336,0.6162508705685191,0.9548594951629639,0.9548595547676086,1.8055338859558105,2.0007576942443848,3.1627566814422607,41.0,0.5897019083906965,0.12025924447422205,0.3333333432674408,0.5,0.6111111640930176,0.6666666865348816,0.8055555820465088
8e8f3968-cb73-4815-8e45-1f1d1c02827d,0.05,41.0,1.988204365823327,0.5460947532712466,1.4142135381698608,1.4142135381698608,2.0,2.4494898319244385,3.464101552963257,41.0,1.439110055565834,0.7390343879354706,0.09593222290277481,0.7288973331451416,1.4178422689437866,2.002568006515503,3.2644612789154053,41.0,0.4859465868266213,0.19149120526990307,9.99999993922529e-09,0.3333333432674408,0.5,0.6666666865348816,0.7777778506278992
8e8f3968-cb73-4815-8e45-1f1d1c02827d,0.07,41.0,1.988204365823327,0.5460947532712466,1.4142135381698608,1.4142135381698608,2.0,2.4494898319244385,3.464101552963257,41.0,1.7205653161537358,0.608326404753764,0.8128793239593506,1.2140752077102661,1.7718080282211304,2.091400623321533,3.1683743000030518,41.0,0.5474254876633565,0.19644250474123684,9.99999993922529e-09,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.8333333134651184
