query_id,generated,duplicates,after_dedup,sigma,pareto
12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,250,163,87,0.03,11
19057309-161f-4fcb-97bb-248d44edd3bf,250,183,67,0.03,11
e1b766ca-59a1-4169-94f9-6cdb6b5c9a2e,250,195,55,0.03,9
477d6aac-1a0e-42fd-9766-d0a81cc16edd,250,195,55,0.03,7
0aeb81b5-77ac-4af5-ab72-510c467ad887,250,175,75,0.03,13
8bb4e63f-b1a7-45f1-91a8-bf194a76f331,250,228,22,0.03,2
bab4288f-e62a-4af1-b9c5-ca70d8345ebe,250,227,23,0.03,2
76e6e03f-1a6e-42ac-bb9a-3426fe2f25a4,250,175,75,0.03,14
eac622d2-007b-4bbe-a680-06db679ec27c,250,238,12,0.03,6
423e6117-8acd-4a0a-af54-d3efc745c0ac,250,173,77,0.03,14
TOTAL,2500,1952,548,,89
