selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,0.03,46,0.435310959815979,0.20886631309986115,0.3333333432674408
min_geo,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,0.03,80,0.7666970491409302,0.15549539029598236,0.1111111119389534
weighted_sum_equal,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,0.03,65,0.4943181872367859,0.17860932648181915,0.1111111119389534
weighted_sum_prox_heavy,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,0.03,65,0.4943181872367859,0.17860932648181915,0.1111111119389534
pareto_knee,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,0.03,65,0.4943181872367859,0.17860932648181915,0.1111111119389534
pareto_lex,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,0.03,80,0.7666970491409302,0.15549539029598236,0.1111111119389534
random,12bc0ca8-a9bf-4f1c-92ac-c0f2aee8a5d7,0.03,81,1.0785571336746216,0.24360792338848114,0.4222222566604614
min_proximity,19057309-161f-4fcb-97bb-248d44edd3bf,0.03,25,0.32603809237480164,0.19678480923175812,0.2777777910232544
min_geo,19057309-161f-4fcb-97bb-248d44edd3bf,0.03,17,0.7415831089019775,0.1578647643327713,0.2777777910232544
weighted_sum_equal,19057309-161f-4fcb-97bb-248d44edd3bf,0.03,52,0.4836854338645935,0.16941098868846893,0.0833333358168602
weighted_sum_prox_heavy,19057309-161f-4fcb-97bb-248d44edd3bf,0.03,25,0.32603809237480164,0.19678480923175812,0.2777777910232544
pareto_knee,19057309-161f-4fcb-97bb-248d44edd3bf,0.03,43,0.44517916440963745,0.16835911571979523,0.1666666716337204
pareto_lex,19057309-161f-4fcb-97bb-248d44edd3bf,0.03,17,0.7415831089019775,0.1578647643327713,0.2777777910232544
random,19057309-161f-4fcb-97bb-248d44edd3bf,0.03,14,0.45296239852905273,0.18010564148426056,0.2222222238779068
min_proximity,e1b766ca-59a1-4169-94f9-6cdb6b5c9a2e,0.03,12,0.20058012008666992,0.14193440973758698,0.3333333432674408
min_geo,e1b766ca-59a1-4169-94f9-6cdb6b5c9a2e,0.03,21,0.45843419432640076,0.11911488324403763,0.1666666716337204
weighted_sum_equal,e1b766ca-59a1-4169-94f9-6cdb6b5c9a2e,0.03,0,0.20608289539813995,0.13495206832885742,4.999999969612645e-09
weighted_sum_prox_heavy,e1b766ca-59a1-4169-94f9-6cdb6b5c9a2e,0.03,0,0.20608289539813995,0.13495206832885742,4.999999969612645e-09
pareto_knee,e1b766ca-59a1-4169-94f9-6cdb6b5c9a2e,0.03,0,0.20608289539813995,0.13495206832885742,4.999999969612645e-09
pareto_lex,e1b766ca-59a1-4169-94f9-6cdb6b5c9a2e,0.03,21,0.45843419432640076,0.11911488324403763,0.1666666716337204
random,e1b766ca-59a1-4169-94f9-6cdb6b5c9a2e,0.03,1,0.35468789935112,0.13537271320819855,0.1666666716337204
min_proximity,477d6aac-1a0e-42fd-9766-d0a81cc16edd,0.03,52,0.44313162565231323,0.20305879414081573,0.3333333432674408
min_geo,477d6aac-1a0e-42fd-9766-d0a81cc16edd,0.03,0,0.6478835344314575,0.13994379341602325,4.999999969612645e-09
weighted_sum_equal,477d6aac-1a0e-42fd-9766-d0a81cc16edd,0.03,33,0.5044262409210205,0.155246302485466,4.999999969612645e-09
weighted_sum_prox_heavy,477d6aac-1a0e-42fd-9766-d0a81cc16edd,0.03,33,0.5044262409210205,0.155246302485466,4.999999969612645e-09
pareto_knee,477d6aac-1a0e-42fd-9766-d0a81cc16edd,0.03,33,0.5044262409210205,0.155246302485466,4.999999969612645e-09
pareto_lex,477d6aac-1a0e-42fd-9766-d0a81cc16edd,0.03,0,0.6478835344314575,0.13994379341602325,4.999999969612645e-09
random,477d6aac-1a0e-42fd-9766-d0a81cc16edd,0.03,47,0.5356945395469666,0.16025328636169434,4.999999969612645e-09
min_proximity,0aeb81b5-77ac-4af5-ab72-510c467ad887,0.03,64,0.3577553927898407,0.27809640765190125,0.43333330750465393
min_geo,0aeb81b5-77ac-4af5-ab72-510c467ad887,0.03,71,0.7775750160217285,0.130309596657753,0.4833333492279053
weighted_sum_equal,0aeb81b5-77ac-4af5-ab72-510c467ad887,0.03,25,0.42849504947662354,0.17658376693725586,3.3333329430007552e-09
weighted_sum_prox_heavy,0aeb81b5-77ac-4af5-ab72-510c467ad887,0.03,25,0.42849504947662354,0.17658376693725586,3.3333329430007552e-09
pareto_knee,0aeb81b5-77ac-4af5-ab72-510c467ad887,0.03,25,0.42849504947662354,0.17658376693725586,3.3333329430007552e-09
pareto_lex,0aeb81b5-77ac-4af5-ab72-510c467ad887,0.03,71,0.7775750160217285,0.130309596657753,0.4833333492279053
random,0aeb81b5-77ac-4af5-ab72-510c467ad887,0.03,35,0.7612134218215942,0.17062795162200928,0.2222222238779068
min_proximity,8bb4e63f-b1a7-45f1-91a8-bf194a76f331,0.03,15,0.22836987674236298,0.14453597366809845,9.99999993922529e-09
min_geo,8bb4e63f-b1a7-45f1-91a8-bf194a76f331,0.03,3,0.2777777910232544,0.13976585865020752,9.99999993922529e-09
weighted_sum_equal,8bb4e63f-b1a7-45f1-91a8-bf194a76f331,0.03,15,0.22836987674236298,0.14453597366809845,9.99999993922529e-09
weighted_sum_prox_heavy,8bb4e63f-b1a7-45f1-91a8-bf194a76f331,0.03,15,0.22836987674236298,0.14453597366809845,9.99999993922529e-09
pareto_knee,8bb4e63f-b1a7-45f1-91a8-bf194a76f331,0.03,15,0.22836987674236298,0.14453597366809845,9.99999993922529e-09
pareto_lex,8bb4e63f-b1a7-45f1-91a8-bf194a76f331,0.03,3,0.2777777910232544,0.13976585865020752,9.99999993922529e-09
random,8bb4e63f-b1a7-45f1-91a8-bf194a76f331,0.03,7,0.2698309123516083,0.16982905566692352,0.4444444477558136
min_proximity,bab4288f-e62a-4af1-b9c5-ca70d8345ebe,0.03,7,0.1530555784702301,0.17466475069522858,0.5
min_geo,bab4288f-e62a-4af1-b9c5-ca70d8345ebe,0.03,5,0.1666666716337204,0.17151182889938354,0.3333333432674408
weighted_sum_equal,bab4288f-e62a-4af1-b9c5-ca70d8345ebe,0.03,5,0.1666666716337204,0.17151182889938354,0.3333333432674408
weighted_sum_prox_heavy,bab4288f-e62a-4af1-b9c5-ca70d8345ebe,0.03,5,0.1666666716337204,0.17151182889938354,0.3333333432674408
pareto_knee,bab4288f-e62a-4af1-b9c5-ca70d8345ebe,0.03,5,0.1666666716337204,0.17151182889938354,0.3333333432674408
