query_id,generated,duplicates,after_dedup,sigma,pareto
d8a31397-7373-4667-a86f-9a2f0ea8dfda,250,241,9,0.03,1
3c61b51c-57a3-4d9b-b654-f1e3576a94df,250,244,6,0.03,1
30eb75a4-a9fd-4b7b-9aec-af379619000e,250,238,12,0.03,2
e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,250,235,15,0.03,4
03e67c1d-479e-4805-b039-be17edadfdfa,244,202,42,0.03,6
ddab5ee5-96e1-494c-85f2-7f1d27643f1b,250,236,14,0.03,3
6a15a9d2-d8a7-4388-a3f7-7c346043cccd,250,229,21,0.03,4
22870c6a-0b15-4c58-929b-59bf854d2c7a,233,201,32,0.03,5
deafd2c8-7a79-4626-be29-be8a3ca7bb91,250,216,34,0.03,2
da87ab59-c9f8-496a-80d2-957a59773921,250,238,12,0.03,3
TOTAL,2477,2280,197,,31
