selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.03,0,1.4142135381698608,0.5050539374351501,0.3333333432674408
min_geo,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.03,4,1.4142135381698608,0.04777507856488228,0.1666666716337204
weighted_sum_equal,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.03,4,1.4142135381698608,0.04777507856488228,0.1666666716337204
weighted_sum_prox_heavy,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.03,4,1.4142135381698608,0.04777507856488228,0.1666666716337204
pareto_knee,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.03,4,1.4142135381698608,0.04777507856488228,0.1666666716337204
pareto_lex,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.03,4,1.4142135381698608,0.04777507856488228,0.1666666716337204
random,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.03,1,2.4494898319244385,1.6113420724868774,0.46666666865348816
min_proximity,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.03,0,1.4142135381698608,0.04606947302818298,9.99999993922529e-09
min_geo,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.03,0,1.4142135381698608,0.04606947302818298,9.99999993922529e-09
weighted_sum_equal,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.03,0,1.4142135381698608,0.04606947302818298,9.99999993922529e-09
weighted_sum_prox_heavy,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.03,0,1.4142135381698608,0.04606947302818298,9.99999993922529e-09
pareto_knee,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.03,0,1.4142135381698608,0.04606947302818298,9.99999993922529e-09
pareto_lex,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.03,0,1.4142135381698608,0.04606947302818298,9.99999993922529e-09
random,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.03,0,1.4142135381698608,0.04606947302818298,9.99999993922529e-09
min_proximity,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.03,0,1.4142135381698608,0.49752798676490784,0.3888889253139496
min_geo,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.03,1,1.4142135381698608,0.05105866864323616,0.1666666716337204
weighted_sum_equal,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.03,1,1.4142135381698608,0.05105866864323616,0.1666666716337204
weighted_sum_prox_heavy,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.03,1,1.4142135381698608,0.05105866864323616,0.1666666716337204
pareto_knee,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.03,1,1.4142135381698608,0.05105866864323616,0.1666666716337204
pareto_lex,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.03,1,1.4142135381698608,0.05105866864323616,0.1666666716337204
random,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.03,11,2.0,1.4151973724365234,0.5000000596046448
min_proximity,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.03,1,1.4142135381698608,0.07195878773927689,9.99999993922529e-09
min_geo,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.03,13,1.4142229557037354,0.07114121317863464,9.99999993922529e-09
weighted_sum_equal,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.03,13,1.4142229557037354,0.07114121317863464,9.99999993922529e-09
weighted_sum_prox_heavy,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.03,13,1.4142229557037354,0.07114121317863464,9.99999993922529e-09
pareto_knee,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.03,13,1.4142229557037354,0.07114121317863464,9.99999993922529e-09
pareto_lex,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.03,13,1.4142229557037354,0.07114121317863464,9.99999993922529e-09
random,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.03,4,2.0,0.5130610466003418,4.999999969612645e-09
min_proximity,03e67c1d-479e-4805-b039-be17edadfdfa,0.03,0,2.0,0.49065113067626953,4.999999969612645e-09
min_geo,03e67c1d-479e-4805-b039-be17edadfdfa,0.03,21,2.0001368522644043,0.029307706281542778,4.999999969612645e-09
weighted_sum_equal,03e67c1d-479e-4805-b039-be17edadfdfa,0.03,21,2.0001368522644043,0.029307706281542778,4.999999969612645e-09
weighted_sum_prox_heavy,03e67c1d-479e-4805-b039-be17edadfdfa,0.03,21,2.0001368522644043,0.029307706281542778,4.999999969612645e-09
pareto_knee,03e67c1d-479e-4805-b039-be17edadfdfa,0.03,21,2.0001368522644043,0.029307706281542778,4.999999969612645e-09
pareto_lex,03e67c1d-479e-4805-b039-be17edadfdfa,0.03,21,2.0001368522644043,0.029307706281542778,4.999999969612645e-09
random,03e67c1d-479e-4805-b039-be17edadfdfa,0.03,15,2.0618135929107666,1.8777693510055542,0.6666666865348816
min_proximity,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.03,2,1.4142135381698608,0.5284774899482727,0.1666666716337204
min_geo,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.03,2,1.4142135381698608,0.5284774899482727,0.1666666716337204
weighted_sum_equal,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.03,2,1.4142135381698608,0.5284774899482727,0.1666666716337204
weighted_sum_prox_heavy,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.03,2,1.4142135381698608,0.5284774899482727,0.1666666716337204
pareto_knee,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.03,2,1.4142135381698608,0.5284774899482727,0.1666666716337204
pareto_lex,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.03,2,1.4142135381698608,0.5284774899482727,0.1666666716337204
random,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.03,3,2.0,0.9758254885673523,0.2777777910232544
min_proximity,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.03,0,1.4142135381698608,0.5081825852394104,9.99999993922529e-09
min_geo,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.03,1,1.4142135381698608,0.05239878222346306,9.99999993922529e-09
weighted_sum_equal,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.03,1,1.4142135381698608,0.05239878222346306,9.99999993922529e-09
weighted_sum_prox_heavy,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.03,1,1.4142135381698608,0.05239878222346306,9.99999993922529e-09
pareto_knee,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.03,1,1.4142135381698608,0.05239878222346306,9.99999993922529e-09
pareto_lex,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.03,1,1.4142135381698608,0.05239878222346306,9.99999993922529e-09
random,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.03,4,2.0,1.415230393409729,4.999999969612645e-09
min_proximity,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.03,30,1.5666618347167969,1.4407416582107544,0.3333333432674408
min_geo,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.03,19,2.4494898319244385,0.06232862547039986,0.0833333358168602
weighted_sum_equal,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.03,21,2.000016927719116,0.06421671062707901,4.999999969612645e-09
weighted_sum_prox_heavy,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.03,21,2.000016927719116,0.06421671062707901,4.999999969612645e-09
pareto_knee,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.03,21,2.000016927719116,0.06421671062707901,4.999999969612645e-09
pareto_lex,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.03,19,2.4494898319244385,0.06232862547039986,0.0833333358168602
random,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.03,6,2.4494898319244385,1.4160181283950806,3.3333329430007552e-09
min_proximity,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.03,1,1.4142135381698608,0.05301325023174286,9.99999993922529e-09
min_geo,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.03,1,1.4142135381698608,0.05301325023174286,9.99999993922529e-09
weighted_sum_equal,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.03,1,1.4142135381698608,0.05301325023174286,9.99999993922529e-09
weighted_sum_prox_heavy,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.03,1,1.4142135381698608,0.05301325023174286,9.99999993922529e-09
pareto_knee,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.03,1,1.4142135381698608,0.05301325023174286,9.99999993922529e-09
pareto_lex,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.03,12,2.0,0.05301325023174286,4.999999969612645e-09
random,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.03,5,2.0,0.502659797668457,0.1111111119389534
min_proximity,da87ab59-c9f8-496a-80d2-957a59773921,0.03,0,1.4142135381698608,0.03819995000958443,9.99999993922529e-09
min_geo,da87ab59-c9f8-496a-80d2-957a59773921,0.03,0,1.4142135381698608,0.03819995000958443,9.99999993922529e-09
weighted_sum_equal,da87ab59-c9f8-496a-80d2-957a59773921,0.03,0,1.4142135381698608,0.03819995000958443,9.99999993922529e-09
weighted_sum_prox_heavy,da87ab59-c9f8-496a-80d2-957a59773921,0.03,0,1.4142135381698608,0.03819995000958443,9.99999993922529e-09
pareto_knee,da87ab59-c9f8-496a-80d2-957a59773921,0.03,0,1.4142135381698608,0.03819995000958443,9.99999993922529e-09
pareto_lex,da87ab59-c9f8-496a-80d2-957a59773921,0.03,1,2.0,0.03819995000958443,4.999999969612645e-09
random,da87ab59-c9f8-496a-80d2-957a59773921,0.03,9,2.0,0.48921599984169006,0.1111111119389534
min_proximity,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.05,0,1.4142135381698608,0.7189116477966309,0.2222222238779068
min_geo,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.05,4,1.4142135381698608,0.20125341415405273,0.1666666716337204
weighted_sum_equal,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.05,4,1.4142135381698608,0.20125341415405273,0.1666666716337204
weighted_sum_prox_heavy,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.05,4,1.4142135381698608,0.20125341415405273,0.1666666716337204
pareto_knee,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.05,4,1.4142135381698608,0.20125341415405273,0.1666666716337204
pareto_lex,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.05,4,1.4142135381698608,0.20125341415405273,0.1666666716337204
random,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.05,6,2.0,1.4174221754074097,0.3333333432674408
