sex,age,priors_count,race,c_charge_degree,query_id
Female,18.000005837711786,37.99998132973878,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,40.99999999999154,37.99999576991292,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,46.014176454492784,37.97154072200788,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000229438120154,37.99999087962028,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.000000043847386,37.99993865719683,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,26.01308627204769,33.42833643759525,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.000000043847386,34.83527092758779,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,45.748554826502414,37.8872068906109,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.001143468422182,37.999975379378746,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,38.58897624125526,37.99997538419389,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.000000003493774,37.99997555861489,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,29.632416107322623,37.548667744684,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000475057249222,37.99999473089856,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.0,37.9999947305361,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,40.36189233979048,37.90451680759296,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Male,19.01970909551095,37.99999476546659,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000943642247908,37.99993209362661,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.00000000408314,37.99999488491552,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,27.550290332082525,35.9265798290986,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,48.999503694207526,37.99997501005195,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000797310431004,37.999929605826466,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000797310431004,37.99965669914827,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,39.50511090879165,37.999948311966264,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.00000000000011,37.99992921309573,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000316021516557,37.99998391047122,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,22.88303119472629,35.88673481175759,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.0,37.99999968631244,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000077364154315,37.99993863239171,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,27.085090323174356,37.99993863239171,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,40.99615877224598,37.99998287397833,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,40.93524919939047,37.99997821125827,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,40.9954461099935,37.99997821125827,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.00006002009522,37.99999173777504,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.0,37.99999828024959,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,22.41762178110121,34.32093106555599,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.0,37.28373288321293,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.00060998347588,37.99996065523275,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,40.99940839742454,37.999976441565785,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,34.3647716209351,35.87810198645772,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,48.423120278039015,37.999961531458744,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000261863070882,37.9999579569224,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,30.003812996381853,37.99995843544588,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,40.999886824189176,37.99998645428931,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Male,18.000261863070882,37.9999579569224,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.019302203115934,37.99999706249851,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.529346666547596,36.14310814019183,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,40.99999999817492,37.99999480412274,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.019302203115934,33.599376860814914,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000449490920303,37.99998145966119,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,28.03430745972898,36.271102931674875,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,40.9999531638107,37.999763906943635,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,45.24632763893607,37.999996755307464,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.000186871424564,37.999998090069205,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,19.554664976984306,37.999998090069205,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.0,37.99999816156212,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.14000971755025,37.6870711713477,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.00078980164777,37.999923265275314,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,18.452604154760156,37.75280360502898,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,28.69503994208855,37.67001237107445,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,41.00000000000001,37.99988804281836,Caucasian,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
Female,48.86605779865918,37.999775434117154,African-American,F,c6138ff7-d7aa-4c7d-a160-71ad5b5bb340
