age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
17.18578679831251,Other/Unknown,School,Separated,Service,White,Male,1.044747667653274,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.18578679831251,Other/Unknown,School,Separated,Service,White,Male,1.9464577778677528,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.186975880967406,Other/Unknown,School,Single,Service,White,Male,1.146814127795626,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.247685668124305,Other/Unknown,School,Single,Service,White,Male,1.0375326397480962,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.004472080102307,Private,School,Single,Service,White,Female,2.6904956680293335,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.346313015550194,Other/Unknown,HS-grad,Widowed,Service,White,Male,2.4250387192850194,c9e90a56-e571-4011-9664-b9bbfb1b9524
19.62399762184283,Other/Unknown,HS-grad,Widowed,Service,White,Male,2.4250387192850194,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.326693145603816,Other/Unknown,School,Divorced,White-Collar,White,Female,1.093936257726694,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.383781771110883,Other/Unknown,School,Divorced,Service,White,Female,1.093936257726694,c9e90a56-e571-4011-9664-b9bbfb1b9524
19.35732045724751,Other/Unknown,School,Divorced,White-Collar,White,Female,1.093936257726694,c9e90a56-e571-4011-9664-b9bbfb1b9524
53.12382953236627,Government,Masters,Widowed,White-Collar,White,Male,98.65999889229587,015f7468-2669-4879-8b19-7c37039af961
42.07637007014945,Government,Doctorate,Widowed,White-Collar,White,Male,98.6924547554631,015f7468-2669-4879-8b19-7c37039af961
42.49212540550943,Other/Unknown,Doctorate,Widowed,White-Collar,White,Male,98.89115726260282,015f7468-2669-4879-8b19-7c37039af961
36.22149244002765,Private,Masters,Married,White-Collar,White,Male,97.78999355518998,015f7468-2669-4879-8b19-7c37039af961
34.41622307518501,Other/Unknown,Masters,Married,White-Collar,White,Male,98.97350405576978,015f7468-2669-4879-8b19-7c37039af961
34.41622307518501,Other/Unknown,Masters,Married,White-Collar,White,Male,98.92942717333888,015f7468-2669-4879-8b19-7c37039af961
58.584151620141945,Private,Masters,Widowed,Sales,White,Male,98.98674073794194,015f7468-2669-4879-8b19-7c37039af961
58.4967813892266,Private,Masters,Widowed,Sales,White,Male,94.8205098315028,015f7468-2669-4879-8b19-7c37039af961
61.47571595672951,Private,Masters,Widowed,Other/Unknown,White,Male,98.96742739981175,015f7468-2669-4879-8b19-7c37039af961
89.86099650394773,Private,Prof-school,Married,Professional,White,Male,98.98672769990256,015f7468-2669-4879-8b19-7c37039af961
25.97225589763512,Private,Prof-school,Married,Professional,White,Male,98.98672769990256,015f7468-2669-4879-8b19-7c37039af961
46.05625706204984,Government,Prof-school,Married,Other/Unknown,White,Male,98.99327729818047,015f7468-2669-4879-8b19-7c37039af961
17.000011195710904,Other/Unknown,School,Widowed,Other/Unknown,White,Male,1.002160614039176,9bac9be9-adbc-4417-85b8-340dc23d59e5
18.4378330343292,Other/Unknown,School,Widowed,Other/Unknown,White,Male,1.0016306696798536,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.000038208842785,Other/Unknown,School,Widowed,White-Collar,White,Female,1.0000234418761142,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.00000301891702,Private,HS-grad,Widowed,Blue-Collar,Other,Female,1.0000215030717703,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.010635859076373,Other/Unknown,School,Separated,Blue-Collar,White,Female,1.0001192926603208,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.01063586881952,Other/Unknown,School,Separated,Blue-Collar,White,Male,1.000116823063677,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.000234727150275,Other/Unknown,School,Widowed,Other/Unknown,White,Male,1.0000824914133244,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.000030833362434,Other/Unknown,HS-grad,Widowed,Other/Unknown,Other,Female,1.000004247588038,9bac9be9-adbc-4417-85b8-340dc23d59e5
