age,hours_per_week,education,gender,marital_status,occupation,race,workclass,query_id
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,c9e90a56-e571-4011-9664-b9bbfb1b9524
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,c9e90a56-e571-4011-9664-b9bbfb1b9524
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,015f7468-2669-4879-8b19-7c37039af961
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,015f7468-2669-4879-8b19-7c37039af961
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,9bac9be9-adbc-4417-85b8-340dc23d59e5
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,9bac9be9-adbc-4417-85b8-340dc23d59e5
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,005af0d8-4450-40b2-93cc-a0e23784ccc5
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,005af0d8-4450-40b2-93cc-a0e23784ccc5
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,8c9b517c-181e-4ee4-abf0-852fdfed5b8b
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,8c9b517c-181e-4ee4-abf0-852fdfed5b8b
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,5bfcacfe-080e-491b-9d81-070ec3ecf1c2
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,5bfcacfe-080e-491b-9d81-070ec3ecf1c2
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,57e922f0-05b9-4728-ba69-b7af3d2d4695
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,57e922f0-05b9-4728-ba69-b7af3d2d4695
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,ea57e236-ddbc-4c75-a09d-ec818728e01d
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,ea57e236-ddbc-4c75-a09d-ec818728e01d
32.88788,32.08901,Doctorate,Male,Single,Professional,White,Self-Employed,5bab4ba4-f360-48e7-969d-dc1d2a73845f
25.891975,39.336018,Doctorate,Male,Single,Professional,White,Self-Employed,5bab4ba4-f360-48e7-969d-dc1d2a73845f
20.433517,41.418842,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,2ac0f02d-d809-4eb6-a497-83105bcb8084
21.452997,44.177963,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,2ac0f02d-d809-4eb6-a497-83105bcb8084
